Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE"
People,"Sex and Age","Total population",759663,"(+/-9,887)",713631,"(+/-12,111)",761488,"(+/-16,305)",739374,"(+/-10,902)",789400,"(+/-12,531)",749808,"(+/-15,258)",769597,"(+/-16,284)",767981,"(+/-10,932)",777123,"(+/-13,841)"
People,"Sex and Age",Male,377937,"(+/-6,245)",351434,"(+/-7,519)",378218,"(+/-8,751)",374763,"(+/-6,342)",385571,"(+/-8,591)",373474,"(+/-9,657)",387768,"(+/-9,521)",367429,"(+/-6,232)",390791,"(+/-9,234)"
People,"Sex and Age",Female,381726,"(+/-6,035)",362197,"(+/-6,790)",383270,"(+/-9,907)",364611,"(+/-6,621)",403829,"(+/-7,553)",376334,"(+/-9,206)",381829,"(+/-9,596)",400552,"(+/-8,459)",386332,"(+/-8,683)"
People,"Sex and Age","Under 5 years",48615,"(+/-2,174)",38863,"(+/-2,252)",58781,"(+/-3,487)",36897,"(+/-2,122)",50313,"(+/-3,778)",41502,"(+/-3,417)",65165,"(+/-3,547)",44212,"(+/-3,128)",45512,"(+/-3,635)"
People,"Sex and Age","5 to 9 years",54025,"(+/-3,090)",40634,"(+/-2,665)",58597,"(+/-3,948)",39781,"(+/-3,262)",55146,"(+/-4,097)",43278,"(+/-3,140)",67450,"(+/-4,440)",49183,"(+/-3,019)",48061,"(+/-3,821)"
People,"Sex and Age","10 to 14 years",52011,"(+/-2,872)",37650,"(+/-3,292)",57026,"(+/-3,383)",41518,"(+/-3,214)",61832,"(+/-3,632)",42919,"(+/-4,067)",65832,"(+/-3,476)",54097,"(+/-3,961)",47169,"(+/-4,931)"
People,"Sex and Age","15 to 19 years",58493,"(+/-2,952)",42103,"(+/-2,831)",67248,"(+/-3,718)",40721,"(+/-2,776)",56661,"(+/-3,529)",39444,"(+/-3,623)",59753,"(+/-3,890)",45937,"(+/-4,009)",54454,"(+/-3,799)"
People,"Sex and Age","20 to 24 years",53424,"(+/-3,093)",58470,"(+/-3,426)",66731,"(+/-4,744)",36446,"(+/-2,618)",42693,"(+/-3,910)",42361,"(+/-4,220)",64960,"(+/-3,764)",42415,"(+/-3,475)",72728,"(+/-5,415)"
People,"Sex and Age","25 to 34 years",95373,"(+/-4,373)",87660,"(+/-3,522)",113532,"(+/-5,072)",74555,"(+/-3,812)",91027,"(+/-5,326)",99535,"(+/-5,859)",125433,"(+/-5,754)",88284,"(+/-6,063)",139362,"(+/-6,461)"
People,"Sex and Age","35 to 44 years",90227,"(+/-3,964)",76775,"(+/-2,880)",95890,"(+/-4,666)",75986,"(+/-3,768)",108063,"(+/-5,224)",95040,"(+/-4,954)",108381,"(+/-4,631)",91107,"(+/-4,751)",103805,"(+/-5,739)"
