Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,"Sex and Age","Total population",722402,"(+/-2,617)",761348,"(+/-2,000)",782717,"(+/-3,952)",711737,"(+/-4,368)"
People,"Sex and Age",Male,360494,"(+/-2,605)",367989,"(+/-1,848)",385791,"(+/-3,072)",349302,"(+/-3,774)"
People,"Sex and Age",Female,361908,"(+/-2,292)",393359,"(+/-1,898)",396926,"(+/-3,404)",362435,"(+/-3,755)"
People,"Sex and Age","Under 5 years",43266,"(+/-1,041)",50519,"(+/-1,159)",53744,"(+/-1,614)",41175,"(+/-1,505)"
People,"Sex and Age","5 to 9 years",46952,"(+/-2,698)",52642,"(+/-3,002)",54976,"(+/-2,939)",44484,"(+/-2,765)"
People,"Sex and Age","10 to 14 years",47857,"(+/-2,926)",46123,"(+/-2,991)",56333,"(+/-3,092)",49152,"(+/-2,835)"
People,"Sex and Age","15 to 19 years",47800,"(+/-2,429)",50121,"(+/-1,979)",56632,"(+/-2,222)",48442,"(+/-2,509)"
People,"Sex and Age","20 to 24 years",42341,"(+/-2,156)",55939,"(+/-2,375)",57627,"(+/-2,512)",44260,"(+/-2,490)"
People,"Sex and Age","25 to 34 years",88448,"(+/-2,766)",107291,"(+/-2,107)",111325,"(+/-2,814)",78327,"(+/-3,827)"
People,"Sex and Age","35 to 44 years",90552,"(+/-2,651)",95816,"(+/-1,922)",96999,"(+/-2,344)",84132,"(+/-2,754)"
People,"Sex and Age","45 to 54 years",93980,"(+/-1,922)",97421,"(+/-1,742)",97230,"(+/-2,638)",94951,"(+/-2,683)"
People,"Sex and Age","55 to 59 years",49000,"(+/-2,518)",49865,"(+/-2,512)",48184,"(+/-3,098)",51097,"(+/-2,506)"
People,"Sex and Age","60 to 64 years",46055,"(+/-2,863)",43630,"(+/-2,722)",39883,"(+/-2,685)",45519,"(+/-2,306)"
People,"Sex and Age","65 to 74 years",73257,"(+/-1,211)",65591,(+/-876),65409,"(+/-1,364)",75157,"(+/-1,674)"
People,"Sex and Age","75 to 84 years",38088,"(+/-1,749)",30798,"(+/-1,506)",32422,"(+/-1,454)",37774,"(+/-1,772)"
People,"Sex and Age","85 years and over",14806,"(+/-1,629)",15592,"(+/-1,505)",11953,"(+/-1,279)",17267,"(+/-1,805)"
People,"Sex and Age","Median age (years)",40,(+/-0.5),36.5,(+/-0.3),35.1,(+/-0.3),41.2,(+/-0.5)
People,"Sex and Age","18 years and over",554821,"(+/-2,389)",581820,"(+/-1,408)",586724,"(+/-2,920)",548895,"(+/-3,479)"
People,"Sex and Age","65 years and over",126151,"(+/-1,324)",111981,(+/-948),109784,"(+/-1,697)",130198,"(+/-2,201)"
People,Race,"Total population",722402,"(+/-2,617)",761348,"(+/-2,000)",782717,"(+/-3,952)",711737,"(+/-4,368)"
People,Race,"One race",709548,"(+/-3,640)",747068,"(+/-2,820)",758280,"(+/-5,280)",699088,"(+/-4,679)"
People,Race,White,562244,"(+/-2,748)",550994,"(+/-3,999)",661447,"(+/-6,607)",533362,"(+/-5,223)"
People,Race,"Black or African American",131435,"(+/-3,156)",172117,"(+/-1,958)",26104,"(+/-1,772)",139899,"(+/-3,206)"
People,Race,"American Indian and Alaska Native",4125,"(+/-1,416)",2778,(+/-799),8657,"(+/-1,872)",5237,"(+/-1,613)"
People,Race,Asian,3594,(+/-786),13041,"(+/-1,077)",21558,"(+/-1,387)",4211,"(+/-1,531)"
People,Race,"Native Hawaiian and Other Pacific Islander",345,(+/-456),262,(+/-242),7022,(+/-723),10,(+/-21)
People,Race,"Some other race",7805,"(+/-1,858)",7876,"(+/-3,191)",33492,"(+/-5,479)",16369,"(+/-2,708)"
People,Race,"Two or more races",12854,"(+/-2,425)",14280,"(+/-2,324)",24437,"(+/-3,366)",12649,"(+/-2,214)"
People,"Hispanic or Latino and Race","Total population",722402,"(+/-2,617)",761348,"(+/-2,000)",782717,"(+/-3,952)",711737,"(+/-4,368)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",22144,"(+/-1,396)",38273,(+/-152),107386,(+/-902),39940,"(+/-1,206)"
People,"Hispanic or Latino and Race",Mexican,15827,"(+/-1,874)",26501,"(+/-2,822)",69596,"(+/-5,320)",32015,"(+/-1,832)"
People,"Hispanic or Latino and Race","Puerto Rican",711,(+/-399),3157,"(+/-1,491)",2615,"(+/-2,109)",603,(+/-533)
People,"Hispanic or Latino and Race",Cuban,125,(+/-147),1175,(+/-796),290,(+/-287),660,(+/-534)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5481,"(+/-1,614)",7440,"(+/-2,102)",34885,"(+/-5,163)",6662,"(+/-1,729)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",700258,"(+/-2,888)",723075,"(+/-1,987)",675331,"(+/-4,008)",671797,"(+/-4,597)"
People,"Place of Birth","Total population",722402,"(+/-2,617)",761348,"(+/-2,000)",782717,"(+/-3,952)",711737,"(+/-4,368)"
People,"Place of Birth",Native,710729,"(+/-3,259)",729180,"(+/-3,294)",706631,"(+/-5,329)",688823,"(+/-5,170)"
People,"Place of Birth","Born in United States",706163,"(+/-3,450)",723771,"(+/-3,712)",698251,"(+/-5,246)",684736,"(+/-5,123)"
People,"Place of Birth","State of residence",480840,"(+/-6,794)",498384,"(+/-8,125)",392501,"(+/-8,528)",465893,"(+/-8,512)"
People,"Place of Birth","Different state",225323,"(+/-7,378)",225387,"(+/-7,703)",305750,"(+/-7,660)",218843,"(+/-7,106)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4566,"(+/-1,343)",5409,"(+/-1,394)",8380,"(+/-2,341)",4087,"(+/-1,036)"
People,"Place of Birth","Foreign born",11673,"(+/-1,605)",32168,"(+/-2,765)",76086,"(+/-3,408)",22914,"(+/-2,152)"
People,Ancestry,"Total population",722402,"(+/-2,617)",761348,"(+/-2,000)",782717,"(+/-3,952)",711737,"(+/-4,368)"
People,Ancestry,American,99471,"(+/-5,920)",67907,"(+/-6,319)",71277,"(+/-5,411)",92639,"(+/-6,315)"
People,Ancestry,Arab,199,(+/-184),1971,"(+/-1,290)",2991,"(+/-1,410)",73,(+/-84)
People,Ancestry,Czech,1261,(+/-880),1818,(+/-889),1561,(+/-849),1801,"(+/-1,055)"
People,Ancestry,Danish,679,(+/-354),1207,(+/-583),3444,"(+/-1,172)",963,(+/-480)
People,Ancestry,Dutch,10189,"(+/-1,896)",10136,"(+/-2,791)",10615,"(+/-1,915)",9809,"(+/-1,605)"
People,Ancestry,English,51305,"(+/-3,719)",60903,"(+/-5,091)",63263,"(+/-4,682)",67795,"(+/-4,989)"
