Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE","District 28 Value","District 28 MOE","District 29 Value","District 29 MOE","District 30 Value","District 30 MOE","District 31 Value","District 31 MOE","District 32 Value","District 32 MOE","District 33 Value","District 33 MOE","District 34 Value","District 34 MOE","District 35 Value","District 35 MOE","District 36 Value","District 36 MOE","District 37 Value","District 37 MOE","District 38 Value","District 38 MOE","District 39 Value","District 39 MOE","District 40 Value","District 40 MOE","District 41 Value","District 41 MOE","District 42 Value","District 42 MOE","District 43 Value","District 43 MOE","District 44 Value","District 44 MOE","District 45 Value","District 45 MOE","District 46 Value","District 46 MOE","District 47 Value","District 47 MOE","District 48 Value","District 48 MOE","District 49 Value","District 49 MOE","District 50 Value","District 50 MOE","District 51 Value","District 51 MOE","District 52 Value","District 52 MOE","District 53 Value","District 53 MOE"
People,"Sex and Age","Total population",710344,"(+/-4,748)",720346,"(+/-5,233)",731775,"(+/-5,429)",722313,"(+/-6,568)",733412,"(+/-9,071)",750843,"(+/-9,303)",739069,"(+/-8,923)",716399,"(+/-8,325)",746779,"(+/-7,406)",739784,"(+/-4,352)",752786,"(+/-8,266)",749688,"(+/-7,820)",755776,"(+/-3,696)",757062,"(+/-8,892)",771800,"(+/-7,580)",740625,"(+/-11,694)",760444,"(+/-10,793)",738774,"(+/-12,163)",765143,"(+/-10,941)",733752,"(+/-4,879)",716371,"(+/-14,053)",741313,"(+/-13,139)",738690,"(+/-13,204)",736757,"(+/-2,061)",720316,"(+/-11,543)",725084,"(+/-3,314)",733239,"(+/-10,386)",714897,"(+/-13,079)",720532,"(+/-19,280)",771108,"(+/-16,509)",738482,"(+/-10,287)",732927,"(+/-11,676)",718273,"(+/-14,275)",735150,"(+/-20,179)",739819,"(+/-9,168)",750645,"(+/-10,362)",722781,"(+/-16,719)",725433,"(+/-10,017)",731324,"(+/-11,092)",721037,"(+/-15,662)",745630,"(+/-6,134)",772860,"(+/-11,306)",744444,"(+/-18,177)",712204,"(+/-15,593)",771550,"(+/-7,076)",738410,"(+/-10,894)",718339,"(+/-11,974)",724082,"(+/-7,131)",735828,"(+/-10,954)",753486,"(+/-10,836)",724812,"(+/-15,586)",755498,"(+/-12,685)",776583,"(+/-17,981)"
People,"Sex and Age",Male,356036,"(+/-3,273)",355297,"(+/-4,363)",368493,"(+/-4,459)",358889,"(+/-4,469)",358688,"(+/-6,124)",365172,"(+/-6,724)",360676,"(+/-6,480)",354143,"(+/-6,059)",371167,"(+/-5,193)",366773,"(+/-2,989)",365974,"(+/-4,859)",381627,"(+/-5,233)",368223,"(+/-4,462)",373852,"(+/-6,001)",380397,"(+/-6,059)",368926,"(+/-6,744)",385760,"(+/-7,454)",363635,"(+/-8,028)",387061,"(+/-6,801)",370897,"(+/-2,719)",376762,"(+/-8,428)",365160,"(+/-8,610)",377527,"(+/-7,575)",370654,"(+/-1,598)",359604,"(+/-8,163)",357365,"(+/-2,699)",350357,"(+/-7,372)",356279,"(+/-9,145)",359891,"(+/-10,692)",376995,"(+/-10,520)",365097,"(+/-7,211)",356601,"(+/-8,558)",349192,"(+/-9,654)",371559,"(+/-11,220)",373266,"(+/-7,687)",376994,"(+/-7,179)",351410,"(+/-11,015)",360953,"(+/-7,846)",359870,"(+/-8,007)",356901,"(+/-9,683)",373117,"(+/-5,771)",379611,"(+/-8,092)",360772,"(+/-11,229)",349104,"(+/-8,768)",376563,"(+/-6,719)",372125,"(+/-7,563)",356555,"(+/-7,424)",356523,"(+/-6,384)",374755,"(+/-7,555)",376673,"(+/-8,822)",361772,"(+/-8,088)",379580,"(+/-9,056)",389285,"(+/-10,879)"
People,"Sex and Age",Female,354308,"(+/-3,331)",365049,"(+/-4,030)",363282,"(+/-3,627)",363424,"(+/-4,006)",374724,"(+/-5,776)",385671,"(+/-5,974)",378393,"(+/-5,339)",362256,"(+/-6,037)",375612,"(+/-5,869)",373011,"(+/-3,317)",386812,"(+/-6,099)",368061,"(+/-3,898)",387553,"(+/-4,776)",383210,"(+/-5,277)",391403,"(+/-5,930)",371699,"(+/-6,788)",374684,"(+/-6,389)",375139,"(+/-7,130)",378082,"(+/-6,962)",362855,"(+/-3,058)",339609,"(+/-7,996)",376153,"(+/-6,624)",361163,"(+/-7,875)",366103,"(+/-1,607)",360712,"(+/-7,861)",367719,"(+/-2,784)",382882,"(+/-6,914)",358618,"(+/-8,799)",360641,"(+/-11,006)",394113,"(+/-10,809)",373385,"(+/-6,927)",376326,"(+/-7,657)",369081,"(+/-8,833)",363591,"(+/-10,900)",366553,"(+/-7,030)",373651,"(+/-6,591)",371371,"(+/-9,284)",364480,"(+/-6,816)",371454,"(+/-7,294)",364136,"(+/-8,979)",372513,"(+/-6,034)",393249,"(+/-6,951)",383672,"(+/-10,151)",363100,"(+/-9,906)",394987,"(+/-7,528)",366285,"(+/-6,851)",361784,"(+/-8,323)",367559,"(+/-5,808)",361073,"(+/-7,765)",376813,"(+/-7,105)",363040,"(+/-9,957)",375918,"(+/-9,418)",387298,"(+/-10,003)"
People,"Sex and Age","Under 5 years",37922,"(+/-1,530)",35522,"(+/-1,709)",45398,"(+/-2,269)",32607,"(+/-1,606)",43092,"(+/-2,131)",54783,"(+/-2,930)",44968,"(+/-2,854)",52531,"(+/-2,862)",51927,"(+/-2,423)",50883,"(+/-1,564)",45409,"(+/-1,919)",34579,"(+/-1,365)",40781,"(+/-2,867)",42891,"(+/-2,079)",52632,"(+/-2,686)",64186,"(+/-2,554)",45440,"(+/-3,140)",44879,"(+/-3,474)",50157,"(+/-3,131)",51180,(+/-889),64811,"(+/-3,890)",57709,"(+/-3,246)",52317,"(+/-3,287)",42949,(+/-718),51057,"(+/-3,636)",46107,"(+/-1,469)",39221,"(+/-3,062)",33313,"(+/-4,034)",50228,"(+/-4,099)",43943,"(+/-4,623)",54926,"(+/-2,930)",44003,"(+/-3,611)",35247,"(+/-4,064)",45464,"(+/-3,875)",53930,"(+/-3,349)",43889,"(+/-3,606)",44260,"(+/-4,106)",44446,"(+/-3,984)",41489,"(+/-3,972)",56578,"(+/-3,608)",52691,"(+/-3,389)",54856,"(+/-3,181)",54568,"(+/-4,266)",54467,"(+/-4,547)",44052,"(+/-4,140)",54205,"(+/-3,647)",45203,"(+/-3,946)",35357,"(+/-3,111)",46090,"(+/-4,546)",50878,"(+/-4,160)",56448,"(+/-3,108)",41445,"(+/-3,497)",49735,"(+/-3,968)"
People,"Sex and Age","5 to 9 years",44287,"(+/-2,480)",40961,"(+/-2,263)",50955,"(+/-3,025)",42884,"(+/-2,869)",41084,"(+/-2,829)",53385,"(+/-3,980)",50610,"(+/-3,309)",55997,"(+/-3,815)",57339,"(+/-3,614)",54810,"(+/-3,554)",47331,"(+/-3,218)",27198,"(+/-2,326)",40747,"(+/-2,711)",43242,"(+/-2,363)",54201,"(+/-3,396)",66060,"(+/-3,856)",47535,"(+/-3,796)",46856,"(+/-3,670)",48115,"(+/-3,069)",50068,"(+/-2,077)",63623,"(+/-3,775)",55728,"(+/-3,927)",60116,"(+/-3,678)",41377,"(+/-2,318)",48334,"(+/-3,732)",47340,"(+/-2,378)",40994,"(+/-3,532)",30382,"(+/-3,559)",47351,"(+/-3,789)",38257,"(+/-3,238)",54344,"(+/-3,909)",46007,"(+/-3,357)",36749,"(+/-2,998)",43262,"(+/-3,940)",55126,"(+/-3,645)",54249,"(+/-4,229)",35539,"(+/-3,282)",42823,"(+/-3,320)",44032,"(+/-3,445)",58010,"(+/-3,386)",56516,"(+/-3,547)",54678,"(+/-3,962)",53982,"(+/-4,037)",52778,"(+/-4,317)",44132,"(+/-3,799)",57430,"(+/-4,181)",40563,"(+/-3,863)",37977,"(+/-3,555)",48524,"(+/-4,042)",51080,"(+/-4,190)",49262,"(+/-3,686)",41318,"(+/-3,393)",45165,"(+/-4,656)"
People,"Sex and Age","10 to 14 years",37032,"(+/-2,990)",41810,"(+/-2,722)",51697,"(+/-3,159)",42826,"(+/-2,877)",41483,"(+/-2,905)",47757,"(+/-3,568)",47158,"(+/-3,201)",51102,"(+/-4,286)",58356,"(+/-3,677)",58084,"(+/-3,371)",47780,"(+/-2,687)",22818,"(+/-2,181)",38614,"(+/-2,903)",40032,"(+/-2,808)",52507,"(+/-3,175)",61834,"(+/-3,413)",44720,"(+/-2,956)",49136,"(+/-3,485)",51075,"(+/-3,257)",50065,"(+/-2,215)",61183,"(+/-4,074)",54510,"(+/-3,853)",59732,"(+/-4,192)",42155,"(+/-2,524)",53565,"(+/-3,649)",50914,"(+/-2,812)",43617,"(+/-3,288)",29416,"(+/-3,561)",47687,"(+/-3,447)",41610,"(+/-3,607)",55278,"(+/-3,479)",46574,"(+/-3,228)",40651,"(+/-3,489)",41421,"(+/-3,798)",56258,"(+/-3,481)",52198,"(+/-3,542)",37811,"(+/-3,125)",47398,"(+/-3,766)",44462,"(+/-3,105)",57438,"(+/-3,989)",53243,"(+/-3,528)",59581,"(+/-3,488)",46849,"(+/-3,598)",51739,"(+/-3,890)",44739,"(+/-3,584)",52320,"(+/-3,342)",44201,"(+/-3,146)",41724,"(+/-3,213)",43351,"(+/-3,296)",50747,"(+/-4,003)",52013,"(+/-3,489)",38817,"(+/-3,523)",40628,"(+/-3,823)"
People,"Sex and Age","15 to 19 years",42250,"(+/-2,541)",42979,"(+/-2,411)",51829,"(+/-1,897)",44532,"(+/-2,690)",44083,"(+/-2,265)",48420,"(+/-3,166)",45415,"(+/-2,775)",53679,"(+/-3,342)",58180,"(+/-2,873)",56676,"(+/-2,084)",44031,"(+/-2,387)",23414,"(+/-1,647)",45413,"(+/-2,168)",41249,"(+/-2,184)",43784,"(+/-2,280)",59292,"(+/-2,508)",38456,"(+/-2,556)",43236,"(+/-3,117)",50736,"(+/-2,606)",55977,"(+/-1,243)",56658,"(+/-2,869)",55719,"(+/-2,965)",54871,"(+/-3,058)",61081,"(+/-1,801)",53883,"(+/-3,223)",50111,"(+/-1,690)",40232,"(+/-3,088)",28874,"(+/-2,878)",48797,"(+/-4,099)",45658,"(+/-3,026)",54075,"(+/-3,686)",51829,"(+/-2,875)",45481,"(+/-3,403)",47560,"(+/-3,872)",60300,"(+/-3,487)",49003,"(+/-3,178)",43356,"(+/-3,245)",51433,"(+/-3,896)",50929,"(+/-3,299)",57603,"(+/-3,345)",63086,"(+/-3,594)",59852,"(+/-3,829)",49057,"(+/-3,581)",56983,"(+/-3,802)",53614,"(+/-3,295)",52204,"(+/-3,213)",48685,"(+/-3,556)",41227,"(+/-2,641)",50652,"(+/-4,321)",47091,"(+/-3,726)",52433,"(+/-3,345)",44042,"(+/-3,942)",46750,"(+/-3,216)"
People,"Sex and Age","20 to 24 years",52920,"(+/-2,153)",42224,"(+/-2,161)",67882,"(+/-2,542)",39441,"(+/-2,238)",48962,"(+/-2,846)",56767,"(+/-3,596)",46080,"(+/-2,898)",55539,"(+/-3,809)",52740,"(+/-2,736)",52584,"(+/-1,847)",47843,"(+/-2,397)",38825,"(+/-2,524)",54847,"(+/-2,660)",48815,"(+/-3,060)",41799,"(+/-3,026)",61225,"(+/-3,192)",47424,"(+/-4,221)",40250,"(+/-3,616)",54273,"(+/-3,542)",63186,"(+/-1,530)",59499,"(+/-3,702)",59237,"(+/-2,876)",52500,"(+/-3,569)",80031,"(+/-1,612)",51759,"(+/-3,953)",51274,"(+/-1,896)",41304,"(+/-3,482)",45410,"(+/-3,590)",56368,"(+/-4,376)",51334,"(+/-3,987)",65245,"(+/-3,816)",56517,"(+/-4,195)",47241,"(+/-5,079)",59262,"(+/-4,342)",62186,"(+/-3,512)",44124,"(+/-3,519)",65052,"(+/-5,761)",57750,"(+/-3,443)",50792,"(+/-4,333)",62408,"(+/-4,331)",74589,"(+/-4,347)",47990,"(+/-3,742)",57366,"(+/-4,586)",61020,"(+/-4,229)",56159,"(+/-4,379)",63131,"(+/-4,319)",49861,"(+/-3,410)",40325,"(+/-3,552)",57411,"(+/-4,540)",52753,"(+/-4,308)",66716,"(+/-4,113)",63491,"(+/-5,693)",60986,"(+/-5,166)"
People,"Sex and Age","25 to 34 years",85217,"(+/-2,820)",81683,"(+/-3,314)",100903,"(+/-3,344)",74771,"(+/-2,877)",99359,"(+/-3,877)",128205,"(+/-5,544)",102863,"(+/-5,184)",96268,"(+/-4,774)",101764,"(+/-4,020)",99581,"(+/-2,388)",99790,"(+/-3,605)",180718,"(+/-2,990)",135528,"(+/-4,565)",114134,"(+/-3,916)",107870,"(+/-4,771)",111158,"(+/-3,499)",131705,"(+/-5,249)",97864,"(+/-5,315)",108561,"(+/-5,126)",103797,"(+/-2,305)",110845,"(+/-3,923)",108847,"(+/-4,188)",107234,"(+/-4,393)",93524,"(+/-1,394)",92044,"(+/-4,853)",94510,"(+/-2,211)",98554,"(+/-5,590)",141609,"(+/-7,433)",123716,"(+/-6,719)",124436,"(+/-6,810)",115027,"(+/-5,562)",107711,"(+/-5,619)",95717,"(+/-5,618)",141303,"(+/-6,712)",116439,"(+/-5,124)",91332,"(+/-5,000)",132384,"(+/-6,979)",100424,"(+/-4,949)",97457,"(+/-5,793)",108712,"(+/-5,733)",115701,"(+/-5,101)",101860,"(+/-5,151)",113602,"(+/-6,825)",105345,"(+/-5,603)",101233,"(+/-5,189)",126987,"(+/-5,346)",110818,"(+/-5,849)",100698,"(+/-5,016)",99383,"(+/-7,669)",105170,"(+/-5,554)",109967,"(+/-4,417)",133686,"(+/-6,879)",144698,"(+/-7,627)"
People,"Sex and Age","35 to 44 years",73300,"(+/-2,038)",88167,"(+/-2,837)",86773,"(+/-3,184)",84939,"(+/-3,060)",91580,"(+/-3,931)",98654,"(+/-4,492)",94860,"(+/-4,036)",77966,"(+/-3,868)",92890,"(+/-3,857)",96236,"(+/-2,717)",97147,"(+/-3,542)",122865,"(+/-2,014)",111191,"(+/-4,089)",107601,"(+/-2,865)",117578,"(+/-4,486)",91011,"(+/-2,868)",122967,"(+/-4,944)",104798,"(+/-4,584)",108747,"(+/-4,073)",91515,"(+/-1,868)",95059,"(+/-3,772)",88213,"(+/-3,984)",91762,"(+/-3,602)",81273,"(+/-1,151)",92873,"(+/-5,471)",89874,"(+/-2,525)",100642,"(+/-5,593)",99026,"(+/-5,275)",104194,"(+/-5,595)",110837,"(+/-5,846)",95319,"(+/-5,188)",91063,"(+/-4,880)",98643,"(+/-5,402)",110450,"(+/-5,539)",108659,"(+/-4,539)",89586,"(+/-4,010)",102569,"(+/-5,281)",101754,"(+/-5,251)",92106,"(+/-5,101)",104058,"(+/-5,215)",94554,"(+/-3,920)",105435,"(+/-4,866)",105390,"(+/-5,181)",90645,"(+/-4,760)",99007,"(+/-5,318)",107462,"(+/-4,655)",95272,"(+/-4,979)",93699,"(+/-4,656)",91709,"(+/-5,691)",94683,"(+/-5,173)",88159,"(+/-4,316)",104681,"(+/-5,577)",110929,"(+/-5,958)"
