Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE"
People,"Sex and Age","Total population",803636,"(+/-4,534)",782278,"(+/-5,637)",737812,"(+/-3,956)",787940,"(+/-6,057)",770782,"(+/-1,853)",796156,"(+/-7,617)",777970,"(+/-6,917)"
People,"Sex and Age",Male,401828,"(+/-3,244)",396480,"(+/-3,912)",371675,"(+/-3,120)",397249,"(+/-3,683)",394944,"(+/-1,767)",392127,"(+/-5,064)",386717,"(+/-5,305)"
People,"Sex and Age",Female,401808,"(+/-3,066)",385798,"(+/-4,432)",366137,"(+/-3,294)",390691,"(+/-4,423)",375838,"(+/-1,495)",404029,"(+/-4,798)",391253,"(+/-4,117)"
People,"Sex and Age","Under 5 years",52570,"(+/-1,268)",36195,"(+/-1,413)",40814,"(+/-1,213)",52135,"(+/-1,694)",50101,(+/-783),51340,"(+/-2,371)",50384,"(+/-2,011)"
People,"Sex and Age","5 to 9 years",48095,"(+/-2,611)",44868,"(+/-3,244)",48516,"(+/-2,647)",60981,"(+/-3,323)",49359,"(+/-2,519)",56472,"(+/-3,188)",51593,"(+/-3,137)"
People,"Sex and Age","10 to 14 years",41979,"(+/-2,543)",45774,"(+/-3,059)",47979,"(+/-2,421)",57051,"(+/-2,757)",52216,"(+/-2,713)",61839,"(+/-2,745)",50193,"(+/-3,262)"
People,"Sex and Age","15 to 19 years",38570,"(+/-1,581)",55439,"(+/-2,239)",48419,"(+/-2,340)",57367,"(+/-2,329)",51932,"(+/-1,350)",52737,"(+/-2,155)",47430,"(+/-2,202)"
People,"Sex and Age","20 to 24 years",51401,"(+/-2,025)",76458,"(+/-2,891)",44420,"(+/-2,518)",43718,"(+/-2,188)",64307,"(+/-1,787)",49899,"(+/-2,601)",52170,"(+/-2,809)"
People,"Sex and Age","25 to 34 years",172728,"(+/-2,460)",109141,"(+/-3,889)",97321,"(+/-3,178)",101082,"(+/-3,107)",114042,"(+/-1,314)",110941,"(+/-3,284)",121882,"(+/-2,940)"
People,"Sex and Age","35 to 44 years",123089,"(+/-2,045)",100615,"(+/-2,589)",88608,"(+/-2,731)",108968,"(+/-2,993)",94867,"(+/-1,174)",115639,"(+/-2,586)",106203,"(+/-3,167)"
People,"Sex and Age","45 to 54 years",94221,"(+/-2,013)",105222,"(+/-3,260)",90938,"(+/-2,188)",107223,"(+/-3,028)",99188,"(+/-1,175)",113695,"(+/-2,815)",100544,"(+/-3,023)"
People,"Sex and Age","55 to 59 years",45112,"(+/-2,859)",53589,"(+/-2,744)",52761,"(+/-2,472)",52410,"(+/-2,392)",49922,"(+/-2,208)",45853,"(+/-2,485)",52959,"(+/-2,709)"
People,"Sex and Age","60 to 64 years",44832,"(+/-2,487)",50733,"(+/-2,518)",54211,"(+/-2,359)",47305,"(+/-2,788)",44157,"(+/-2,534)",45612,"(+/-2,443)",44668,"(+/-2,556)"
People,"Sex and Age","65 to 74 years",54207,"(+/-1,389)",66103,"(+/-2,386)",76498,"(+/-1,745)",61904,"(+/-1,745)",62709,"(+/-1,397)",57331,"(+/-1,857)",58020,"(+/-1,907)"
People,"Sex and Age","75 to 84 years",24559,"(+/-1,644)",26664,"(+/-1,470)",32911,"(+/-1,696)",26309,"(+/-1,473)",28458,"(+/-1,405)",24989,"(+/-1,471)",28082,"(+/-1,782)"
People,"Sex and Age","85 years and over",12273,"(+/-1,249)",11477,"(+/-1,436)",14416,"(+/-1,378)",11487,"(+/-1,344)",9524,"(+/-1,154)",9809,"(+/-1,218)",13842,"(+/-1,494)"
People,"Sex and Age","Median age (years)",34.7,(+/-0.2),37.3,(+/-0.5),39,(+/-0.5),36.9,(+/-0.4),35.3,(+/-0.2),36.3,(+/-0.4),36.1,(+/-0.4)
People,"Sex and Age","18 years and over",638806,"(+/-3,656)",628376,"(+/-4,841)",574107,"(+/-3,639)",582930,"(+/-4,972)",587936,"(+/-1,863)",592067,"(+/-5,779)",595580,"(+/-4,985)"
People,"Sex and Age","65 years and over",91039,"(+/-1,738)",104244,"(+/-2,877)",123825,"(+/-1,865)",99700,"(+/-2,364)",100691,"(+/-1,482)",92129,"(+/-2,276)",99944,"(+/-2,634)"
People,Race,"Total population",803636,"(+/-4,534)",782278,"(+/-5,637)",737812,"(+/-3,956)",787940,"(+/-6,057)",770782,"(+/-1,853)",796156,"(+/-7,617)",777970,"(+/-6,917)"
People,Race,"One race",774738,"(+/-5,574)",759246,"(+/-6,583)",719186,"(+/-4,868)",765600,"(+/-6,294)",733770,"(+/-4,957)",758983,"(+/-9,207)",751720,"(+/-7,284)"
People,Race,White,633036,"(+/-7,870)",711835,"(+/-6,582)",653349,"(+/-5,772)",715457,"(+/-7,815)",623553,"(+/-5,495)",589936,"(+/-9,695)",680224,"(+/-8,347)"
People,Race,"Black or African American",66926,"(+/-2,624)",6634,"(+/-1,219)",8760,"(+/-1,461)",10060,"(+/-1,830)",47785,"(+/-3,202)",70004,"(+/-3,702)",14640,"(+/-2,455)"
People,Race,"American Indian and Alaska Native",7167,"(+/-2,277)",2622,(+/-939),16307,"(+/-2,184)",6426,"(+/-1,341)",4862,"(+/-1,197)",4680,"(+/-1,921)",7074,"(+/-2,014)"
People,Race,Asian,26818,"(+/-2,279)",27090,"(+/-2,624)",5603,"(+/-1,513)",16145,"(+/-2,105)",20243,"(+/-1,882)",41613,"(+/-3,899)",25368,"(+/-2,428)"
People,Race,"Native Hawaiian and Other Pacific Islander",546,(+/-450),966,(+/-566),1788,(+/-858),879,(+/-785),2813,(+/-199),1733,(+/-451),411,(+/-324)
People,Race,"Some other race",40245,"(+/-7,009)",10099,"(+/-2,289)",33379,"(+/-4,139)",16633,"(+/-3,921)",34514,"(+/-5,543)",51017,"(+/-7,214)",24003,"(+/-3,101)"
People,Race,"Two or more races",28898,"(+/-3,309)",23032,"(+/-2,901)",18626,"(+/-2,574)",22340,"(+/-2,560)",37012,"(+/-4,524)",37173,"(+/-4,833)",26250,"(+/-3,694)"
People,"Hispanic or Latino and Race","Total population",803636,"(+/-4,534)",782278,"(+/-5,637)",737812,"(+/-3,956)",787940,"(+/-6,057)",770782,"(+/-1,853)",796156,"(+/-7,617)",777970,"(+/-6,917)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",221983,"(+/-2,835)",82149,"(+/-4,166)",181423,"(+/-2,926)",172040,"(+/-3,639)",121565,"(+/-1,128)",163880,"(+/-5,677)",221238,"(+/-4,874)"
People,"Hispanic or Latino and Race",Mexican,181610,"(+/-5,640)",56184,"(+/-5,336)",115964,"(+/-5,473)",135963,"(+/-5,346)",72552,"(+/-6,512)",117573,"(+/-6,786)",178724,"(+/-5,958)"
People,"Hispanic or Latino and Race","Puerto Rican",3618,"(+/-1,365)",2681,(+/-939),1986,(+/-813),4023,"(+/-1,426)",12263,"(+/-2,979)",6433,"(+/-2,320)",3433,"(+/-1,457)"
People,"Hispanic or Latino and Race",Cuban,769,(+/-421),1906,"(+/-1,021)",895,(+/-561),1769,(+/-931),3823,"(+/-2,505)",1761,(+/-874),2308,"(+/-1,463)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",35986,"(+/-5,113)",21378,"(+/-2,998)",62578,"(+/-5,274)",30285,"(+/-4,367)",32927,"(+/-5,444)",38113,"(+/-5,337)",36773,"(+/-4,463)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",581653,"(+/-4,788)",700129,"(+/-5,946)",556389,"(+/-4,026)",615900,"(+/-6,430)",649217,"(+/-1,853)",632276,"(+/-7,741)",556732,"(+/-6,379)"
People,"Place of Birth","Total population",803636,"(+/-4,534)",782278,"(+/-5,637)",737812,"(+/-3,956)",787940,"(+/-6,057)",770782,"(+/-1,853)",796156,"(+/-7,617)",777970,"(+/-6,917)"
People,"Place of Birth",Native,682976,"(+/-8,080)",725162,"(+/-7,137)",692867,"(+/-5,854)",723565,"(+/-6,592)",718642,"(+/-3,905)",682735,"(+/-9,004)",693561,"(+/-8,483)"
People,"Place of Birth","Born in United States",670596,"(+/-8,135)",714050,"(+/-7,531)",685079,"(+/-5,901)",715485,"(+/-7,018)",693521,"(+/-5,001)",669149,"(+/-9,450)",685690,"(+/-8,805)"
People,"Place of Birth","State of residence",335823,"(+/-7,354)",274877,"(+/-8,787)",355903,"(+/-8,605)",375877,"(+/-8,651)",260520,"(+/-9,486)",330962,"(+/-8,160)",395893,"(+/-9,891)"
People,"Place of Birth","Different state",334773,"(+/-7,124)",439173,"(+/-9,382)",329176,"(+/-8,369)",339608,"(+/-7,699)",433001,"(+/-9,245)",338187,"(+/-9,178)",289797,"(+/-7,889)"
