Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE"
People,"Sex and Age","Total population",711436,"(+/-6,315)",709647,"(+/-5,502)",720493,"(+/-6,406)",736742,"(+/-5,475)",712568,"(+/-8,011)"
People,"Sex and Age",Male,341326,"(+/-3,813)",356636,"(+/-3,664)",347519,"(+/-5,083)",356360,"(+/-3,819)",350222,"(+/-6,655)"
People,"Sex and Age",Female,370110,"(+/-4,455)",353011,"(+/-3,799)",372974,"(+/-5,259)",380382,"(+/-3,968)",362346,"(+/-5,895)"
People,"Sex and Age","Under 5 years",36610,"(+/-1,640)",33204,"(+/-1,708)",37074,"(+/-2,569)",42333,"(+/-1,712)",37307,"(+/-3,338)"
People,"Sex and Age","5 to 9 years",38946,"(+/-2,207)",37849,"(+/-2,406)",39936,"(+/-2,886)",48355,"(+/-2,790)",42657,"(+/-3,574)"
People,"Sex and Age","10 to 14 years",43644,"(+/-2,982)",40549,"(+/-2,521)",42318,"(+/-3,187)",52037,"(+/-2,884)",46118,"(+/-3,133)"
People,"Sex and Age","15 to 19 years",46458,"(+/-1,995)",51458,"(+/-2,046)",53538,"(+/-2,388)",53530,"(+/-1,680)",45420,"(+/-2,971)"
People,"Sex and Age","20 to 24 years",46482,"(+/-1,806)",57120,"(+/-2,029)",53978,"(+/-2,506)",47248,"(+/-2,488)",41999,"(+/-3,145)"
People,"Sex and Age","25 to 34 years",93403,"(+/-2,988)",84330,"(+/-2,628)",98102,"(+/-3,027)",82851,"(+/-2,941)",84090,"(+/-4,651)"
People,"Sex and Age","35 to 44 years",87255,"(+/-2,931)",80721,"(+/-2,856)",84021,"(+/-3,458)",93997,"(+/-2,381)",86510,"(+/-4,168)"
People,"Sex and Age","45 to 54 years",105155,"(+/-3,289)",105603,"(+/-2,718)",104016,"(+/-4,071)",114601,"(+/-3,154)",107783,"(+/-4,674)"
People,"Sex and Age","55 to 59 years",52334,"(+/-2,542)",54636,"(+/-2,722)",51660,"(+/-3,650)",54937,"(+/-2,879)",55391,"(+/-3,429)"
People,"Sex and Age","60 to 64 years",43273,"(+/-3,099)",49087,"(+/-2,743)",43129,"(+/-2,867)",41128,"(+/-3,038)",51422,"(+/-3,665)"
People,"Sex and Age","65 to 74 years",63632,"(+/-2,424)",66078,"(+/-1,826)",62609,"(+/-2,575)",57666,"(+/-2,101)",64318,"(+/-3,430)"
People,"Sex and Age","75 to 84 years",34728,"(+/-2,150)",31712,"(+/-1,492)",31803,"(+/-1,832)",31355,"(+/-1,916)",32239,"(+/-2,582)"
People,"Sex and Age","85 years and over",19516,"(+/-1,905)",17300,"(+/-1,278)",18309,"(+/-1,769)",16704,"(+/-1,734)",17314,"(+/-2,054)"
People,"Sex and Age","Median age (years)",41,(+/-0.5),41.4,(+/-0.6),39,(+/-0.7),39.7,(+/-0.7),41.8,(+/-1.0)
People,"Sex and Age","18 years and over",563531,"(+/-5,733)",571191,"(+/-4,430)",573388,"(+/-5,880)",561869,"(+/-4,338)",557582,"(+/-6,915)"
People,"Sex and Age","65 years and over",117876,"(+/-3,371)",115090,"(+/-2,078)",112721,"(+/-3,268)",105725,"(+/-3,058)",113871,"(+/-4,173)"
People,Race,"Total population",711436,"(+/-6,315)",709647,"(+/-5,502)",720493,"(+/-6,406)",736742,"(+/-5,475)",712568,"(+/-8,011)"
People,Race,"One race",687975,"(+/-7,655)",680122,"(+/-6,399)",698730,"(+/-7,156)",712142,"(+/-6,141)",695313,"(+/-8,577)"
People,Race,White,497769,"(+/-8,354)",605885,"(+/-7,065)",526161,"(+/-9,578)",537381,"(+/-7,290)",580747,"(+/-10,643)"
People,Race,"Black or African American",110721,"(+/-3,744)",29651,"(+/-3,465)",95429,"(+/-6,803)",95726,"(+/-5,613)",49044,"(+/-6,835)"
People,Race,"American Indian and Alaska Native",2917,"(+/-1,205)",2989,"(+/-1,301)",1472,(+/-701),404,(+/-379),1111,(+/-678)
People,Race,Asian,34271,"(+/-3,287)",22990,"(+/-1,440)",33050,"(+/-2,568)",39399,"(+/-3,473)",26539,"(+/-4,309)"
People,Race,"Native Hawaiian and Other Pacific Islander",0,(+/-198),46,(+/-79),121,(+/-148),154,(+/-133),198,(+/-230)
People,Race,"Some other race",42297,"(+/-5,213)",18561,"(+/-3,393)",42497,"(+/-6,371)",39078,"(+/-6,019)",37674,"(+/-6,951)"
People,Race,"Two or more races",23461,"(+/-4,012)",29525,"(+/-3,864)",21763,"(+/-3,756)",24600,"(+/-3,985)",17255,"(+/-3,300)"
People,"Hispanic or Latino and Race","Total population",711436,"(+/-6,315)",709647,"(+/-5,502)",720493,"(+/-6,406)",736742,"(+/-5,475)",712568,"(+/-8,011)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",112282,"(+/-3,817)",61621,"(+/-2,720)",115273,"(+/-4,877)",142700,"(+/-5,117)",121907,"(+/-7,640)"
People,"Hispanic or Latino and Race",Mexican,4916,"(+/-1,854)",9001,"(+/-2,961)",18343,"(+/-5,160)",17883,"(+/-4,604)",4875,"(+/-1,879)"
People,"Hispanic or Latino and Race","Puerto Rican",76479,"(+/-4,580)",35905,"(+/-4,400)",54876,"(+/-6,409)",47053,"(+/-5,687)",65757,"(+/-5,289)"
People,"Hispanic or Latino and Race",Cuban,3134,"(+/-1,320)",1147,(+/-657),2714,"(+/-1,222)",3115,"(+/-1,847)",2649,"(+/-1,372)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",27753,"(+/-4,509)",15568,"(+/-2,919)",39340,"(+/-6,243)",74649,"(+/-6,395)",48626,"(+/-7,055)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",599154,"(+/-6,840)",648026,"(+/-5,684)",605220,"(+/-7,166)",594042,"(+/-6,517)",590661,"(+/-9,205)"
People,"Place of Birth","Total population",711436,"(+/-6,315)",709647,"(+/-5,502)",720493,"(+/-6,406)",736742,"(+/-5,475)",712568,"(+/-8,011)"
People,"Place of Birth",Native,597351,"(+/-9,560)",660894,"(+/-6,277)",626176,"(+/-7,882)",573856,"(+/-7,915)",612961,"(+/-8,796)"
People,"Place of Birth","Born in United States",564110,"(+/-9,038)",643287,"(+/-6,070)",601405,"(+/-8,256)",551846,"(+/-7,613)",581569,"(+/-9,334)"
People,"Place of Birth","State of residence",412648,"(+/-8,359)",405555,"(+/-8,342)",448063,"(+/-8,640)",321690,"(+/-7,382)",397519,"(+/-9,944)"
People,"Place of Birth","Different state",151462,"(+/-6,115)",237732,"(+/-7,657)",153342,"(+/-6,394)",230156,"(+/-6,698)",184050,"(+/-6,581)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",33241,"(+/-2,959)",17607,"(+/-2,587)",24771,"(+/-3,706)",22010,"(+/-2,507)",31392,"(+/-3,690)"
People,"Place of Birth","Foreign born",114085,"(+/-7,873)",48753,"(+/-4,291)",94317,"(+/-6,058)",162886,"(+/-7,686)",99607,"(+/-7,728)"
People,Ancestry,"Total population",711436,"(+/-6,315)",709647,"(+/-5,502)",720493,"(+/-6,406)",736742,"(+/-5,475)",712568,"(+/-8,011)"
People,Ancestry,American,29403,"(+/-3,046)",37217,"(+/-3,807)",20292,"(+/-3,158)",39697,"(+/-4,682)",23261,"(+/-2,951)"
People,Ancestry,Arab,3610,"(+/-1,409)",3702,"(+/-1,296)",6575,"(+/-2,163)",5626,"(+/-2,173)",7920,"(+/-2,943)"
People,Ancestry,Czech,1790,(+/-887),2791,"(+/-1,051)",1992,(+/-679),2384,(+/-873),2135,(+/-700)
People,Ancestry,Danish,2189,(+/-700),2337,(+/-896),1456,(+/-582),2044,(+/-660),1950,(+/-749)
People,Ancestry,Dutch,3037,(+/-780),6089,"(+/-1,790)",2938,(+/-921),6535,"(+/-1,491)",3863,"(+/-1,000)"
People,Ancestry,English,49994,"(+/-3,766)",83020,"(+/-4,756)",49357,"(+/-4,018)",55029,"(+/-4,324)",60339,"(+/-5,068)"
People,Ancestry,"French (except Basque)",44051,"(+/-4,433)",72489,"(+/-5,933)",26235,"(+/-3,562)",14153,"(+/-2,224)",32756,"(+/-3,125)"
People,Ancestry,"French Canadian",24716,"(+/-3,416)",37358,"(+/-4,405)",11066,"(+/-2,126)",6349,"(+/-1,727)",17643,"(+/-2,864)"
People,Ancestry,German,52692,"(+/-4,331)",74625,"(+/-4,963)",55021,"(+/-3,781)",57010,"(+/-4,052)",73911,"(+/-5,862)"
People,Ancestry,Greek,5289,"(+/-2,020)",4376,"(+/-1,155)",3055,(+/-903),8671,"(+/-2,345)",4854,"(+/-1,445)"
People,Ancestry,Hungarian,3570,"(+/-1,096)",4636,"(+/-1,245)",8846,"(+/-1,934)",12104,"(+/-2,273)",8355,"(+/-2,002)"
People,Ancestry,Irish,95698,"(+/-6,597)",136115,"(+/-7,651)",119209,"(+/-7,457)",101977,"(+/-6,930)",111043,"(+/-7,431)"
People,Ancestry,Italian,108302,"(+/-6,002)",104815,"(+/-7,066)",151218,"(+/-7,175)",120976,"(+/-7,324)",130309,"(+/-8,269)"
People,Ancestry,Lithuanian,7186,"(+/-1,552)",5129,"(+/-1,063)",4210,"(+/-1,208)",3075,(+/-969),5445,"(+/-1,187)"
People,Ancestry,Norwegian,4479,"(+/-1,249)",5682,"(+/-1,589)",1803,(+/-730),4582,"(+/-1,357)",4441,"(+/-1,155)"
People,Ancestry,Polish,61130,"(+/-4,898)",61408,"(+/-4,454)",49372,"(+/-4,827)",36691,"(+/-4,043)",57803,"(+/-5,933)"
People,Ancestry,Portuguese,10447,"(+/-2,430)",11129,"(+/-2,342)",9154,"(+/-2,052)",9329,"(+/-2,597)",10211,"(+/-2,029)"
People,Ancestry,Russian,9853,"(+/-1,898)",10388,"(+/-1,803)",11494,"(+/-1,819)",14885,"(+/-2,420)",9808,"(+/-2,039)"
People,Ancestry,Scotch-Irish,3216,(+/-844),4420,"(+/-1,225)",3050,(+/-905),2729,(+/-973),3387,"(+/-1,062)"
People,Ancestry,Scottish,10066,"(+/-1,772)",16756,"(+/-1,837)",9101,"(+/-2,258)",11262,"(+/-1,720)",12353,"(+/-2,095)"
People,Ancestry,Slovak,2080,(+/-738),2130,"(+/-1,004)",3663,(+/-938),6581,"(+/-1,630)",3738,"(+/-1,056)"
People,Ancestry,"Subsaharan African",8808,"(+/-2,856)",4096,"(+/-1,656)",13488,"(+/-4,053)",10158,"(+/-3,327)",3480,"(+/-1,624)"
People,Ancestry,Swedish,11071,"(+/-2,231)",18971,"(+/-2,790)",7524,"(+/-1,724)",10215,"(+/-1,984)",11387,"(+/-2,562)"
People,Ancestry,Swiss,1428,(+/-586),1146,(+/-553),1172,(+/-730),2333,"(+/-1,093)",1979,(+/-809)
People,Ancestry,Ukrainian,5153,"(+/-1,294)",3031,(+/-773),3606,"(+/-1,123)",5213,"(+/-1,779)",6177,"(+/-2,709)"
People,Ancestry,Welsh,1785,(+/-708),3611,"(+/-1,431)",1862,(+/-627),3036,"(+/-1,119)",2219,(+/-783)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",32580,"(+/-4,147)",6468,"(+/-2,258)",12201,"(+/-2,980)",30322,"(+/-5,177)",7445,"(+/-2,640)"
People,"Veteran Status","Civilian population 18 years and over",563305,"(+/-5,717)",564106,"(+/-4,466)",572860,"(+/-5,900)",561752,"(+/-4,348)",557472,"(+/-6,924)"
People,"Veteran Status","Civilian veterans",31058,"(+/-2,594)",51979,"(+/-3,040)",33435,"(+/-2,361)",22784,"(+/-2,561)",35807,"(+/-2,733)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",703811,"(+/-6,318)",686200,"(+/-5,883)",713475,"(+/-6,799)",731094,"(+/-5,387)",703403,"(+/-7,970)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",83719,"(+/-5,367)",84368,"(+/-4,882)",79448,"(+/-4,588)",66016,"(+/-4,436)",76139,"(+/-4,774)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",147583,"(+/-3,467)",138259,"(+/-3,210)",146947,"(+/-4,720)",174801,"(+/-3,394)",154331,"(+/-5,824)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6300,"(+/-1,222)",4958,"(+/-1,007)",7132,"(+/-1,773)",6469,"(+/-1,523)",5727,"(+/-1,123)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",443404,"(+/-4,640)",437327,"(+/-4,967)",458143,"(+/-6,788)",454460,"(+/-5,370)",439316,"(+/-7,174)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40951,"(+/-3,633)",44377,"(+/-3,471)",38540,"(+/-3,180)",30763,"(+/-2,994)",36060,"(+/-3,565)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",112824,"(+/-3,470)",110614,"(+/-2,169)",108385,"(+/-3,157)",101833,"(+/-3,193)",109756,"(+/-4,240)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36468,"(+/-2,882)",35033,"(+/-2,591)",33776,"(+/-2,145)",28784,"(+/-2,000)",34352,"(+/-2,795)"
People,"Residence 1 Year Ago","Population 1 year and over",705054,"(+/-6,250)",703810,"(+/-5,399)",713278,"(+/-6,770)",727316,"(+/-5,462)",705386,"(+/-7,812)"
People,"Residence 1 Year Ago","Same house",614106,"(+/-9,219)",599725,"(+/-10,094)",626328,"(+/-9,435)",635964,"(+/-8,790)",633457,"(+/-10,089)"
People,"Residence 1 Year Ago","Different house in the U.S.",84855,"(+/-7,326)",101657,"(+/-8,117)",81084,"(+/-7,961)",84062,"(+/-7,344)",65465,"(+/-6,428)"
People,"Residence 1 Year Ago","Same county",57394,"(+/-6,880)",51669,"(+/-5,200)",51912,"(+/-6,647)",58388,"(+/-6,171)",42916,"(+/-4,800)"
People,"Residence 1 Year Ago","Different county",27461,"(+/-3,681)",49988,"(+/-5,870)",29172,"(+/-3,765)",25674,"(+/-3,734)",22549,"(+/-4,695)"
People,"Residence 1 Year Ago","Same state",15288,"(+/-2,993)",28861,"(+/-3,959)",14352,"(+/-2,943)",6320,"(+/-2,164)",13026,"(+/-3,892)"
People,"Residence 1 Year Ago","Different state",12173,"(+/-2,407)",21127,"(+/-3,947)",14820,"(+/-2,686)",19354,"(+/-3,155)",9523,"(+/-2,163)"
People,"Residence 1 Year Ago",Abroad,6093,"(+/-1,995)",2428,"(+/-1,028)",5866,"(+/-1,791)",7290,"(+/-1,439)",6464,"(+/-2,965)"
Workers,"Employment Status","Population 16 years and over",581994,"(+/-5,856)",588145,"(+/-4,613)",592434,"(+/-5,943)",583906,"(+/-4,614)",576398,"(+/-7,193)"
Workers,"Employment Status","In labor force",389291,"(+/-6,185)",393418,"(+/-6,185)",392999,"(+/-6,221)",394206,"(+/-6,628)",379744,"(+/-8,544)"
Workers,"Employment Status","Civilian labor force",389065,"(+/-6,165)",386333,"(+/-6,193)",392471,"(+/-6,261)",394089,"(+/-6,627)",379634,"(+/-8,559)"
Workers,"Employment Status",Employed,361863,"(+/-6,471)",362487,"(+/-6,377)",365678,"(+/-6,054)",363848,"(+/-6,469)",353222,"(+/-8,048)"
Workers,"Employment Status",Unemployed,27202,"(+/-2,543)",23846,"(+/-2,241)",26793,"(+/-2,826)",30241,"(+/-2,965)",26412,"(+/-2,742)"
Workers,"Employment Status","Armed Forces",226,(+/-171),7085,"(+/-1,094)",528,(+/-403),117,(+/-141),110,(+/-137)
Workers,"Employment Status","Not in labor force",192703,"(+/-5,186)",194727,"(+/-5,405)",199435,"(+/-5,614)",189700,"(+/-5,139)",196654,"(+/-8,076)"
Workers,"Employment Status","Civilian labor force",389065,"(+/-6,165)",386333,"(+/-6,193)",392471,"(+/-6,261)",394089,"(+/-6,627)",379634,"(+/-8,559)"
Workers,"Employment Status","Unemployment Rate",7,(+/-0.7),6.2,(+/-0.6),6.8,(+/-0.7),7.7,(+/-0.7),7,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over",354482,"(+/-6,485)",357232,"(+/-6,852)",359504,"(+/-6,187)",355680,"(+/-6,346)",346223,"(+/-8,020)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",284880,"(+/-6,542)",291789,"(+/-7,022)",274635,"(+/-6,433)",256155,"(+/-6,077)",283541,"(+/-7,117)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32575,"(+/-3,286)",24378,"(+/-2,957)",30701,"(+/-4,257)",21861,"(+/-2,554)",29387,"(+/-4,174)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",12890,"(+/-1,759)",5195,"(+/-1,404)",17602,"(+/-2,124)",43710,"(+/-2,996)",8119,"(+/-1,541)"
Workers,"Commuting to Work",Walked,5862,"(+/-1,388)",13456,"(+/-1,920)",15430,"(+/-2,224)",10631,"(+/-2,111)",7447,"(+/-1,595)"
Workers,"Commuting to Work","Other means",3127,"(+/-1,097)",3921,(+/-874),3896,(+/-927),3957,"(+/-1,057)",3097,"(+/-1,222)"
Workers,"Commuting to Work","Worked at home",15148,"(+/-1,792)",18493,"(+/-2,496)",17240,"(+/-2,153)",19366,"(+/-1,989)",14632,"(+/-1,987)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.8,(+/-0.6),25.1,(+/-0.5),25.4,(+/-0.6),30.8,(+/-0.7),26.8,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over",361863,"(+/-6,471)",362487,"(+/-6,377)",365678,"(+/-6,054)",363848,"(+/-6,469)",353222,"(+/-8,048)"
Workers,Occupation,"Management, business, science, and arts occupations",157485,"(+/-5,193)",146410,"(+/-5,448)",149467,"(+/-5,303)",171315,"(+/-5,780)",141965,"(+/-5,597)"
Workers,Occupation,"Service occupations",58103,"(+/-3,416)",68591,"(+/-4,134)",60671,"(+/-4,451)",61206,"(+/-4,317)",59442,"(+/-4,257)"
