Topic,Subject,Title,District 01 Value,District (At Large) MOE,,,,
People,Sex and Age,Total population,945934,(*****),,,,
People,Sex and Age,Male,458208,(+/-1,047),,,
People,Sex and Age,Female,487726,(+/-1,047),,,
People,Sex and Age,Under 5 years,55445,(+/-219),,,,
People,Sex and Age,5 to 9 years,52642,(+/-3,637),,,
People,Sex and Age,10 to 14 years,61316,(+/-3,609),,,
People,Sex and Age,15 to 19 years,60716,(+/-1,489),,,
People,Sex and Age,20 to 24 years,63179,(+/-1,364),,,
People,Sex and Age,25 to 34 years,124348,(+/-1,913),,,
People,Sex and Age,35 to 44 years,110727,(+/-1,302),,,
People,Sex and Age,45 to 54 years,129436,(+/-1,056),,,
People,Sex and Age,55 to 59 years,65906,(+/-2,894),,,
People,Sex and Age,60 to 64 years,61395,(+/-2,975),,,
People,Sex and Age,65 to 74 years,95778,(+/-1,117),,,
People,Sex and Age,75 to 84 years,45417,(+/-1,655),,,
People,Sex and Age,85 years and over,19629,(+/-1,625),,,
People,Sex and Age,Median age (years),39.7,(+/-0.4),,,,
People,Sex and Age,18 years and over,741734,(+/-326),,,,
People,Sex and Age,65 years and over,160824,(+/-664),,,,
People,Race,Total population,945934,(*****),,,,
People,Race,One race,917493,(+/-3,973),,,
People,Race,White,654904,(+/-4,740),,,
People,Race,Black or African American,203863,(+/-3,106),,,
People,Race,American Indian and Alaska Native,3121,(+/-1,020),,,
People,Race,Asian,36114,(+/-1,597),,,
People,Race,Native Hawaiian and Other Pacific Islander,334,(+/-285),,,,
People,Race,Some other race,19157,(+/-3,844),,,
People,Race,Two or more races,28441,(+/-3,973),,,
People,Hispanic or Latino and Race,Total population,945934,(*****),,,,
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),85306,(*****),,,,
People,Hispanic or Latino and Race,Mexican,34785,(+/-4,686),,,
People,Hispanic or Latino and Race,Puerto Rican,21476,(+/-3,699),,,
People,Hispanic or Latino and Race,Cuban,1638,(+/-749),,,,
People,Hispanic or Latino and Race,Other Hispanic or Latino,27407,(+/-4,744),,,
People,Hispanic or Latino and Race,Not Hispanic or Latino,860628,(*****),,,,
People,Place of Birth,Total population,945934,(*****),,,,
People,Place of Birth,Native,858425,(+/-5,462),,,
People,Place of Birth,Born in United States,845668,(+/-5,760),,,
People,Place of Birth,State of residence,431303,(+/-10,186),,,
People,Place of Birth,Different state,414365,(+/-9,419),,,
People,Place of Birth,Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s),12757,(+/-2,236),
People,Place of Birth,Foreign born,87509,(+/-5,462),,,
People,Ancestry,Total population,945934,(*****),,,,
People,Ancestry,American,52940,(+/-5,959),,,
People,Ancestry,Arab,3943,(+/-1,711),,,
People,Ancestry,Czech,1844,(+/-732),,,,
People,Ancestry,Danish,1402,(+/-552),,,,
People,Ancestry,Dutch,11939,(+/-2,302),,,
People,Ancestry,English,92590,(+/-7,471),,,
People,Ancestry,French (except Basque),16292,(+/-2,341),,,
People,Ancestry,French Canadian,2252,(+/-701),,,,
People,Ancestry,German,117100,(+/-7,571),,,
People,Ancestry,Greek,3709,(+/-1,182),,,
People,Ancestry,Hungarian,2662,(+/-784),,,,
People,Ancestry,Irish,142093,(+/-6,073),,,
People,Ancestry,Italian,86600,(+/-5,858),,,
People,Ancestry,Lithuanian,2284,(+/-884),,,,
People,Ancestry,Norwegian,3809,(+/-1,000),,,
People,Ancestry,Polish,36249,(+/-3,313),,,
People,Ancestry,Portuguese,2192,(+/-1,014),,,
People,Ancestry,Russian,5631,(+/-1,424),,,
People,Ancestry,Scotch-Irish,6059,(+/-1,167),,,
People,Ancestry,Scottish,15086,(+/-1,771),,,
People,Ancestry,Slovak,1598,(+/-578),,,,
People,Ancestry,Subsaharan African,11962,(+/-3,260),,,
People,Ancestry,Swedish,5768,(+/-1,386),,,
People,Ancestry,Swiss,1596,(+/-927),,,,
People,Ancestry,Ukrainian,4018,(+/-1,091),,,
People,Ancestry,Welsh,7199,(+/-1,607),,,
People,Ancestry,West Indian (excluding Hispanic origin groups),8647,(+/-2,929),,,
People,Veteran Status,Civilian population 18 years and over,738861,(+/-844),,,,
People,Veteran Status,Civilian veterans,64274,(+/-3,256),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,931203,(+/-797),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,113995,(+/-4,619),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,203771,(+/-336),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9720,(+/-1,850),,,
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,570682,(+/-1,192),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,54900,(+/-3,313),,,
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,156750,(+/-724),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,49375,(+/-2,458),,,
People,Residence 1 Year Ago,Population 1 year and over,935813,(+/-1,401),,,
People,Residence 1 Year Ago,Same house,800701,(+/-9,561),,,
People,Residence 1 Year Ago,Different house in the U.S.,130504,(+/-9,307),,,
People,Residence 1 Year Ago,Same county,73579,(+/-6,942),,,
People,Residence 1 Year Ago,Different county,56925,(+/-5,614),,,
People,Residence 1 Year Ago,Same state,12430,(+/-2,521),,,
People,Residence 1 Year Ago,Different state,44495,(+/-5,586),,,
People,Residence 1 Year Ago,Abroad,4608,(+/-1,492),,,
Workers,Employment Status,Population 16 years and over,765250,(+/-1,688),,,
Workers,Employment Status,In labor force,478082,(+/-5,623),,,
Workers,Employment Status,Civilian labor force,475209,(+/-5,761),,,
Workers,Employment Status,Employed,447516,(+/-5,855),,,
Workers,Employment Status,Unemployed,27693,(+/-2,475),,,
Workers,Employment Status,Armed Forces,2873,(+/-797),,,,
Workers,Employment Status,Not in labor force,287168,(+/-5,491),,,
Workers,Employment Status,Civilian labor force,475209,(+/-5,761),,,
Workers,Employment Status,Unemployment Rate,5.8,(+/-0.5),,,,
Workers,Commuting to Work,Workers 16 years and over,441183,(+/-6,008),,,
Workers,Commuting to Work,Car, truck, or van -- drove alone,359029,(+/-7,204),
Workers,Commuting to Work,Car, truck, or van -- carpooled,34752,(+/-3,224),
Workers,Commuting to Work,Public transportation (excluding taxicab),12104,(+/-1,902),,,
Workers,Commuting to Work,Walked,9655,(+/-1,521),,,
Workers,Commuting to Work,Other means,4765,(+/-1,197),,,
Workers,Commuting to Work,Worked at home,20878,(+/-2,186),,,
Workers,Commuting to Work,Mean travel time to work (minutes),26,(+/-0.7),,,,
Workers,Occupation,Civilian employed population 16 years and over,447516,(+/-5,855),,,
Workers,Occupation,Management, business, science, and arts occupations,178788,(+/-5,764)
Workers,Occupation,Service occupations,84731,(+/-4,530),,,
Workers,Occupation,Sales and office occupations,104483,(+/-4,392),,,
Workers,Occupation,Natural resources, construction, and maintenance occupations,38720,(+/-3,403),
Workers,Occupation,Production, transportation, and material moving occupations,40794,(+/-3,196),
