Topic,Subject,Title,District 01 Value,District (At Large) MOE,,,,
People,Sex and Age,Total population,672228,(*****),,,,
People,Sex and Age,Male,319705,(+/-699),,,,
People,Sex and Age,Female,352523,(+/-699),,,,
People,Sex and Age,Under 5 years,43230,(+/-6),,,,
People,Sex and Age,5 to 9 years,32562,(+/-2,108),,,
People,Sex and Age,10 to 14 years,26490,(+/-2,131),,,
People,Sex and Age,15 to 19 years,38525,(+/-2,052),,,
People,Sex and Age,20 to 24 years,58537,(+/-1,951),,,
People,Sex and Age,25 to 34 years,152487,(+/-468),,,,
People,Sex and Age,35 to 44 years,96419,(+/-364),,,,
People,Sex and Age,45 to 54 years,77353,(+/-158),,,,
People,Sex and Age,55 to 59 years,37764,(+/-2,089),,,
People,Sex and Age,60 to 64 years,32270,(+/-1,992),,,
People,Sex and Age,65 to 74 years,44092,(+/-970),,,,
People,Sex and Age,75 to 84 years,20819,(+/-1,214),,,
People,Sex and Age,85 years and over,11680,(+/-1,201),,,
People,Sex and Age,Median age (years),33.8,(+/-0.2),,,,
People,Sex and Age,18 years and over,554390,(+/-15),,,,
People,Sex and Age,65 years and over,76591,(+/-742),,,,
People,Race,Total population,672228,(*****),,,,
People,Race,One race,650851,(+/-2,579),,,
People,Race,White,269143,(+/-3,524),,,
People,Race,Black or African American,318831,(+/-2,822),,,
People,Race,American Indian and Alaska Native,1661,(+/-1,142),,,
People,Race,Asian,25944,(+/-1,021),,,
People,Race,Native Hawaiian and Other Pacific Islander,475,(+/-358),,,,
People,Race,Some other race,34797,(+/-4,077),,,
People,Race,Two or more races,21377,(+/-2,579),,,
People,Hispanic or Latino and Race,Total population,672228,(*****),,,,
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),71129,(*****),,,,
People,Hispanic or Latino and Race,Mexican,12653,(+/-2,830),,,
People,Hispanic or Latino and Race,Puerto Rican,6989,(+/-1,915),,,
People,Hispanic or Latino and Race,Cuban,4021,(+/-1,801),,,
People,Hispanic or Latino and Race,Other Hispanic or Latino,47466,(+/-3,795),,,
People,Hispanic or Latino and Race,Not Hispanic or Latino,601099,(*****),,,,
People,Place of Birth,Total population,672228,(*****),,,,
People,Place of Birth,Native,577111,(+/-5,695),,,
People,Place of Birth,Born in United States,564275,(+/-5,716),,,
People,Place of Birth,State of residence,240836,(+/-6,602),,,
People,Place of Birth,Different state,323439,(+/-7,636),,,
People,Place of Birth,Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s),12836,(+/-2,497),
People,Place of Birth,Foreign born,95117,(+/-5,695),,,
People,Ancestry,Total population,672228,(*****),,,,
People,Ancestry,American,13605,(+/-2,047),,,
People,Ancestry,Arab,4981,(+/-1,427),,,
People,Ancestry,Czech,1761,(+/-682),,,,
People,Ancestry,Danish,1615,(+/-772),,,,
People,Ancestry,Dutch,4681,(+/-1,057),,,
People,Ancestry,English,34366,(+/-2,829),,,
People,Ancestry,French (except Basque),11220,(+/-2,156),,,
People,Ancestry,French Canadian,2787,(+/-1,254),,,
People,Ancestry,German,48428,(+/-3,791),,,
People,Ancestry,Greek,1950,(+/-871),,,,
People,Ancestry,Hungarian,2186,(+/-595),,,,
People,Ancestry,Irish,43864,(+/-3,875),,,
People,Ancestry,Italian,25228,(+/-2,559),,,
People,Ancestry,Lithuanian,2139,(+/-676),,,,
People,Ancestry,Norwegian,3954,(+/-964),,,,
People,Ancestry,Polish,13417,(+/-1,631),,,
People,Ancestry,Portuguese,1493,(+/-787),,,,
People,Ancestry,Russian,8559,(+/-1,490),,,
People,Ancestry,Scotch-Irish,3654,(+/-830),,,,
People,Ancestry,Scottish,8655,(+/-1,921),,,
People,Ancestry,Slovak,1549,(+/-636),,,,
People,Ancestry,Subsaharan African,17695,(+/-3,057),,,
People,Ancestry,Swedish,5765,(+/-1,412),,,
People,Ancestry,Swiss,1390,(+/-576),,,,
People,Ancestry,Ukrainian,2968,(+/-1,071),,,
People,Ancestry,Welsh,3540,(+/-822),,,,
People,Ancestry,West Indian (excluding Hispanic origin groups),10392,(+/-3,146),,,
People,Veteran Status,Civilian population 18 years and over,550226,(+/-848),,,,
People,Veteran Status,Civilian veterans,25963,(+/-2,438),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,660682,(+/-666),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,75710,(+/-4,201),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,117415,(+/-217),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,4988,(+/-1,030),,,
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,469590,(+/-1,182),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,45260,(+/-3,470),,,
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,73677,(+/-900),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,25462,(+/-1,714),,,
People,Residence 1 Year Ago,Population 1 year and over,663006,(+/-1,528),,,
People,Residence 1 Year Ago,Same house,525024,(+/-7,553),,,
People,Residence 1 Year Ago,Different house in the U.S.,127093,(+/-7,227),,,
People,Residence 1 Year Ago,Same county,67188,(+/-5,688),,,
People,Residence 1 Year Ago,Different county,59905,(+/-4,750),,,
People,Residence 1 Year Ago,Same state,0,(+/-200),,,,
People,Residence 1 Year Ago,Different state,59905,(+/-4,750),,,
People,Residence 1 Year Ago,Abroad,10889,(+/-3,045),,,
Workers,Employment Status,Population 16 years and over,564206,(+/-1,235),,,
Workers,Employment Status,In labor force,393578,(+/-5,010),,,
Workers,Employment Status,Civilian labor force,389414,(+/-4,950),,,
Workers,Employment Status,Employed,361179,(+/-4,836),,,
Workers,Employment Status,Unemployed,28235,(+/-2,606),,,
Workers,Employment Status,Armed Forces,4164,(+/-849),,,,
Workers,Employment Status,Not in labor force,170628,(+/-5,088),,,
Workers,Employment Status,Civilian labor force,389414,(+/-4,950),,,
