Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE"
People,"Sex and Age","Total population",750930,"(+/-1,392)",704515,"(+/-9,387)",726720,"(+/-7,835)",753050,"(+/-10,867)",739390,"(+/-12,338)",735505,"(+/-7,831)",741525,"(+/-13,337)",730745,"(+/-3,776)",818825,"(+/-15,579)",785715,"(+/-16,243)",744855,"(+/-9,673)",740955,"(+/-8,125)",720890,"(+/-7,625)",757440,"(+/-11,652)",739450,"(+/-18,393)",782765,"(+/-10,963)",745340,"(+/-12,276)",749475,"(+/-8,852)",774345,"(+/-11,323)",782790,"(+/-14,972)",742215,"(+/-10,349)",739400,"(+/-10,680)",735515,"(+/-8,498)",739005,"(+/-16,136)",754595,"(+/-14,770)",796155,"(+/-15,895)",739165,"(+/-14,041)"
People,"Sex and Age",Male,379935,"(+/-2,690)",358680,"(+/-5,548)",358550,"(+/-5,143)",365365,"(+/-6,763)",360520,"(+/-7,276)",358310,"(+/-4,671)",359530,"(+/-8,044)",354545,"(+/-3,131)",404695,"(+/-8,767)",383595,"(+/-10,511)",360895,"(+/-6,801)",354765,"(+/-5,039)",349075,"(+/-4,486)",364530,"(+/-7,424)",363040,"(+/-11,250)",377890,"(+/-6,854)",367320,"(+/-6,930)",364300,"(+/-5,956)",377570,"(+/-6,216)",378070,"(+/-10,751)",355385,"(+/-7,230)",367110,"(+/-7,242)",350110,"(+/-7,749)",356175,"(+/-9,292)",367655,"(+/-9,263)",389860,"(+/-9,568)",363775,"(+/-8,257)"
People,"Sex and Age",Female,370995,"(+/-2,464)",345835,"(+/-6,050)",368170,"(+/-5,194)",387685,"(+/-6,892)",378870,"(+/-7,516)",377195,"(+/-4,340)",381995,"(+/-7,474)",376200,"(+/-2,727)",414135,"(+/-10,006)",402120,"(+/-7,751)",383960,"(+/-5,605)",386190,"(+/-5,253)",371815,"(+/-4,816)",392910,"(+/-6,474)",376410,"(+/-10,148)",404875,"(+/-6,062)",378025,"(+/-7,402)",385175,"(+/-6,179)",396775,"(+/-6,206)",404725,"(+/-8,131)",386830,"(+/-6,375)",372290,"(+/-8,185)",385405,"(+/-6,580)",382830,"(+/-9,874)",386940,"(+/-8,340)",406295,"(+/-9,655)",375390,"(+/-9,936)"
People,"Sex and Age","Under 5 years",45345,"(+/-1,144)",39880,"(+/-1,942)",40000,"(+/-1,806)",39370,"(+/-2,720)",49000,"(+/-2,653)",34585,"(+/-2,070)",37525,"(+/-2,593)",33195,(+/-909),52625,"(+/-4,046)",49665,"(+/-3,587)",29050,"(+/-2,717)",33620,"(+/-1,823)",35055,"(+/-1,795)",45415,"(+/-2,887)",46095,"(+/-3,492)",40125,"(+/-2,456)",31220,"(+/-2,755)",36610,"(+/-2,285)",33930,"(+/-2,067)",57635,"(+/-3,826)",35975,"(+/-2,985)",35205,"(+/-3,339)",38650,"(+/-3,245)",44510,"(+/-4,243)",42940,"(+/-3,553)",51225,"(+/-4,805)",39820,"(+/-4,058)"
People,"Sex and Age","5 to 9 years",41430,"(+/-3,525)",42890,"(+/-3,397)",43130,"(+/-2,988)",42820,"(+/-3,731)",47615,"(+/-3,467)",34705,"(+/-2,869)",40030,"(+/-3,309)",34975,"(+/-3,156)",54725,"(+/-4,387)",52715,"(+/-4,366)",30435,"(+/-3,215)",40615,"(+/-3,217)",33525,"(+/-2,732)",46430,"(+/-3,609)",49730,"(+/-4,282)",45670,"(+/-3,011)",37965,"(+/-3,721)",38945,"(+/-3,597)",35750,"(+/-3,067)",52035,"(+/-3,680)",38390,"(+/-2,846)",36000,"(+/-3,445)",46010,"(+/-3,504)",45140,"(+/-3,796)",42230,"(+/-3,610)",48720,"(+/-4,223)",35040,"(+/-3,423)"
People,"Sex and Age","10 to 14 years",45320,"(+/-3,274)",38465,"(+/-2,995)",41635,"(+/-2,840)",46050,"(+/-3,481)",45865,"(+/-3,468)",39890,"(+/-2,753)",42990,"(+/-3,490)",40590,"(+/-2,961)",54290,"(+/-4,608)",52190,"(+/-4,669)",34550,"(+/-3,229)",40930,"(+/-2,789)",34460,"(+/-2,429)",44805,"(+/-3,149)",45170,"(+/-3,849)",39890,"(+/-2,867)",37295,"(+/-3,654)",42095,"(+/-3,802)",37495,"(+/-3,381)",46280,"(+/-3,524)",40305,"(+/-3,510)",37865,"(+/-3,468)",44620,"(+/-3,407)",46455,"(+/-3,775)",45085,"(+/-3,504)",49595,"(+/-3,919)",31990,"(+/-3,099)"
People,"Sex and Age","15 to 19 years",46585,"(+/-1,637)",45395,"(+/-3,185)",59665,"(+/-3,164)",45160,"(+/-2,495)",49750,"(+/-3,232)",41655,"(+/-2,137)",55820,"(+/-2,757)",40135,"(+/-1,676)",53450,"(+/-3,160)",48740,"(+/-3,014)",34840,"(+/-2,768)",43470,"(+/-2,216)",32830,"(+/-1,720)",50345,"(+/-2,913)",46500,"(+/-3,882)",43830,"(+/-2,520)",40975,"(+/-3,430)",41195,"(+/-3,565)",38870,"(+/-2,296)",50285,"(+/-3,619)",39660,"(+/-2,700)",44720,"(+/-2,825)",39150,"(+/-2,492)",43050,"(+/-3,250)",44225,"(+/-3,735)",53345,"(+/-3,101)",36910,"(+/-2,891)"
People,"Sex and Age","20 to 24 years",56960,"(+/-2,044)",44215,"(+/-3,534)",65225,"(+/-2,815)",47880,"(+/-3,336)",79465,"(+/-5,465)",41510,"(+/-1,745)",62345,"(+/-3,531)",40780,"(+/-2,160)",51435,"(+/-3,681)",61225,"(+/-3,943)",28720,"(+/-2,715)",37850,"(+/-2,021)",37815,"(+/-1,653)",55165,"(+/-3,386)",48840,"(+/-3,678)",37945,"(+/-2,780)",37100,"(+/-4,366)",35940,"(+/-2,814)",36955,"(+/-2,336)",51835,"(+/-4,323)",39435,"(+/-3,048)",39515,"(+/-3,948)",45985,"(+/-3,748)",54655,"(+/-3,368)",47640,"(+/-3,654)",53845,"(+/-4,008)",44050,"(+/-3,998)"
People,"Sex and Age","25 to 34 years",108165,"(+/-2,673)",87705,"(+/-3,499)",96105,"(+/-3,570)",108605,"(+/-5,083)",113115,"(+/-5,235)",78295,"(+/-2,529)",112270,"(+/-4,451)",75620,"(+/-2,243)",116950,"(+/-5,279)",128570,"(+/-5,813)",59550,"(+/-3,806)",73830,"(+/-2,915)",90530,"(+/-2,576)",122810,"(+/-4,315)",101815,"(+/-5,079)",79915,"(+/-4,282)",66565,"(+/-4,404)",79855,"(+/-3,873)",80055,"(+/-2,877)",121765,"(+/-7,066)",81140,"(+/-4,130)",89820,"(+/-4,891)",93915,"(+/-5,028)",109325,"(+/-5,288)",95815,"(+/-5,281)",110265,"(+/-6,380)",110890,"(+/-5,622)"
People,"Sex and Age","35 to 44 years",85355,"(+/-2,181)",87155,"(+/-3,415)",84970,"(+/-3,348)",97000,"(+/-3,509)",87135,"(+/-3,385)",77645,"(+/-2,649)",100320,"(+/-3,976)",73400,"(+/-2,019)",115385,"(+/-5,237)",105890,"(+/-5,036)",66820,"(+/-3,223)",83050,"(+/-2,533)",84975,"(+/-2,309)",101410,"(+/-3,487)",96445,"(+/-5,494)",85545,"(+/-4,212)",68935,"(+/-3,825)",85990,"(+/-3,294)",78690,"(+/-3,142)",101505,"(+/-5,036)",83850,"(+/-3,281)",93945,"(+/-5,801)",98215,"(+/-5,684)",98780,"(+/-5,741)",102330,"(+/-5,139)",110960,"(+/-5,582)",107775,"(+/-5,389)"
People,"Sex and Age","45 to 54 years",100330,"(+/-2,052)",93710,"(+/-2,898)",89345,"(+/-3,090)",104975,"(+/-3,432)",93125,"(+/-4,170)",94645,"(+/-2,766)",97850,"(+/-3,319)",99970,"(+/-2,080)",106670,"(+/-4,853)",112700,"(+/-3,782)",86235,"(+/-4,060)",107055,"(+/-2,824)",99615,"(+/-2,787)",109480,"(+/-3,475)",92200,"(+/-4,666)",99695,"(+/-3,644)",90135,"(+/-4,142)",100115,"(+/-3,890)",92865,"(+/-2,786)",106935,"(+/-4,337)",96515,"(+/-4,077)",111070,"(+/-4,870)",112340,"(+/-4,670)",98950,"(+/-4,682)",113510,"(+/-5,606)",125215,"(+/-6,379)",108085,"(+/-5,513)"
People,"Sex and Age","55 to 59 years",52135,"(+/-2,972)",46350,"(+/-2,632)",48430,"(+/-3,345)",52815,"(+/-3,289)",45220,"(+/-2,886)",55030,"(+/-3,541)",45320,"(+/-3,122)",58605,"(+/-3,660)",42285,"(+/-3,207)",49680,"(+/-3,880)",50400,"(+/-4,482)",52790,"(+/-2,951)",58695,"(+/-2,975)",46235,"(+/-2,870)",53915,"(+/-4,226)",52835,"(+/-2,937)",51130,"(+/-3,072)",55305,"(+/-3,482)",52215,"(+/-2,964)",49080,"(+/-3,525)",48715,"(+/-3,219)",58220,"(+/-4,336)",51010,"(+/-3,755)",50680,"(+/-4,322)",40610,"(+/-2,868)",43785,"(+/-3,501)",48375,"(+/-3,717)"
People,"Sex and Age","60 to 64 years",46470,"(+/-2,793)",48900,"(+/-3,261)",43960,"(+/-2,872)",49625,"(+/-3,790)",41290,"(+/-2,912)",54475,"(+/-2,865)",44370,"(+/-2,971)",55365,"(+/-4,213)",45430,"(+/-3,427)",38825,"(+/-3,360)",55135,"(+/-3,905)",49890,"(+/-2,874)",54700,"(+/-2,627)",41505,"(+/-2,821)",44455,"(+/-2,921)",55800,"(+/-3,157)",56630,"(+/-3,668)",50100,"(+/-3,802)",58655,"(+/-3,303)",42615,"(+/-3,966)",45240,"(+/-3,588)",46655,"(+/-3,528)",45835,"(+/-4,014)",43800,"(+/-3,573)",42485,"(+/-3,566)",42995,"(+/-3,732)",43930,"(+/-4,039)"
People,"Sex and Age","65 to 74 years",73425,"(+/-1,475)",77085,"(+/-2,533)",68170,"(+/-2,313)",72045,"(+/-2,476)",52445,"(+/-2,346)",102980,"(+/-2,167)",60225,"(+/-2,430)",94985,(+/-998),72945,"(+/-3,536)",50880,"(+/-2,849)",151315,"(+/-3,660)",96685,"(+/-2,992)",85780,"(+/-2,923)",54975,"(+/-3,052)",69100,"(+/-3,818)",106150,"(+/-2,883)",125350,"(+/-3,246)",95570,"(+/-2,839)",126295,"(+/-3,264)",58180,"(+/-4,060)",89660,"(+/-3,587)",78040,"(+/-4,095)",65100,"(+/-3,847)",56905,"(+/-3,476)",73410,"(+/-4,047)",60435,"(+/-4,104)",66985,"(+/-3,719)"
People,"Sex and Age","75 to 84 years",36225,"(+/-1,771)",38115,"(+/-3,038)",33660,"(+/-2,530)",33635,"(+/-2,885)",25785,"(+/-2,027)",55290,"(+/-3,042)",26900,"(+/-2,323)",56270,"(+/-2,383)",39005,"(+/-2,411)",22950,"(+/-2,297)",88975,"(+/-3,932)",55835,"(+/-2,880)",48140,"(+/-2,616)",24865,"(+/-1,922)",33795,"(+/-2,868)",65720,"(+/-3,176)",73135,"(+/-3,688)",57115,"(+/-3,132)",72970,"(+/-3,459)",28710,"(+/-2,611)",68785,"(+/-3,329)",43675,"(+/-3,236)",37910,"(+/-2,944)",34010,"(+/-2,746)",51260,"(+/-3,319)",33480,"(+/-2,653)",42460,"(+/-3,225)"
People,"Sex and Age","85 years and over",13185,"(+/-1,561)",14660,"(+/-1,931)",12425,"(+/-1,648)",13065,"(+/-2,021)",9580,"(+/-1,510)",24805,"(+/-2,083)",15560,"(+/-2,131)",26850,"(+/-2,355)",13630,"(+/-1,829)",11690,"(+/-2,166)",28835,"(+/-3,752)",25345,"(+/-3,072)",24770,"(+/-2,314)",14000,"(+/-1,758)",11395,"(+/-1,648)",29635,"(+/-2,406)",28900,"(+/-2,640)",30635,"(+/-2,700)",29610,"(+/-2,549)",15935,"(+/-2,457)",34545,"(+/-2,715)",24675,"(+/-2,077)",16770,"(+/-2,317)",12750,"(+/-2,023)",13055,"(+/-2,075)",12285,"(+/-1,863)",22845,"(+/-2,153)"
People,"Sex and Age","Median age (years)",38.5,(+/-0.3),40.9,(+/-0.5),36.7,(+/-0.5),39.7,(+/-0.8),33.7,(+/-0.5),47.4,(+/-0.5),36.7,(+/-0.5),48.3,(+/-0.4),37.1,(+/-0.7),35,(+/-0.5),55.2,(+/-0.6),46.7,(+/-0.6),46.3,(+/-0.6),36.1,(+/-0.6),38.4,(+/-0.8),46.9,(+/-0.6),51,(+/-0.6),46.6,(+/-0.7),50.3,(+/-0.6),36.1,(+/-0.8),46.1,(+/-0.7),44.2,(+/-0.9),41.5,(+/-0.8),37.5,(+/-0.6),41.2,(+/-0.7),38.4,(+/-0.7),41.6,(+/-0.7)
People,"Sex and Age","18 years and over",592115,"(+/-1,620)",559385,"(+/-7,574)",573845,"(+/-6,741)",597040,"(+/-8,506)",569925,"(+/-9,746)",602575,"(+/-5,733)",593550,"(+/-9,448)",597715,"(+/-3,103)",623350,"(+/-12,055)",598455,"(+/-12,314)",630270,"(+/-8,097)",599295,"(+/-6,022)",596360,"(+/-5,681)",591555,"(+/-8,442)",568315,"(+/-13,005)",629840,"(+/-8,643)",613905,"(+/-9,238)",605980,"(+/-7,652)",643540,"(+/-8,908)",596530,"(+/-13,251)",602335,"(+/-7,982)",601020,"(+/-8,907)",581965,"(+/-8,172)",577585,"(+/-12,116)",597845,"(+/-11,740)",614125,"(+/-12,416)",609870,"(+/-11,827)"
People,"Sex and Age","65 years and over",122840,"(+/-1,587)",129860,"(+/-3,647)",114250,"(+/-3,104)",118750,"(+/-3,635)",87810,"(+/-3,305)",183075,"(+/-3,343)",102685,"(+/-3,538)",178110,"(+/-1,287)",125580,"(+/-4,674)",85520,"(+/-3,832)",269125,"(+/-4,449)",177860,"(+/-4,086)",158690,"(+/-4,179)",93840,"(+/-3,714)",114290,"(+/-5,120)",201510,"(+/-4,470)",227385,"(+/-4,677)",183320,"(+/-4,295)",228870,"(+/-4,572)",102825,"(+/-4,774)",192985,"(+/-4,324)",146390,"(+/-5,541)",119780,"(+/-5,109)",103665,"(+/-4,751)",137725,"(+/-5,969)",106200,"(+/-5,226)",132295,"(+/-5,242)"
People,Race,"Total population",750930,"(+/-1,392)",704515,"(+/-9,387)",726720,"(+/-7,835)",753050,"(+/-10,867)",739390,"(+/-12,338)",735505,"(+/-7,831)",741525,"(+/-13,337)",730745,"(+/-3,776)",818825,"(+/-15,579)",785715,"(+/-16,243)",744855,"(+/-9,673)",740955,"(+/-8,125)",720890,"(+/-7,625)",757440,"(+/-11,652)",739450,"(+/-18,393)",782765,"(+/-10,963)",745340,"(+/-12,276)",749475,"(+/-8,852)",774345,"(+/-11,323)",782790,"(+/-14,972)",742215,"(+/-10,349)",739400,"(+/-10,680)",735515,"(+/-8,498)",739005,"(+/-16,136)",754595,"(+/-14,770)",796155,"(+/-15,895)",739165,"(+/-14,041)"
People,Race,"One race",711505,"(+/-4,742)",687895,"(+/-9,254)",707390,"(+/-8,140)",730250,"(+/-11,346)",718960,"(+/-12,848)",720880,"(+/-8,323)",721750,"(+/-13,765)",711390,"(+/-5,283)",793240,"(+/-15,497)",760340,"(+/-16,413)",730510,"(+/-9,444)",723570,"(+/-7,763)",701290,"(+/-8,356)",732795,"(+/-11,071)",718520,"(+/-18,726)",767580,"(+/-11,260)",732075,"(+/-12,761)",736225,"(+/-10,374)",760765,"(+/-12,313)",761395,"(+/-15,105)",726620,"(+/-10,756)",715375,"(+/-10,970)",717060,"(+/-8,743)",725995,"(+/-15,755)",747095,"(+/-15,014)",783165,"(+/-15,897)",725790,"(+/-14,547)"
People,Race,White,578965,"(+/-3,523)",573670,"(+/-8,227)",548265,"(+/-7,274)",618690,"(+/-11,175)",345500,"(+/-11,334)",612920,"(+/-8,118)",584060,"(+/-12,092)",614485,"(+/-4,194)",611875,"(+/-17,108)",436200,"(+/-13,176)",663355,"(+/-9,814)",656235,"(+/-8,125)",574400,"(+/-7,981)",532860,"(+/-12,632)",549050,"(+/-17,006)",654645,"(+/-10,037)",654720,"(+/-11,861)",600675,"(+/-10,030)",670975,"(+/-12,708)",294650,"(+/-13,316)",575255,"(+/-10,515)",559115,"(+/-12,424)",554740,"(+/-11,433)",313335,"(+/-14,407)",679260,"(+/-15,920)",656690,"(+/-17,078)",642790,"(+/-15,551)"
People,Race,"Black or African American",98280,"(+/-3,701)",95820,"(+/-4,937)",125010,"(+/-4,667)",66805,"(+/-7,738)",343970,"(+/-9,045)",80980,"(+/-4,170)",81495,"(+/-7,738)",70810,"(+/-3,383)",106720,"(+/-8,968)",216535,"(+/-8,629)",47845,"(+/-5,846)",36900,"(+/-3,236)",88965,"(+/-4,307)",135240,"(+/-7,494)",109980,"(+/-9,016)",70435,"(+/-4,944)",54665,"(+/-5,367)",98445,"(+/-7,243)",61935,"(+/-4,278)",420760,"(+/-13,013)",110510,"(+/-7,615)",108365,"(+/-9,670)",99225,"(+/-8,678)",370810,"(+/-10,540)",34220,"(+/-5,384)",103010,"(+/-9,445)",43035,"(+/-6,278)"
