Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE"
People,"Sex and Age","Total population",705773,"(+/-10,113)",725830,"(+/-10,113)"
People,"Sex and Age",Male,358607,"(+/-5,643)",366028,"(+/-5,906)"
People,"Sex and Age",Female,347166,"(+/-6,107)",359802,"(+/-6,178)"
People,"Sex and Age","Under 5 years",40738,"(+/-2,434)",51355,"(+/-2,449)"
People,"Sex and Age","5 to 9 years",36225,"(+/-2,693)",49483,"(+/-3,048)"
People,"Sex and Age","10 to 14 years",39467,"(+/-2,587)",46034,"(+/-2,585)"
People,"Sex and Age","15 to 19 years",38891,"(+/-2,098)",39011,"(+/-2,096)"
People,"Sex and Age","20 to 24 years",50162,"(+/-2,338)",54323,"(+/-2,882)"
People,"Sex and Age","25 to 34 years",112601,"(+/-3,436)",103795,"(+/-3,661)"
People,"Sex and Age","35 to 44 years",90896,"(+/-2,715)",86881,"(+/-2,769)"
People,"Sex and Age","45 to 54 years",91337,"(+/-2,382)",83262,"(+/-2,682)"
People,"Sex and Age","55 to 59 years",45882,"(+/-2,486)",51105,"(+/-2,974)"
People,"Sex and Age","60 to 64 years",38374,"(+/-2,552)",44628,"(+/-2,834)"
People,"Sex and Age","65 to 74 years",64361,"(+/-1,830)",69481,"(+/-1,890)"
People,"Sex and Age","75 to 84 years",34243,"(+/-2,164)",29463,"(+/-1,976)"
People,"Sex and Age","85 years and over",22596,"(+/-1,743)",17009,"(+/-1,889)"
People,"Sex and Age","Median age (years)",38.6,(+/-0.6),36.9,(+/-0.5)
People,"Sex and Age","18 years and over",566242,"(+/-6,851)",554155,"(+/-6,854)"
People,"Sex and Age","65 years and over",121200,"(+/-2,797)",115953,"(+/-2,846)"
People,Race,"Total population",705773,"(+/-10,113)",725830,"(+/-10,113)"
People,Race,"One race",555322,"(+/-10,846)",526108,"(+/-10,458)"
People,Race,White,134281,"(+/-5,097)",237971,"(+/-6,272)"
People,Race,"Black or African American",17215,"(+/-2,298)",12429,"(+/-2,078)"
People,Race,"American Indian and Alaska Native",901,(+/-497),2998,"(+/-1,093)"
People,Race,Asian,348082,"(+/-8,670)",183186,"(+/-8,287)"
People,Race,"Native Hawaiian and Other Pacific Islander",50625,"(+/-5,991)",83607,"(+/-5,565)"
People,Race,"Some other race",4218,"(+/-1,209)",5917,"(+/-1,310)"
