Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE"
People,"Sex and Age","Total population",849601,"(+/-6,944)",805329,"(+/-6,944)"
People,"Sex and Age",Male,425632,"(+/-5,159)",401187,"(+/-5,043)"
People,"Sex and Age",Female,423969,"(+/-4,887)",404142,"(+/-4,880)"
People,"Sex and Age","Under 5 years",51948,"(+/-2,015)",59899,"(+/-2,017)"
People,"Sex and Age","5 to 9 years",62059,"(+/-3,698)",62847,"(+/-3,064)"
People,"Sex and Age","10 to 14 years",63087,"(+/-3,422)",60398,"(+/-2,962)"
People,"Sex and Age","15 to 19 years",60260,"(+/-2,206)",57348,"(+/-2,810)"
People,"Sex and Age","20 to 24 years",50924,"(+/-2,807)",60178,"(+/-3,134)"
People,"Sex and Age","25 to 34 years",102063,"(+/-3,579)",114747,"(+/-4,408)"
People,"Sex and Age","35 to 44 years",105300,"(+/-3,789)",99205,"(+/-3,567)"
People,"Sex and Age","45 to 54 years",107913,"(+/-3,280)",91051,"(+/-2,997)"
People,"Sex and Age","55 to 59 years",55023,"(+/-3,950)",47744,"(+/-3,167)"
People,"Sex and Age","60 to 64 years",55095,"(+/-4,036)",44577,"(+/-3,020)"
People,"Sex and Age","65 to 74 years",82856,"(+/-2,199)",62721,"(+/-2,310)"
People,"Sex and Age","75 to 84 years",40257,"(+/-2,269)",30905,"(+/-1,954)"
People,"Sex and Age","85 years and over",12816,"(+/-1,790)",13709,"(+/-1,616)"
People,"Sex and Age","Median age (years)",37.9,(+/-0.6),33.7,(+/-0.5)
People,"Sex and Age","18 years and over",635739,"(+/-5,749)",587010,"(+/-5,700)"
People,"Sex and Age","65 years and over",135929,"(+/-3,183)",107335,"(+/-3,339)"
People,Race,"Total population",849601,"(+/-6,944)",805329,"(+/-6,944)"
People,Race,"One race",822825,"(+/-7,545)",784681,"(+/-6,721)"
People,Race,White,777966,"(+/-8,332)",736438,"(+/-8,425)"
People,Race,"Black or African American",3730,"(+/-1,269)",5098,"(+/-1,544)"
People,Race,"American Indian and Alaska Native",13886,"(+/-2,508)",9630,"(+/-1,184)"
People,Race,Asian,8604,"(+/-1,848)",12541,"(+/-1,840)"
People,Race,"Native Hawaiian and Other Pacific Islander",1305,(+/-890),626,(+/-421)
People,Race,"Some other race",17334,"(+/-4,066)",20348,"(+/-3,297)"
People,Race,"Two or more races",26776,"(+/-3,384)",20648,"(+/-2,981)"
People,"Hispanic or Latino and Race","Total population",849601,"(+/-6,944)",805329,"(+/-6,944)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",89572,"(+/-2,827)",110268,"(+/-2,822)"
People,"Hispanic or Latino and Race",Mexican,76131,"(+/-3,268)",97957,"(+/-3,689)"
People,"Hispanic or Latino and Race","Puerto Rican",3239,"(+/-1,707)",1133,(+/-717)
People,"Hispanic or Latino and Race",Cuban,834,(+/-774),607,(+/-754)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",9368,"(+/-2,106)",10571,"(+/-2,708)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",760029,"(+/-7,194)",695061,"(+/-6,956)"
People,"Place of Birth","Total population",849601,"(+/-6,944)",805329,"(+/-6,944)"
People,"Place of Birth",Native,809518,"(+/-8,316)",751048,"(+/-7,432)"
People,"Place of Birth","Born in United States",802813,"(+/-8,722)",743641,"(+/-7,318)"
People,"Place of Birth","State of residence",378485,"(+/-10,337)",416302,"(+/-9,800)"
People,"Place of Birth","Different state",424328,"(+/-10,612)",327339,"(+/-9,587)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6705,"(+/-1,400)",7407,"(+/-1,845)"
People,"Place of Birth","Foreign born",40083,"(+/-4,841)",54281,"(+/-3,969)"
People,Ancestry,"Total population",849601,"(+/-6,944)",805329,"(+/-6,944)"
People,Ancestry,American,50010,"(+/-6,336)",79738,"(+/-7,617)"
People,Ancestry,Arab,2995,"(+/-1,394)",3303,"(+/-1,317)"
People,Ancestry,Czech,3326,"(+/-1,426)",3676,"(+/-1,240)"
People,Ancestry,Danish,10668,"(+/-2,367)",24199,"(+/-3,558)"
People,Ancestry,Dutch,19786,"(+/-3,901)",13619,"(+/-2,688)"
People,Ancestry,English,138203,"(+/-8,973)",136542,"(+/-6,992)"
People,Ancestry,"French (except Basque)",27454,"(+/-4,104)",17843,"(+/-2,824)"
People,Ancestry,"French Canadian",4069,"(+/-1,035)",3995,"(+/-1,396)"
People,Ancestry,German,165093,"(+/-8,725)",121084,"(+/-6,900)"
People,Ancestry,Greek,2126,"(+/-1,085)",1852,(+/-824)
People,Ancestry,Hungarian,3449,"(+/-1,533)",1760,(+/-994)
People,Ancestry,Irish,91489,"(+/-7,673)",66458,"(+/-5,644)"
