Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE"
People,"Sex and Age","Total population",717447,"(+/-17,544)",702674,"(+/-10,976)",727484,"(+/-14,635)",708172,"(+/-17,781)",735985,"(+/-15,757)",726447,"(+/-10,660)",721321,"(+/-18,051)",710467,"(+/-10,055)",722268,"(+/-14,681)",714251,"(+/-7,910)",729611,"(+/-8,887)",699369,"(+/-3,375)",706596,"(+/-7,493)",728436,"(+/-9,486)",703653,"(+/-5,254)",701275,"(+/-6,567)",691375,"(+/-7,512)",713164,"(+/-7,847)"
People,"Sex and Age",Male,332384,"(+/-9,983)",330370,"(+/-6,631)",356789,"(+/-8,221)",356223,"(+/-9,338)",362417,"(+/-9,379)",357947,"(+/-6,882)",342955,"(+/-10,762)",356592,"(+/-7,545)",355623,"(+/-9,449)",356761,"(+/-5,235)",356274,"(+/-6,790)",343128,"(+/-3,061)",345872,"(+/-3,852)",361456,"(+/-6,025)",351205,"(+/-3,355)",349470,"(+/-4,082)",341122,"(+/-4,421)",353847,"(+/-4,801)"
People,"Sex and Age",Female,385063,"(+/-11,168)",372304,"(+/-8,177)",370695,"(+/-9,407)",351949,"(+/-10,422)",373568,"(+/-8,336)",368500,"(+/-6,935)",378366,"(+/-10,686)",353875,"(+/-6,333)",366645,"(+/-8,792)",357490,"(+/-4,640)",373337,"(+/-6,407)",356241,"(+/-2,775)",360724,"(+/-5,550)",366980,"(+/-6,474)",352448,"(+/-4,124)",351805,"(+/-3,809)",350253,"(+/-4,593)",359317,"(+/-5,350)"
People,"Sex and Age","Under 5 years",45499,"(+/-3,765)",40044,"(+/-3,153)",47639,"(+/-3,646)",52756,"(+/-3,674)",48120,"(+/-3,719)",37947,"(+/-3,261)",42398,"(+/-3,419)",47506,"(+/-3,382)",40987,"(+/-3,167)",45295,"(+/-2,233)",47245,"(+/-2,900)",40986,"(+/-1,423)",37589,"(+/-1,803)",43705,"(+/-3,228)",42092,"(+/-1,492)",38681,"(+/-2,281)",38663,"(+/-1,734)",42514,"(+/-1,744)"
People,"Sex and Age","5 to 9 years",46942,"(+/-3,533)",44855,"(+/-3,137)",49649,"(+/-4,336)",52726,"(+/-3,251)",38872,"(+/-3,476)",48512,"(+/-3,734)",41109,"(+/-3,814)",45223,"(+/-3,544)",39269,"(+/-2,912)",49952,"(+/-2,786)",55335,"(+/-3,331)",43112,"(+/-2,951)",41743,"(+/-2,649)",47691,"(+/-3,506)",43452,"(+/-2,497)",44517,"(+/-2,422)",43701,"(+/-2,866)",45264,"(+/-2,835)"
People,"Sex and Age","10 to 14 years",44995,"(+/-3,931)",48410,"(+/-3,119)",51218,"(+/-3,649)",50657,"(+/-3,606)",35301,"(+/-3,016)",52834,"(+/-3,084)",37064,"(+/-3,042)",47777,"(+/-3,659)",41867,"(+/-2,959)",51635,"(+/-2,670)",58202,"(+/-3,971)",44748,"(+/-3,115)",38835,"(+/-3,063)",58293,"(+/-4,692)",45958,"(+/-2,386)",47236,"(+/-2,817)",44756,"(+/-2,189)",45791,"(+/-2,445)"
People,"Sex and Age","15 to 19 years",51560,"(+/-3,859)",53859,"(+/-3,571)",53667,"(+/-3,979)",46314,"(+/-3,548)",31952,"(+/-2,753)",50519,"(+/-3,062)",45357,"(+/-3,729)",39783,"(+/-3,036)",38459,"(+/-3,292)",52786,"(+/-2,180)",53079,"(+/-3,169)",43109,"(+/-1,814)",57672,"(+/-3,067)",55143,"(+/-3,615)",45480,"(+/-2,229)",46216,"(+/-2,403)",45921,"(+/-2,379)",46153,"(+/-2,301)"
People,"Sex and Age","20 to 24 years",53949,"(+/-3,930)",47605,"(+/-3,602)",47419,"(+/-4,120)",56259,"(+/-3,931)",47498,"(+/-3,578)",42187,"(+/-2,943)",60738,"(+/-4,793)",46530,"(+/-3,675)",42212,"(+/-3,559)",47798,"(+/-2,365)",49945,"(+/-3,171)",47169,"(+/-2,525)",74287,"(+/-3,846)",44517,"(+/-3,549)",46110,"(+/-2,404)",48035,"(+/-2,300)",46568,"(+/-2,160)",45035,"(+/-3,156)"
People,"Sex and Age","25 to 34 years",89388,"(+/-4,716)",87073,"(+/-4,412)",93447,"(+/-5,577)",128890,"(+/-5,991)",163547,"(+/-6,039)",81808,"(+/-5,395)",141959,"(+/-6,906)",103645,"(+/-5,720)",108021,"(+/-6,207)",84614,"(+/-3,359)",97727,"(+/-4,826)",92005,"(+/-2,388)",88086,"(+/-3,072)",75900,"(+/-4,479)",86598,"(+/-2,306)",81527,"(+/-2,625)",82038,"(+/-3,168)",86939,"(+/-2,873)"
People,"Sex and Age","35 to 44 years",84288,"(+/-4,883)",85810,"(+/-3,636)",95533,"(+/-5,298)",106636,"(+/-4,841)",111788,"(+/-4,874)",91394,"(+/-4,362)",98090,"(+/-5,448)",99716,"(+/-4,673)",94128,"(+/-4,992)",92129,"(+/-3,205)",105667,"(+/-4,589)",85935,"(+/-2,124)",84195,"(+/-2,795)",102828,"(+/-4,866)",82388,"(+/-1,822)",83080,"(+/-2,331)",82690,"(+/-2,731)",86310,"(+/-2,551)"
People,"Sex and Age","45 to 54 years",94576,"(+/-4,481)",99083,"(+/-4,732)",100137,"(+/-4,776)",85439,"(+/-4,878)",89226,"(+/-4,714)",111050,"(+/-4,538)",86987,"(+/-4,391)",103326,"(+/-4,430)",100287,"(+/-4,936)",101453,"(+/-3,029)",102060,"(+/-4,469)",96196,"(+/-1,473)",83461,"(+/-2,781)",117742,"(+/-4,357)",90231,"(+/-1,990)",98568,"(+/-2,882)",89325,"(+/-2,534)",95621,"(+/-2,505)"
People,"Sex and Age","55 to 59 years",55454,"(+/-4,144)",50796,"(+/-2,973)",47477,"(+/-3,421)",35962,"(+/-2,828)",43603,"(+/-2,843)",58515,"(+/-3,512)",42401,"(+/-3,241)",47061,"(+/-3,057)",55546,"(+/-3,740)",46824,"(+/-3,067)",45294,"(+/-3,072)",48579,"(+/-2,557)",47793,"(+/-2,540)",49389,"(+/-3,229)",52090,"(+/-2,104)",50568,"(+/-2,484)",49857,"(+/-2,388)",49517,"(+/-2,753)"
People,"Sex and Age","60 to 64 years",45111,"(+/-2,927)",42850,"(+/-3,072)",44108,"(+/-3,590)",30725,"(+/-2,745)",33384,"(+/-2,597)",48839,"(+/-3,237)",37401,"(+/-3,486)",42765,"(+/-3,553)",45208,"(+/-3,258)",43323,"(+/-2,734)",33721,"(+/-2,457)",46776,"(+/-2,646)",43714,"(+/-2,461)",43678,"(+/-3,111)",44638,"(+/-1,890)",46284,"(+/-2,727)",46574,"(+/-2,725)",47303,"(+/-2,520)"
