Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE"
People,"Sex and Age","Total population",716495,"(+/-2,701)",725415,"(+/-3,568)",735864,"(+/-2,529)",747601,"(+/-4,041)",760212,"(+/-7,171)",721380,"(+/-3,043)",749776,"(+/-6,314)",720955,"(+/-2,026)",741982,"(+/-4,492)"
People,"Sex and Age",Male,350730,"(+/-1,917)",359281,"(+/-2,822)",360680,"(+/-2,251)",373810,"(+/-3,227)",369842,"(+/-4,474)",354333,"(+/-2,326)",362258,"(+/-4,234)",358780,"(+/-2,262)",363375,"(+/-3,256)"
People,"Sex and Age",Female,365765,"(+/-1,967)",366134,"(+/-2,566)",375184,"(+/-1,986)",373791,"(+/-3,457)",390370,"(+/-5,007)",367047,"(+/-2,631)",387518,"(+/-4,409)",362175,"(+/-2,196)",378607,"(+/-3,103)"
People,"Sex and Age","Under 5 years",43533,(+/-781),47237,"(+/-1,060)",50961,(+/-923),45671,"(+/-1,724)",48585,"(+/-2,916)",41509,"(+/-1,393)",57144,"(+/-2,473)",42651,"(+/-1,093)",41918,"(+/-1,694)"
People,"Sex and Age","5 to 9 years",46526,"(+/-2,851)",49118,"(+/-2,458)",52884,"(+/-2,432)",45570,"(+/-2,580)",51222,"(+/-2,769)",42818,"(+/-2,346)",54145,"(+/-4,309)",43644,"(+/-2,174)",45090,"(+/-3,468)"
People,"Sex and Age","10 to 14 years",48524,"(+/-2,839)",51705,"(+/-2,450)",53744,"(+/-2,393)",51510,"(+/-2,830)",54439,"(+/-3,022)",46057,"(+/-2,380)",54160,"(+/-4,212)",45426,"(+/-2,264)",49128,"(+/-3,173)"
People,"Sex and Age","15 to 19 years",47745,(+/-951),53767,"(+/-1,937)",51541,"(+/-2,029)",55573,"(+/-2,652)",50434,"(+/-2,060)",54866,"(+/-2,328)",47677,"(+/-1,531)",50033,"(+/-2,040)",54737,"(+/-1,906)"
People,"Sex and Age","20 to 24 years",48206,"(+/-1,365)",49512,"(+/-1,801)",49508,"(+/-2,004)",70951,"(+/-2,471)",42122,"(+/-2,795)",52280,"(+/-1,901)",57964,"(+/-2,181)",51227,"(+/-1,978)",63045,"(+/-2,223)"
People,"Sex and Age","25 to 34 years",88034,"(+/-1,399)",88717,"(+/-2,332)",90430,"(+/-1,558)",91461,"(+/-2,503)",102014,"(+/-3,942)",79708,"(+/-1,956)",120065,"(+/-3,528)",87520,"(+/-1,955)",94073,"(+/-2,180)"
People,"Sex and Age","35 to 44 years",92301,"(+/-1,537)",88421,"(+/-1,954)",89612,"(+/-1,567)",90260,"(+/-2,531)",101411,"(+/-3,340)",85417,"(+/-1,367)",97616,"(+/-2,691)",86639,"(+/-1,815)",90921,"(+/-2,080)"
People,"Sex and Age","45 to 54 years",96347,"(+/-1,202)",92220,"(+/-1,883)",95096,"(+/-1,143)",95886,"(+/-2,143)",106389,"(+/-2,958)",102685,"(+/-1,533)",96640,"(+/-2,357)",96080,"(+/-1,553)",97086,"(+/-1,812)"
People,"Sex and Age","55 to 59 years",52103,"(+/-2,458)",49563,"(+/-2,265)",52521,"(+/-2,253)",48233,"(+/-2,365)",53991,"(+/-2,942)",50241,"(+/-2,566)",44801,"(+/-2,894)",50954,"(+/-2,498)",50164,"(+/-2,837)"
People,"Sex and Age","60 to 64 years",45280,"(+/-2,530)",45016,"(+/-2,295)",42902,"(+/-2,102)",46633,"(+/-2,474)",45441,"(+/-2,903)",46280,"(+/-2,549)",38017,"(+/-2,596)",47734,"(+/-2,495)",45326,"(+/-2,726)"
People,"Sex and Age","65 to 74 years",62355,"(+/-1,004)",62408,"(+/-1,501)",61240,(+/-850),60107,"(+/-1,209)",59814,"(+/-1,970)",68801,"(+/-1,023)",47305,"(+/-1,593)",67816,(+/-987),65813,"(+/-1,440)"
People,"Sex and Age","75 to 84 years",32049,"(+/-1,647)",32987,"(+/-1,657)",31273,"(+/-1,401)",31555,"(+/-1,593)",29911,"(+/-2,113)",36907,"(+/-1,448)",24181,"(+/-1,758)",35950,"(+/-1,508)",30446,"(+/-1,621)"
