Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,"Sex and Age","Total population",715330,"(+/-2,082)",715752,"(+/-2,605)",755396,"(+/-1,890)",725163,"(+/-1,669)"
People,"Sex and Age",Male,363813,"(+/-2,671)",352284,"(+/-2,487)",371508,"(+/-1,310)",361619,"(+/-1,697)"
People,"Sex and Age",Female,351517,"(+/-2,850)",363468,"(+/-1,989)",383888,"(+/-1,144)",363544,"(+/-1,480)"
People,"Sex and Age","Under 5 years",49877,"(+/-1,339)",44451,"(+/-1,301)",52319,(+/-362),50419,(+/-914)
People,"Sex and Age","5 to 9 years",47622,"(+/-2,198)",47080,"(+/-2,694)",54396,"(+/-2,509)",50499,"(+/-2,998)"
People,"Sex and Age","10 to 14 years",45632,"(+/-2,355)",46197,"(+/-2,457)",56000,"(+/-2,378)",54589,"(+/-3,316)"
People,"Sex and Age","15 to 19 years",56526,"(+/-2,882)",51431,"(+/-1,715)",49646,"(+/-1,312)",50642,"(+/-1,586)"
People,"Sex and Age","20 to 24 years",60381,"(+/-2,733)",62330,"(+/-2,581)",45326,"(+/-1,316)",47799,"(+/-1,351)"
People,"Sex and Age","25 to 34 years",94730,"(+/-3,001)",87034,"(+/-2,710)",104572,"(+/-1,061)",98163,"(+/-1,041)"
People,"Sex and Age","35 to 44 years",78353,"(+/-2,529)",81021,"(+/-1,931)",102769,(+/-735),85087,"(+/-1,238)"
People,"Sex and Age","45 to 54 years",82921,"(+/-2,052)",88582,"(+/-1,457)",101423,(+/-845),89431,"(+/-1,130)"
People,"Sex and Age","55 to 59 years",44984,"(+/-2,156)",49461,"(+/-1,893)",50958,"(+/-2,235)",50568,"(+/-2,228)"
People,"Sex and Age","60 to 64 years",43979,"(+/-2,294)",43544,"(+/-2,347)",41843,"(+/-2,251)",43004,"(+/-2,156)"
