Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE"
People,"Sex and Age","Total population",806140,"(+/-10,370)",791393,"(+/-11,903)",782417,"(+/-1,912)",758913,"(+/-3,777)",746021,"(+/-6,652)",785840,"(+/-9,601)"
People,"Sex and Age",Male,391300,"(+/-6,587)",379769,"(+/-7,004)",382863,"(+/-2,361)",375798,"(+/-3,206)",373657,"(+/-4,795)",382912,"(+/-6,330)"
People,"Sex and Age",Female,414840,"(+/-6,809)",411624,"(+/-7,022)",399554,"(+/-2,303)",383115,"(+/-3,595)",372364,"(+/-4,496)",402928,"(+/-6,069)"
People,"Sex and Age","Under 5 years",48929,"(+/-2,450)",51245,"(+/-2,707)",52983,"(+/-1,260)",52696,"(+/-1,389)",49291,"(+/-1,561)",49701,"(+/-2,840)"
People,"Sex and Age","5 to 9 years",53828,"(+/-3,589)",52987,"(+/-3,300)",56739,"(+/-3,463)",50233,"(+/-2,891)",52342,"(+/-3,297)",59034,"(+/-3,966)"
People,"Sex and Age","10 to 14 years",51304,"(+/-3,820)",47244,"(+/-3,017)",51016,"(+/-3,317)",54288,"(+/-2,843)",46266,"(+/-2,952)",49679,"(+/-3,222)"
People,"Sex and Age","15 to 19 years",51917,"(+/-2,888)",50941,"(+/-2,389)",54088,"(+/-2,576)",49646,"(+/-2,606)",52388,"(+/-3,075)",52842,"(+/-2,876)"
People,"Sex and Age","20 to 24 years",49683,"(+/-3,048)",59485,"(+/-3,459)",53940,"(+/-2,399)",53940,"(+/-2,354)",50326,"(+/-2,779)",66468,"(+/-3,087)"
People,"Sex and Age","25 to 34 years",114472,"(+/-3,938)",126466,"(+/-3,871)",113887,"(+/-2,760)",104486,"(+/-3,109)",98465,"(+/-3,902)",112824,"(+/-4,093)"
People,"Sex and Age","35 to 44 years",97346,"(+/-3,912)",100778,"(+/-3,862)",94356,"(+/-2,385)",93604,"(+/-2,759)",93924,"(+/-3,766)",98064,"(+/-3,512)"
People,"Sex and Age","45 to 54 years",109207,"(+/-3,402)",101302,"(+/-3,599)",101274,"(+/-1,923)",91356,"(+/-1,843)",94730,"(+/-2,934)",99887,"(+/-3,960)"
People,"Sex and Age","55 to 59 years",56747,"(+/-3,051)",56734,"(+/-3,000)",52369,"(+/-2,738)",48478,"(+/-2,536)",48711,"(+/-2,773)",49312,"(+/-3,620)"
People,"Sex and Age","60 to 64 years",51594,"(+/-2,866)",45612,"(+/-2,580)",47181,"(+/-2,713)",46647,"(+/-2,656)",46498,"(+/-2,513)",45336,"(+/-3,119)"
People,"Sex and Age","65 to 74 years",70312,"(+/-2,199)",59280,"(+/-2,457)",60253,"(+/-1,160)",64923,"(+/-1,559)",65368,"(+/-2,039)",63177,"(+/-2,180)"
People,"Sex and Age","75 to 84 years",35959,"(+/-2,014)",28530,"(+/-2,213)",31960,"(+/-1,769)",33608,"(+/-1,648)",34398,"(+/-1,841)",29740,"(+/-1,967)"
People,"Sex and Age","85 years and over",14842,"(+/-1,416)",10789,"(+/-1,510)",12371,"(+/-1,397)",15008,"(+/-1,506)",13314,"(+/-1,348)",9776,"(+/-1,302)"
People,"Sex and Age","Median age (years)",38.1,(+/-0.5),35.6,(+/-0.4),35.7,(+/-0.3),36.5,(+/-0.5),37.3,(+/-0.5),35.2,(+/-0.5)
People,"Sex and Age","18 years and over",621689,"(+/-7,688)",609373,"(+/-8,778)",587548,"(+/-1,653)",571783,"(+/-2,574)",567100,"(+/-4,853)",597046,"(+/-7,373)"
People,"Sex and Age","65 years and over",121113,"(+/-2,800)",98599,"(+/-2,396)",104584,"(+/-1,206)",113539,"(+/-1,725)",113080,"(+/-2,223)",102693,"(+/-2,627)"
People,Race,"Total population",806140,"(+/-10,370)",791393,"(+/-11,903)",782417,"(+/-1,912)",758913,"(+/-3,777)",746021,"(+/-6,652)",785840,"(+/-9,601)"
People,Race,"One race",787589,"(+/-11,111)",775421,"(+/-12,736)",764338,"(+/-4,334)",741024,"(+/-4,580)",737747,"(+/-7,022)",766932,"(+/-11,239)"
People,Race,White,639098,"(+/-9,269)",257161,"(+/-9,063)",550483,"(+/-3,312)",461445,"(+/-3,762)",459743,"(+/-5,411)",546763,"(+/-7,735)"
People,Race,"Black or African American",113677,"(+/-6,161)",478785,"(+/-9,218)",190762,"(+/-3,916)",259324,"(+/-4,171)",269584,"(+/-5,617)",190243,"(+/-8,370)"
People,Race,"American Indian and Alaska Native",8682,"(+/-1,673)",1699,(+/-543),3294,"(+/-1,008)",5157,(+/-936),1858,(+/-777),1955,(+/-953)
People,Race,Asian,16486,"(+/-2,466)",24074,"(+/-2,472)",12544,(+/-551),7696,(+/-660),3129,(+/-816),17110,"(+/-1,403)"
People,Race,"Native Hawaiian and Other Pacific Islander",179,(+/-244),133,(+/-166),80,(+/-132),497,(+/-258),70,(+/-109),187,(+/-227)
People,Race,"Some other race",9467,"(+/-2,257)",13569,"(+/-3,189)",7175,"(+/-2,121)",6905,"(+/-2,136)",3363,"(+/-1,297)",10674,"(+/-3,529)"
People,Race,"Two or more races",18551,"(+/-3,305)",15972,"(+/-3,424)",18079,"(+/-3,682)",17889,"(+/-2,757)",8274,"(+/-2,415)",18908,"(+/-4,671)"
People,"Hispanic or Latino and Race","Total population",806140,"(+/-10,370)",791393,"(+/-11,903)",782417,"(+/-1,912)",758913,"(+/-3,777)",746021,"(+/-6,652)",785840,"(+/-9,601)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",70298,"(+/-4,843)",49873,"(+/-4,505)",29493,(+/-997),28158,(+/-712),16885,"(+/-1,385)",33871,"(+/-3,246)"
People,"Hispanic or Latino and Race",Mexican,18102,"(+/-3,273)",11510,"(+/-2,644)",14917,"(+/-3,092)",19550,"(+/-2,545)",10563,"(+/-1,809)",16184,"(+/-4,081)"
People,"Hispanic or Latino and Race","Puerto Rican",3535,"(+/-1,533)",3471,"(+/-1,412)",2720,"(+/-1,411)",1785,(+/-678),1070,(+/-822),3395,"(+/-2,244)"
People,"Hispanic or Latino and Race",Cuban,5161,"(+/-1,919)",1123,(+/-465),1610,"(+/-1,387)",1022,"(+/-1,176)",942,(+/-831),2352,"(+/-1,670)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",43500,"(+/-4,189)",33769,"(+/-4,048)",10246,"(+/-2,400)",5801,"(+/-2,137)",4310,"(+/-1,411)",11940,"(+/-3,206)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",735842,"(+/-10,466)",741520,"(+/-12,363)",752924,"(+/-2,177)",730755,"(+/-3,944)",729136,"(+/-6,838)",751969,"(+/-9,833)"
People,"Place of Birth","Total population",806140,"(+/-10,370)",791393,"(+/-11,903)",782417,"(+/-1,912)",758913,"(+/-3,777)",746021,"(+/-6,652)",785840,"(+/-9,601)"
People,"Place of Birth",Native,752586,"(+/-10,155)",742513,"(+/-12,445)",758765,"(+/-2,902)",741091,"(+/-4,609)",735299,"(+/-6,707)",754101,"(+/-10,447)"
People,"Place of Birth","Born in United States",746546,"(+/-10,282)",736909,"(+/-12,609)",754971,"(+/-3,265)",734128,"(+/-4,651)",733361,"(+/-6,904)",749281,"(+/-10,554)"
People,"Place of Birth","State of residence",593378,"(+/-11,730)",620930,"(+/-13,440)",650084,"(+/-5,969)",566917,"(+/-8,267)",613194,"(+/-8,488)",613104,"(+/-10,954)"
People,"Place of Birth","Different state",153168,"(+/-7,265)",115979,"(+/-4,763)",104887,"(+/-6,055)",167211,"(+/-7,413)",120167,"(+/-5,747)",136177,"(+/-7,715)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6040,"(+/-1,518)",5604,"(+/-1,118)",3794,"(+/-1,148)",6963,"(+/-1,594)",1938,(+/-863),4820,"(+/-1,622)"
People,"Place of Birth","Foreign born",53554,"(+/-5,024)",48880,"(+/-4,416)",23652,"(+/-2,040)",17822,"(+/-2,385)",10722,"(+/-1,845)",31739,"(+/-3,213)"
People,Ancestry,"Total population",806140,"(+/-10,370)",791393,"(+/-11,903)",782417,"(+/-1,912)",758913,"(+/-3,777)",746021,"(+/-6,652)",785840,"(+/-9,601)"
People,Ancestry,American,55136,"(+/-6,169)",29419,"(+/-3,828)",77789,"(+/-7,513)",94723,"(+/-7,980)",127682,"(+/-7,383)",63227,"(+/-6,962)"
People,Ancestry,Arab,3322,"(+/-1,374)",3443,"(+/-2,027)",3099,"(+/-1,465)",2812,"(+/-1,528)",775,(+/-511),2215,"(+/-1,007)"
People,Ancestry,Czech,1240,(+/-664),388,(+/-197),198,(+/-203),383,(+/-260),265,(+/-281),1331,(+/-873)
People,Ancestry,Danish,1406,(+/-748),166,(+/-125),364,(+/-480),293,(+/-189),761,(+/-544),1321,(+/-776)
People,Ancestry,Dutch,3425,"(+/-1,048)",1836,(+/-553),2760,"(+/-1,091)",3830,"(+/-1,174)",3501,"(+/-1,028)",3492,"(+/-1,387)"
