Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE"
People,"Sex and Age","Total population",672009,"(+/-3,793)",657319,"(+/-3,793)"
People,"Sex and Age",Male,327385,"(+/-2,890)",323645,"(+/-2,733)"
People,"Sex and Age",Female,344624,"(+/-2,618)",333674,"(+/-2,266)"
People,"Sex and Age","Under 5 years",31241,"(+/-1,058)",32611,"(+/-1,179)"
People,"Sex and Age","5 to 9 years",34314,"(+/-2,317)",35035,"(+/-2,745)"
People,"Sex and Age","10 to 14 years",37949,"(+/-2,053)",36971,"(+/-2,240)"
People,"Sex and Age","15 to 19 years",41374,"(+/-1,367)",39669,"(+/-1,260)"
People,"Sex and Age","20 to 24 years",40897,"(+/-1,823)",38027,"(+/-1,359)"
People,"Sex and Age","25 to 34 years",76152,"(+/-1,808)",75812,"(+/-1,485)"
People,"Sex and Age","35 to 44 years",79180,"(+/-1,340)",73492,"(+/-1,333)"
People,"Sex and Age","45 to 54 years",100020,"(+/-1,584)",96129,"(+/-1,352)"
People,"Sex and Age","55 to 59 years",53912,"(+/-3,073)",56363,"(+/-2,324)"
People,"Sex and Age","60 to 64 years",51171,"(+/-3,102)",48441,"(+/-2,025)"
People,"Sex and Age","65 to 74 years",72954,(+/-842),73687,(+/-807)
People,"Sex and Age","75 to 84 years",36628,"(+/-1,669)",35275,"(+/-1,753)"
People,"Sex and Age","85 years and over",16217,"(+/-1,487)",15807,"(+/-1,653)"
People,"Sex and Age","Median age (years)",44.5,(+/-0.3),44.6,(+/-0.3)
People,"Sex and Age","18 years and over",543619,"(+/-2,676)",529850,"(+/-2,661)"
People,"Sex and Age","65 years and over",125799,"(+/-1,298)",124769,"(+/-1,083)"
People,Race,"Total population",672009,"(+/-3,793)",657319,"(+/-3,793)"
People,Race,"One race",656778,"(+/-4,260)",641957,"(+/-4,013)"
People,Race,White,633698,"(+/-3,849)",624376,"(+/-3,723)"
People,Race,"Black or African American",9651,"(+/-1,494)",5144,(+/-990)
People,Race,"American Indian and Alaska Native",2398,(+/-994),6568,(+/-872)
People,Race,Asian,9351,"(+/-1,306)",3940,(+/-664)
People,Race,"Native Hawaiian and Other Pacific Islander",121,(+/-168),531,(+/-409)
People,Race,"Some other race",1559,(+/-945),1398,(+/-613)
People,Race,"Two or more races",15231,"(+/-2,076)",15362,"(+/-1,292)"
People,"Hispanic or Latino and Race","Total population",672009,"(+/-3,793)",657319,"(+/-3,793)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",11214,(+/-670),8938,(+/-694)
People,"Hispanic or Latino and Race",Mexican,3404,"(+/-1,195)",1951,(+/-616)
People,"Hispanic or Latino and Race","Puerto Rican",2950,(+/-944),2858,(+/-842)
