Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE"
People,"Sex and Age","Total population",700136,"(+/-1,016)",731188,"(+/-4,101)",730423,"(+/-3,923)",701635,"(+/-3,683)",682716,"(+/-3,957)",713644,"(+/-1,736)",697627,"(+/-4,121)",728781,"(+/-6,015)",717641,"(+/-7,253)",715535,"(+/-5,998)",720585,"(+/-6,745)",708020,"(+/-7,151)",679235,"(+/-12,682)",695410,"(+/-12,577)"
People,"Sex and Age",Male,356192,"(+/-1,343)",360010,"(+/-3,417)",364098,"(+/-3,084)",351789,"(+/-2,427)",329925,"(+/-2,557)",352105,"(+/-1,508)",349767,"(+/-2,940)",358354,"(+/-3,989)",347631,"(+/-5,002)",353399,"(+/-3,787)",354413,"(+/-5,070)",346264,"(+/-5,338)",322668,"(+/-6,318)",330452,"(+/-6,968)"
People,"Sex and Age",Female,343944,"(+/-1,211)",371178,"(+/-3,673)",366325,"(+/-3,195)",349846,"(+/-2,387)",352791,"(+/-2,407)",361539,"(+/-1,896)",347860,"(+/-2,369)",370427,"(+/-3,599)",370010,"(+/-5,043)",362136,"(+/-4,173)",366172,"(+/-4,388)",361756,"(+/-4,988)",356567,"(+/-8,511)",364958,"(+/-7,910)"
People,"Sex and Age","Under 5 years",32232,(+/-762),48684,"(+/-2,071)",45707,"(+/-2,005)",36230,(+/-997),39091,(+/-886),42112,(+/-688),37749,"(+/-1,027)",36494,"(+/-1,654)",39913,"(+/-2,482)",37197,"(+/-1,767)",40642,"(+/-2,921)",42380,"(+/-2,694)",46252,"(+/-3,172)",45972,"(+/-3,158)"
People,"Sex and Age","5 to 9 years",35966,"(+/-1,686)",47075,"(+/-2,986)",45352,"(+/-2,523)",45008,"(+/-2,003)",43521,"(+/-2,384)",45922,"(+/-2,200)",41296,"(+/-2,139)",41811,"(+/-2,849)",38405,"(+/-2,989)",42590,"(+/-3,411)",41055,"(+/-3,054)",40205,"(+/-2,422)",45158,"(+/-3,544)",44825,"(+/-3,192)"
People,"Sex and Age","10 to 14 years",37970,"(+/-1,786)",49894,"(+/-2,886)",56178,"(+/-2,746)",37779,"(+/-1,980)",42111,"(+/-2,314)",45283,"(+/-2,329)",45719,"(+/-1,983)",48908,"(+/-2,849)",41330,"(+/-3,241)",50117,"(+/-3,305)",48897,"(+/-2,711)",42267,"(+/-2,390)",44560,"(+/-3,437)",45915,"(+/-2,869)"
People,"Sex and Age","15 to 19 years",44144,"(+/-1,363)",53043,"(+/-1,916)",49616,"(+/-1,648)",51147,"(+/-1,287)",43794,"(+/-1,514)",51790,"(+/-1,202)",46721,"(+/-1,477)",60107,"(+/-2,525)",38089,"(+/-1,959)",47721,"(+/-1,864)",45766,"(+/-2,613)",51224,"(+/-2,363)",48450,"(+/-2,763)",44447,"(+/-3,495)"
People,"Sex and Age","20 to 24 years",43420,"(+/-1,709)",56153,"(+/-2,308)",48477,"(+/-2,071)",55479,"(+/-1,470)",44167,"(+/-1,330)",56766,"(+/-1,391)",42374,"(+/-1,580)",65120,"(+/-2,002)",44605,"(+/-2,884)",41052,"(+/-2,087)",40074,"(+/-2,915)",71610,"(+/-2,709)",52376,"(+/-3,442)",50725,"(+/-3,457)"
People,"Sex and Age","25 to 34 years",72800,"(+/-1,380)",93493,"(+/-3,100)",100666,"(+/-2,817)",78953,"(+/-1,915)",79943,"(+/-2,154)",85643,"(+/-1,508)",77873,"(+/-1,741)",83534,"(+/-2,416)",102987,"(+/-4,325)",76900,"(+/-3,042)",87315,"(+/-3,541)",97309,"(+/-3,407)",92721,"(+/-3,594)",91421,"(+/-4,084)"
People,"Sex and Age","35 to 44 years",72334,"(+/-1,007)",84281,"(+/-2,582)",90148,"(+/-2,281)",75194,"(+/-1,310)",80585,"(+/-2,220)",82009,"(+/-1,750)",83903,"(+/-1,907)",87137,"(+/-2,655)",88101,"(+/-3,681)",88813,"(+/-3,083)",91056,"(+/-4,226)",85157,"(+/-3,414)",80850,"(+/-3,758)",85839,"(+/-3,715)"
People,"Sex and Age","45 to 54 years",94588,"(+/-1,034)",97256,"(+/-2,500)",97151,"(+/-2,076)",96490,"(+/-1,517)",91955,"(+/-1,991)",93250,"(+/-1,213)",101598,"(+/-1,972)",104753,"(+/-3,028)",104285,"(+/-3,480)",108081,"(+/-2,592)",117077,"(+/-3,736)",90753,"(+/-3,144)",89187,"(+/-3,493)",88878,"(+/-4,215)"
