Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE"
People,"Sex and Age","Total population",668740,"(+/-2,405)",695030,"(+/-2,733)",700120,"(+/-5,067)",704160,"(+/-3,043)",707580,"(+/-5,607)",687035,"(+/-5,011)",663320,"(+/-2,841)",663615,"(+/-1,259)"
People,"Sex and Age",Male,335810,"(+/-2,500)",342160,"(+/-1,927)",344230,"(+/-4,350)",343870,"(+/-2,220)",350155,"(+/-4,861)",346450,"(+/-3,395)",331600,"(+/-2,095)",335765,"(+/-1,335)"
People,"Sex and Age",Female,332935,"(+/-2,113)",352870,"(+/-2,563)",355895,"(+/-4,971)",360285,"(+/-2,205)",357425,"(+/-4,655)",340585,"(+/-3,821)",331720,"(+/-2,316)",327850,"(+/-1,344)"
People,"Sex and Age","Under 5 years",42200,"(+/-1,114)",46155,"(+/-1,199)",47400,"(+/-2,638)",48255,"(+/-1,107)",46700,"(+/-2,922)",43905,"(+/-1,900)",40650,(+/-929),35660,(+/-709)
People,"Sex and Age","5 to 9 years",41470,"(+/-1,879)",47680,"(+/-2,775)",43160,"(+/-3,309)",45160,"(+/-2,501)",43485,"(+/-2,987)",51775,"(+/-2,170)",44850,"(+/-1,617)",38975,"(+/-1,913)"
People,"Sex and Age","10 to 14 years",43415,"(+/-1,999)",51190,"(+/-2,731)",46975,"(+/-2,962)",47065,"(+/-2,575)",38255,"(+/-2,990)",51380,"(+/-2,358)",42125,"(+/-1,743)",40955,"(+/-1,925)"
People,"Sex and Age","15 to 19 years",46745,"(+/-1,701)",47805,"(+/-1,438)",40975,"(+/-2,273)",46130,"(+/-1,108)",40905,"(+/-2,443)",49000,"(+/-1,823)",44430,"(+/-1,668)",40980,"(+/-1,036)"
People,"Sex and Age","20 to 24 years",51960,"(+/-1,749)",41925,"(+/-1,834)",36195,"(+/-2,988)",49210,"(+/-1,228)",55180,"(+/-2,969)",44495,"(+/-2,014)",42180,"(+/-1,768)",41715,(+/-927)
People,"Sex and Age","25 to 34 years",81010,"(+/-1,414)",87205,"(+/-1,828)",91505,"(+/-4,303)",108975,"(+/-2,056)",142560,"(+/-3,932)",86020,"(+/-2,694)",73985,"(+/-1,504)",74455,"(+/-1,101)"
People,"Sex and Age","35 to 44 years",75760,"(+/-1,470)",92895,"(+/-2,131)",86805,"(+/-3,889)",85960,"(+/-1,468)",98370,"(+/-3,128)",91950,"(+/-2,849)",71505,"(+/-1,422)",72695,(+/-801)
People,"Sex and Age","45 to 54 years",85450,"(+/-1,203)",102755,"(+/-1,563)",103910,"(+/-3,464)",91070,"(+/-1,513)",85165,"(+/-3,202)",103095,"(+/-2,630)",82790,"(+/-1,094)",90350,(+/-974)
People,"Sex and Age","55 to 59 years",48795,"(+/-1,725)",51260,"(+/-2,099)",56865,"(+/-2,713)",47390,"(+/-2,770)",41570,"(+/-2,437)",45555,"(+/-2,236)",49110,"(+/-1,671)",49660,"(+/-1,706)"
