Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,"Sex and Age","Total population",758765,"(+/-2,791)",724075,"(+/-6,594)",745475,"(+/-5,541)",764018,(+/-558)
People,"Sex and Age",Male,365091,"(+/-2,845)",345000,"(+/-4,796)",363904,"(+/-4,125)",374500,"(+/-3,414)"
People,"Sex and Age",Female,393674,"(+/-2,685)",379075,"(+/-3,932)",381571,"(+/-3,645)",389518,"(+/-3,388)"
People,"Sex and Age","Under 5 years",45649,"(+/-1,545)",50468,"(+/-1,266)",44131,"(+/-1,657)",48601,"(+/-1,866)"
People,"Sex and Age","5 to 9 years",54027,"(+/-3,133)",56522,"(+/-3,259)",47815,"(+/-3,187)",55908,"(+/-2,910)"
People,"Sex and Age","10 to 14 years",51311,"(+/-3,039)",50087,"(+/-3,318)",51383,"(+/-3,540)",48284,"(+/-2,914)"
People,"Sex and Age","15 to 19 years",59354,"(+/-2,661)",50275,"(+/-2,496)",58271,"(+/-3,108)",53554,"(+/-2,607)"
People,"Sex and Age","20 to 24 years",53117,"(+/-2,605)",54001,"(+/-2,899)",51874,"(+/-3,334)",55364,"(+/-2,824)"
People,"Sex and Age","25 to 34 years",87415,"(+/-2,544)",94373,"(+/-3,690)",95117,"(+/-4,409)",97016,"(+/-2,808)"
People,"Sex and Age","35 to 44 years",98923,"(+/-2,374)",92590,"(+/-3,450)",95892,"(+/-3,326)",98082,"(+/-2,625)"
People,"Sex and Age","45 to 54 years",100767,"(+/-1,956)",84567,"(+/-2,422)",91567,"(+/-2,901)",98696,"(+/-2,780)"
People,"Sex and Age","55 to 59 years",51329,"(+/-2,850)",48712,"(+/-2,575)",50324,"(+/-3,014)",51868,"(+/-3,544)"
People,"Sex and Age","60 to 64 years",42095,"(+/-2,604)",43035,"(+/-2,600)",45379,"(+/-2,463)",43629,"(+/-3,271)"
People,"Sex and Age","65 to 74 years",68711,"(+/-1,428)",58781,"(+/-1,969)",66221,"(+/-2,162)",68324,"(+/-1,682)"
People,"Sex and Age","75 to 84 years",34032,"(+/-2,245)",27888,"(+/-2,053)",34517,"(+/-1,825)",34669,"(+/-1,918)"
People,"Sex and Age","85 years and over",12035,"(+/-1,744)",12776,"(+/-1,323)",12984,"(+/-1,580)",10023,"(+/-1,537)"
People,"Sex and Age","Median age (years)",37.7,(+/-0.4),35.6,(+/-0.4),37.4,(+/-0.6),37.1,(+/-0.4)
People,"Sex and Age","18 years and over",575735,"(+/-2,109)",538171,"(+/-5,048)",569977,"(+/-4,878)",580443,"(+/-1,964)"
People,"Sex and Age","65 years and over",114778,"(+/-1,440)",99445,"(+/-2,129)",113722,"(+/-2,555)",113016,"(+/-1,935)"
People,Race,"Total population",758765,"(+/-2,791)",724075,"(+/-6,594)",745475,"(+/-5,541)",764018,(+/-558)
People,Race,"One race",748427,"(+/-3,425)",720094,"(+/-6,557)",739162,"(+/-5,708)",748790,"(+/-3,204)"
People,Race,White,525360,"(+/-2,864)",226673,"(+/-5,558)",462619,"(+/-5,841)",543934,"(+/-4,803)"
People,Race,"Black or African American",209799,"(+/-2,944)",480259,"(+/-5,993)",256668,"(+/-6,457)",181749,"(+/-4,022)"
