Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE"
People,"Sex and Age","Total population",736055,"(+/-7,386)",767531,"(+/-9,700)",774899,"(+/-8,489)",762763,"(+/-4,263)",757920,"(+/-7,261)",765667,"(+/-7,540)",770073,"(+/-2,331)",748764,"(+/-4,987)"
People,"Sex and Age",Male,344707,"(+/-4,326)",374718,"(+/-5,187)",386002,"(+/-5,264)",382845,"(+/-2,665)",366743,"(+/-4,646)",379191,"(+/-4,957)",375870,"(+/-2,183)",373569,"(+/-3,402)"
People,"Sex and Age",Female,391348,"(+/-4,792)",392813,"(+/-6,464)",388897,"(+/-4,993)",379918,"(+/-3,074)",391177,"(+/-4,002)",386476,"(+/-4,571)",394203,"(+/-1,978)",375195,"(+/-3,425)"
People,"Sex and Age","Under 5 years",49098,"(+/-2,242)",40975,"(+/-2,737)",48028,"(+/-1,955)",45970,"(+/-1,493)",50099,"(+/-1,724)",47523,"(+/-1,837)",47223,(+/-963),45454,"(+/-2,002)"
People,"Sex and Age","5 to 9 years",42870,"(+/-2,798)",45114,"(+/-2,989)",52806,"(+/-3,000)",50660,"(+/-2,591)",49850,"(+/-3,050)",52424,"(+/-3,232)",49807,"(+/-2,348)",50472,"(+/-2,430)"
People,"Sex and Age","10 to 14 years",44784,"(+/-2,972)",49580,"(+/-3,363)",50337,"(+/-2,831)",45869,"(+/-2,742)",47534,"(+/-3,134)",50347,"(+/-2,818)",48736,"(+/-2,516)",46654,"(+/-2,166)"
People,"Sex and Age","15 to 19 years",45787,"(+/-1,740)",48022,"(+/-2,285)",51139,"(+/-2,613)",59989,"(+/-2,671)",44194,"(+/-2,177)",57054,"(+/-2,388)",53429,"(+/-2,119)",50532,"(+/-2,420)"
People,"Sex and Age","20 to 24 years",57855,"(+/-2,426)",40606,"(+/-2,850)",50835,"(+/-2,386)",66191,"(+/-2,707)",51080,"(+/-2,172)",49114,"(+/-2,655)",62214,"(+/-2,122)",46205,"(+/-2,424)"
People,"Sex and Age","25 to 34 years",122392,"(+/-3,390)",91187,"(+/-4,567)",94008,"(+/-3,277)",98164,"(+/-2,873)",114357,"(+/-2,309)",93448,"(+/-2,729)",97176,"(+/-1,602)",85477,"(+/-1,929)"
People,"Sex and Age","35 to 44 years",93976,"(+/-2,385)",89903,"(+/-3,189)",95107,"(+/-2,649)",87442,"(+/-1,923)",95288,"(+/-2,888)",94675,"(+/-2,843)",90623,"(+/-1,665)",86730,"(+/-2,146)"
People,"Sex and Age","45 to 54 years",90606,"(+/-2,277)",112362,"(+/-3,349)",109543,"(+/-3,291)",95798,"(+/-1,994)",97178,"(+/-2,384)",104174,"(+/-2,298)",95827,"(+/-1,549)",101817,"(+/-2,188)"
People,"Sex and Age","55 to 59 years",50970,"(+/-2,960)",62054,"(+/-3,388)",58301,"(+/-2,970)",49324,"(+/-2,553)",51981,"(+/-2,640)",51350,"(+/-2,425)",49091,"(+/-2,385)",55419,"(+/-2,568)"
People,"Sex and Age","60 to 64 years",42588,"(+/-3,047)",53625,"(+/-2,919)",46968,"(+/-2,603)",45628,"(+/-2,299)",46195,"(+/-2,883)",48009,"(+/-2,212)",48058,"(+/-2,318)",49445,"(+/-2,701)"
People,"Sex and Age","65 to 74 years",55248,"(+/-1,673)",71633,"(+/-2,260)",71225,"(+/-1,969)",67496,"(+/-1,147)",61718,"(+/-1,585)",67404,"(+/-1,569)",72704,(+/-972),72775,"(+/-1,090)"
People,"Sex and Age","75 to 84 years",27665,"(+/-1,663)",40843,"(+/-2,361)",33640,"(+/-1,777)",34589,"(+/-1,624)",31921,"(+/-1,666)",36028,"(+/-1,606)",39220,"(+/-1,625)",42264,"(+/-1,875)"
People,"Sex and Age","85 years and over",12216,"(+/-1,514)",21627,"(+/-1,822)",12962,"(+/-1,533)",15643,"(+/-1,516)",16525,"(+/-1,628)",14117,"(+/-1,422)",15965,"(+/-1,594)",15520,"(+/-1,553)"
People,"Sex and Age","Median age (years)",35.4,(+/-0.4),42.7,(+/-0.7),39.1,(+/-0.5),36.6,(+/-0.4),36.9,(+/-0.5),38.5,(+/-0.4),37.7,(+/-0.4),40.5,(+/-0.5)
People,"Sex and Age","18 years and over",573827,"(+/-6,255)",599746,"(+/-7,575)",592274,"(+/-5,805)",591739,"(+/-3,686)",583592,"(+/-5,293)",581680,"(+/-5,655)",592811,"(+/-1,858)",575437,"(+/-3,271)"
People,"Sex and Age","65 years and over",95129,"(+/-2,396)",134103,"(+/-3,178)",117827,"(+/-2,397)",117728,"(+/-1,561)",110164,"(+/-1,874)",117549,"(+/-2,090)",127889,"(+/-1,286)",130559,"(+/-1,641)"
People,Race,"Total population",736055,"(+/-7,386)",767531,"(+/-9,700)",774899,"(+/-8,489)",762763,"(+/-4,263)",757920,"(+/-7,261)",765667,"(+/-7,540)",770073,"(+/-2,331)",748764,"(+/-4,987)"
People,Race,"One race",713063,"(+/-8,671)",752250,"(+/-9,491)",761029,"(+/-8,771)",740825,"(+/-4,882)",735439,"(+/-6,906)",746348,"(+/-7,726)",749541,"(+/-3,165)",735311,"(+/-5,200)"
People,Race,White,322220,"(+/-6,684)",682730,"(+/-8,443)",719936,"(+/-8,189)",677012,"(+/-4,964)",518912,"(+/-7,337)",694869,"(+/-6,917)",707105,"(+/-3,246)",688543,"(+/-4,892)"
People,Race,"Black or African American",361855,"(+/-5,704)",28577,"(+/-4,854)",26087,"(+/-2,272)",40137,"(+/-2,560)",165779,"(+/-3,018)",35273,"(+/-2,827)",14116,"(+/-1,649)",38145,"(+/-2,566)"
People,Race,"American Indian and Alaska Native",960,(+/-480),1835,(+/-954),2704,(+/-756),3735,"(+/-1,303)",3448,"(+/-1,027)",3111,(+/-900),7237,"(+/-1,510)",2778,(+/-887)
People,Race,Asian,22688,"(+/-2,911)",33570,"(+/-2,901)",9341,"(+/-1,890)",11657,"(+/-1,413)",15048,"(+/-1,747)",7689,"(+/-1,663)",10479,"(+/-1,014)",4417,"(+/-1,185)"
