Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE"
People,"Sex and Age","Total population",638320,"(+/-4,222)",652870,"(+/-2,681)",605000,"(+/-2,977)"
People,"Sex and Age",Male,319826,"(+/-2,919)",322295,"(+/-1,980)",300468,"(+/-2,545)"
People,"Sex and Age",Female,318494,"(+/-2,907)",330575,"(+/-1,733)",304532,"(+/-2,279)"
People,"Sex and Age","Under 5 years",43175,"(+/-1,485)",49094,"(+/-1,059)",38395,"(+/-1,044)"
People,"Sex and Age","5 to 9 years",41698,"(+/-2,534)",50590,"(+/-2,199)",39810,"(+/-1,690)"
People,"Sex and Age","10 to 14 years",45459,"(+/-2,541)",44956,"(+/-2,336)",41219,"(+/-1,818)"
People,"Sex and Age","15 to 19 years",45654,"(+/-1,674)",42857,(+/-998),41521,"(+/-2,199)"
People,"Sex and Age","20 to 24 years",57718,"(+/-1,685)",42146,(+/-971),39315,"(+/-2,431)"
People,"Sex and Age","25 to 34 years",83454,"(+/-2,128)",101782,"(+/-1,311)",67416,"(+/-2,215)"
People,"Sex and Age","35 to 44 years",74616,"(+/-1,720)",89958,"(+/-1,243)",67872,"(+/-1,833)"
People,"Sex and Age","45 to 54 years",76316,"(+/-2,235)",82009,"(+/-1,231)",72776,"(+/-1,467)"
People,"Sex and Age","55 to 59 years",43077,"(+/-1,743)",39081,"(+/-1,858)",44011,"(+/-1,745)"
People,"Sex and Age","60 to 64 years",35155,"(+/-1,581)",35941,"(+/-1,759)",40428,"(+/-1,906)"
People,"Sex and Age","65 to 74 years",51749,"(+/-1,468)",43957,"(+/-1,044)",57145,"(+/-1,070)"
People,"Sex and Age","75 to 84 years",26817,"(+/-1,547)",21244,"(+/-1,095)",35061,"(+/-1,545)"
People,"Sex and Age","85 years and over",13432,"(+/-1,336)",9255,"(+/-1,088)",20031,"(+/-1,404)"
People,"Sex and Age","Median age (years)",35.2,(+/-0.3),34.5,(+/-0.2),39.9,(+/-0.5)
People,"Sex and Age","18 years and over",483398,"(+/-3,453)",480382,"(+/-2,071)",461780,"(+/-2,331)"
People,"Sex and Age","65 years and over",91998,"(+/-1,710)",74456,"(+/-1,136)",112237,"(+/-1,370)"
People,Race,"Total population",638320,"(+/-4,222)",652870,"(+/-2,681)",605000,"(+/-2,977)"
People,Race,"One race",621315,"(+/-4,855)",635332,"(+/-3,387)",595829,"(+/-3,273)"
People,Race,White,569429,"(+/-5,314)",532325,"(+/-4,810)",570234,"(+/-4,272)"
People,Race,"Black or African American",19660,"(+/-2,071)",64016,"(+/-2,083)",6859,"(+/-1,243)"
People,Race,"American Indian and Alaska Native",7915,"(+/-1,147)",4644,"(+/-1,398)",4801,"(+/-1,419)"
People,Race,Asian,15542,"(+/-1,413)",20533,"(+/-1,451)",3831,"(+/-1,134)"
People,Race,"Native Hawaiian and Other Pacific Islander",642,(+/-630),186,(+/-175),393,(+/-351)
People,Race,"Some other race",8127,"(+/-2,569)",13628,"(+/-3,529)",9711,"(+/-2,597)"
People,Race,"Two or more races",17005,"(+/-2,537)",17538,"(+/-2,428)",9171,"(+/-1,478)"
People,"Hispanic or Latino and Race","Total population",638320,"(+/-4,222)",652870,"(+/-2,681)",605000,"(+/-2,977)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",57948,"(+/-1,875)",71614,"(+/-1,350)",67406,"(+/-1,232)"
People,"Hispanic or Latino and Race",Mexican,42884,"(+/-3,649)",60093,"(+/-3,479)",55730,"(+/-2,976)"
People,"Hispanic or Latino and Race","Puerto Rican",1912,"(+/-1,208)",2697,"(+/-2,194)",746,(+/-371)
People,"Hispanic or Latino and Race",Cuban,1217,(+/-704),790,(+/-599),1735,(+/-962)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",11935,"(+/-2,988)",8034,"(+/-2,067)",9195,"(+/-2,447)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",580372,"(+/-4,623)",581256,"(+/-2,948)",537594,"(+/-2,926)"
People,"Place of Birth","Total population",638320,"(+/-4,222)",652870,"(+/-2,681)",605000,"(+/-2,977)"
People,"Place of Birth",Native,594865,"(+/-5,415)",597289,"(+/-4,929)",575646,"(+/-3,591)"
People,"Place of Birth","Born in United States",589870,"(+/-5,248)",589694,"(+/-5,084)",572129,"(+/-3,613)"
People,"Place of Birth","State of residence",418936,"(+/-6,610)",394792,"(+/-8,398)",417704,"(+/-4,891)"
