Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,"Sex and Age","Total population",703299,"(+/-16,945)",706464,"(+/-2,573)",758676,"(+/-14,268)",722406,"(+/-16,243)"
People,"Sex and Age",Male,358824,"(+/-10,288)",356374,"(+/-2,459)",374266,"(+/-9,440)",357992,"(+/-9,213)"
People,"Sex and Age",Female,344475,"(+/-9,626)",350090,"(+/-2,193)",384410,"(+/-8,179)",364414,"(+/-9,148)"
People,"Sex and Age","Under 5 years",43636,"(+/-3,381)",41913,"(+/-1,147)",43798,"(+/-3,386)",47586,"(+/-3,506)"
People,"Sex and Age","5 to 9 years",42824,"(+/-4,213)",46070,"(+/-3,224)",46737,"(+/-3,928)",55602,"(+/-4,069)"
People,"Sex and Age","10 to 14 years",47847,"(+/-4,136)",43974,"(+/-2,945)",46835,"(+/-3,786)",51128,"(+/-4,231)"
People,"Sex and Age","15 to 19 years",44522,"(+/-2,951)",42095,"(+/-1,845)",42781,"(+/-2,727)",46273,"(+/-3,480)"
People,"Sex and Age","20 to 24 years",53511,"(+/-3,794)",46367,"(+/-1,418)",42474,"(+/-3,394)",46705,"(+/-3,931)"
People,"Sex and Age","25 to 34 years",102669,"(+/-5,955)",92959,"(+/-1,731)",114284,"(+/-5,425)",101998,"(+/-5,200)"
People,"Sex and Age","35 to 44 years",97240,"(+/-4,817)",84899,"(+/-1,581)",116389,"(+/-5,086)",89594,"(+/-4,985)"
People,"Sex and Age","45 to 54 years",99504,"(+/-4,388)",96744,"(+/-1,858)",99624,"(+/-4,248)",94978,"(+/-5,044)"
People,"Sex and Age","55 to 59 years",45912,"(+/-2,928)",49896,"(+/-2,758)",42925,"(+/-3,642)",42466,"(+/-3,267)"
People,"Sex and Age","60 to 64 years",39656,"(+/-2,999)",48063,"(+/-2,572)",46263,"(+/-3,924)",39992,"(+/-3,294)"
People,"Sex and Age","65 to 74 years",52611,"(+/-3,146)",72528,"(+/-1,250)",72597,"(+/-2,950)",66616,"(+/-3,091)"
People,"Sex and Age","75 to 84 years",25917,"(+/-2,322)",30224,"(+/-1,434)",34077,"(+/-2,518)",30309,"(+/-2,326)"
People,"Sex and Age","85 years and over",7450,"(+/-1,300)",10732,"(+/-1,007)",9892,"(+/-1,605)",9159,"(+/-1,452)"
People,"Sex and Age","Median age (years)",36.7,(+/-0.8),39.4,(+/-0.4),38.7,(+/-0.6),36.3,(+/-0.7)
People,"Sex and Age","18 years and over",543315,"(+/-12,931)",548462,"(+/-2,113)",592846,"(+/-9,949)",537667,"(+/-11,901)"
People,"Sex and Age","65 years and over",85978,"(+/-4,112)",113484,"(+/-1,442)",116566,"(+/-3,762)",106084,"(+/-4,318)"
People,Race,"Total population",703299,"(+/-16,945)",706464,"(+/-2,573)",758676,"(+/-14,268)",722406,"(+/-16,243)"
People,Race,"One race",669530,"(+/-16,071)",675100,"(+/-4,495)",719224,"(+/-14,116)",683425,"(+/-16,068)"
People,Race,White,380255,"(+/-15,354)",579233,"(+/-7,633)",517876,"(+/-11,613)",474977,"(+/-16,817)"
People,Race,"Black or African American",72582,"(+/-6,197)",12982,"(+/-1,146)",55587,"(+/-7,353)",105569,"(+/-8,525)"
People,Race,"American Indian and Alaska Native",8277,"(+/-2,677)",14323,"(+/-1,416)",4794,"(+/-1,499)",6213,"(+/-1,462)"
People,Race,Asian,60558,"(+/-5,725)",26070,"(+/-2,208)",103011,"(+/-6,370)",41927,"(+/-5,210)"
People,Race,"Native Hawaiian and Other Pacific Islander",4617,"(+/-1,759)",3346,(+/-335),6259,"(+/-1,892)",4104,"(+/-1,322)"
People,Race,"Some other race",143241,"(+/-10,425)",39146,"(+/-6,143)",31697,"(+/-5,193)",50635,"(+/-7,018)"
People,Race,"Two or more races",33769,"(+/-3,842)",31364,"(+/-3,369)",39452,"(+/-4,111)",38981,"(+/-4,547)"
People,"Hispanic or Latino and Race","Total population",703299,"(+/-16,945)",706464,"(+/-2,573)",758676,"(+/-14,268)",722406,"(+/-16,243)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",328432,"(+/-12,249)",158039,"(+/-1,153)",125431,"(+/-10,263)",201492,"(+/-11,375)"
People,"Hispanic or Latino and Race",Mexican,251535,"(+/-13,123)",128401,"(+/-4,332)",81331,"(+/-7,527)",154424,"(+/-11,947)"
People,"Hispanic or Latino and Race","Puerto Rican",7165,"(+/-2,092)",3461,"(+/-1,438)",7134,"(+/-2,151)",9697,"(+/-3,635)"
People,"Hispanic or Latino and Race",Cuban,14342,"(+/-2,778)",1668,"(+/-1,000)",4204,"(+/-1,383)",5501,"(+/-1,887)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",55390,"(+/-7,527)",24509,"(+/-4,009)",32762,"(+/-5,926)",31870,"(+/-5,404)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",374867,"(+/-12,717)",548425,"(+/-2,387)",633245,"(+/-12,270)",520914,"(+/-12,401)"
People,"Place of Birth","Total population",703299,"(+/-16,945)",706464,"(+/-2,573)",758676,"(+/-14,268)",722406,"(+/-16,243)"
People,"Place of Birth",Native,477647,"(+/-14,817)",620238,"(+/-4,597)",624073,"(+/-13,866)",610717,"(+/-13,268)"
People,"Place of Birth","Born in United States",464545,"(+/-14,700)",611257,"(+/-5,279)",605891,"(+/-14,111)",597208,"(+/-13,440)"
People,"Place of Birth","State of residence",167821,"(+/-10,109)",218187,"(+/-6,998)",164134,"(+/-9,463)",194279,"(+/-10,515)"
People,"Place of Birth","Different state",296724,"(+/-10,157)",393070,"(+/-7,571)",441757,"(+/-11,478)",402929,"(+/-10,263)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13102,"(+/-1,874)",8981,"(+/-2,175)",18182,"(+/-3,104)",13509,"(+/-2,156)"
People,"Place of Birth","Foreign born",225652,"(+/-10,815)",86226,"(+/-4,337)",134603,"(+/-7,169)",111689,"(+/-6,926)"
People,Ancestry,"Total population",703299,"(+/-16,945)",706464,"(+/-2,573)",758676,"(+/-14,268)",722406,"(+/-16,243)"
People,Ancestry,American,24113,"(+/-3,709)",48322,"(+/-5,577)",32659,"(+/-4,916)",31445,"(+/-3,636)"
People,Ancestry,Arab,2268,"(+/-1,402)",1233,(+/-828),3202,"(+/-1,022)",1625,(+/-903)
