Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE"
People,"Sex and Age","Total population",726589,"(+/-3,988)",721038,"(+/-9,281)",721764,"(+/-11,133)",723380,"(+/-11,274)",779896,"(+/-20,204)",744562,"(+/-17,520)",753292,"(+/-16,647)",769795,"(+/-16,978)",759225,"(+/-17,488)",728323,"(+/-15,816)",721433,"(+/-9,998)",733946,"(+/-18,221)",790434,"(+/-17,876)",720690,"(+/-20,684)",762550,"(+/-18,083)",748723,"(+/-11,145)",742551,"(+/-5,411)",720268,"(+/-6,758)",705044,"(+/-5,970)",727216,"(+/-5,500)",710842,"(+/-4,410)",711391,"(+/-3,308)",708372,"(+/-3,597)",708959,"(+/-2,945)",722956,"(+/-2,856)",714758,"(+/-4,100)",717794,"(+/-5,567)"
People,"Sex and Age",Male,361539,"(+/-5,063)",352397,"(+/-5,724)",347461,"(+/-6,776)",352066,"(+/-6,822)",373875,"(+/-10,671)",354991,"(+/-11,059)",376993,"(+/-9,672)",349775,"(+/-9,893)",349195,"(+/-10,640)",350684,"(+/-9,163)",348721,"(+/-5,738)",352827,"(+/-10,243)",374133,"(+/-11,712)",360176,"(+/-12,558)",356939,"(+/-9,794)",355924,"(+/-7,881)",365104,"(+/-4,225)",358339,"(+/-4,247)",353357,"(+/-4,000)",355402,"(+/-3,630)",365039,"(+/-2,726)",353298,"(+/-2,391)",350974,"(+/-2,480)",347857,"(+/-2,101)",348669,"(+/-1,689)",342106,"(+/-3,481)",358751,"(+/-4,357)"
People,"Sex and Age",Female,365050,"(+/-4,118)",368641,"(+/-6,989)",374303,"(+/-6,754)",371314,"(+/-6,217)",406021,"(+/-11,577)",389571,"(+/-8,692)",376299,"(+/-9,835)",420020,"(+/-9,946)",410030,"(+/-8,835)",377639,"(+/-10,720)",372712,"(+/-5,773)",381119,"(+/-11,772)",416301,"(+/-10,022)",360514,"(+/-10,463)",405611,"(+/-9,974)",392799,"(+/-6,085)",377447,"(+/-4,524)",361929,"(+/-4,375)",351687,"(+/-3,664)",371814,"(+/-2,949)",345803,"(+/-3,004)",358093,"(+/-2,252)",357398,"(+/-2,890)",361102,"(+/-1,924)",374287,"(+/-1,563)",372652,"(+/-3,426)",359043,"(+/-4,228)"
People,"Sex and Age","Under 5 years",35007,"(+/-3,027)",41210,"(+/-3,345)",35888,"(+/-2,956)",44285,"(+/-2,308)",49180,"(+/-3,882)",47433,"(+/-3,292)",58514,"(+/-4,155)",52256,"(+/-3,447)",50603,"(+/-3,652)",49651,"(+/-4,476)",47030,"(+/-2,527)",33553,"(+/-3,600)",54588,"(+/-4,375)",46251,"(+/-3,787)",61256,"(+/-3,575)",48127,"(+/-3,051)",46241,"(+/-1,922)",38849,"(+/-1,556)",33858,"(+/-1,858)",38340,"(+/-1,394)",41675,"(+/-1,522)",37074,"(+/-1,225)",37606,"(+/-1,234)",39164,(+/-981),41086,(+/-562),42863,"(+/-1,611)",33500,"(+/-1,966)"
People,"Sex and Age","5 to 9 years",41247,"(+/-3,413)",41084,"(+/-2,995)",41277,"(+/-3,224)",43300,"(+/-2,820)",45089,"(+/-3,595)",40811,"(+/-3,778)",52617,"(+/-3,668)",43337,"(+/-3,283)",46110,"(+/-3,398)",37712,"(+/-3,339)",41167,"(+/-3,281)",23150,"(+/-2,792)",40771,"(+/-3,468)",39597,"(+/-3,359)",57280,"(+/-4,095)",46882,"(+/-2,829)",49458,"(+/-3,027)",47001,"(+/-2,884)",37115,"(+/-2,381)",39234,"(+/-2,513)",40516,"(+/-2,452)",40945,"(+/-1,827)",37064,"(+/-2,029)",41616,"(+/-2,112)",41318,"(+/-1,980)",40983,"(+/-3,018)",38684,"(+/-2,504)"
People,"Sex and Age","10 to 14 years",46636,"(+/-3,624)",44255,"(+/-3,599)",47916,"(+/-2,966)",46833,"(+/-2,417)",48517,"(+/-3,706)",36029,"(+/-3,667)",43640,"(+/-3,181)",44521,"(+/-3,296)",45179,"(+/-3,294)",33504,"(+/-3,153)",41908,"(+/-2,844)",19647,"(+/-2,827)",43401,"(+/-3,618)",39512,"(+/-3,918)",60645,"(+/-3,913)",47002,"(+/-3,023)",52413,"(+/-2,397)",50570,"(+/-2,742)",38792,"(+/-2,518)",40982,"(+/-2,418)",40378,"(+/-2,315)",40832,"(+/-1,975)",41780,"(+/-2,036)",42850,"(+/-2,241)",42825,"(+/-2,147)",41629,"(+/-2,739)",40725,"(+/-2,656)"
People,"Sex and Age","15 to 19 years",51817,"(+/-2,874)",45659,"(+/-3,117)",44357,"(+/-3,379)",48855,"(+/-2,456)",52301,"(+/-3,389)",33237,"(+/-2,483)",41995,"(+/-3,118)",46342,"(+/-3,039)",42683,"(+/-2,690)",33035,"(+/-3,334)",39684,"(+/-1,636)",28684,"(+/-3,540)",40961,"(+/-2,531)",38695,"(+/-3,155)",59208,"(+/-2,500)",49022,"(+/-2,888)",51770,"(+/-2,530)",56663,"(+/-2,317)",49189,"(+/-2,218)",51007,"(+/-2,245)",45677,"(+/-1,820)",52478,"(+/-1,668)",55856,"(+/-1,917)",52964,"(+/-1,335)",50374,(+/-664),45965,"(+/-2,239)",47123,"(+/-2,628)"
People,"Sex and Age","20 to 24 years",49233,"(+/-3,880)",53021,"(+/-3,545)",40768,"(+/-3,358)",45297,"(+/-2,833)",58420,"(+/-4,395)",41868,"(+/-3,343)",57623,"(+/-4,401)",58822,"(+/-3,820)",52703,"(+/-3,225)",49091,"(+/-4,375)",44300,"(+/-1,764)",46044,"(+/-4,898)",64386,"(+/-5,079)",51074,"(+/-3,921)",66206,"(+/-3,883)",50089,"(+/-3,137)",48041,"(+/-2,300)",51894,"(+/-2,083)",47700,"(+/-2,019)",61739,"(+/-2,526)",54440,"(+/-1,885)",56739,"(+/-1,851)",61400,"(+/-2,520)",50200,"(+/-1,518)",53848,(+/-613),56830,"(+/-2,349)",43567,"(+/-2,418)"
People,"Sex and Age","25 to 34 years",76638,"(+/-3,792)",94342,"(+/-4,815)",70465,"(+/-5,510)",88197,"(+/-4,243)",118421,"(+/-4,819)",112298,"(+/-6,038)",145852,"(+/-5,523)",131637,"(+/-5,725)",128362,"(+/-6,691)",147370,"(+/-7,889)",106990,"(+/-3,652)",189579,"(+/-7,711)",165222,"(+/-6,862)",122137,"(+/-6,736)",125312,"(+/-5,314)",87744,"(+/-4,854)",86963,"(+/-3,482)",77643,"(+/-2,633)",74907,"(+/-2,382)",96370,"(+/-3,186)",87295,"(+/-1,900)",81985,"(+/-1,708)",82283,"(+/-1,936)",90024,"(+/-1,122)",101173,"(+/-1,075)",107938,"(+/-3,012)",78433,"(+/-3,138)"
People,"Sex and Age","35 to 44 years",91177,"(+/-4,558)",86512,"(+/-4,443)",83040,"(+/-4,491)",92140,"(+/-3,638)",96105,"(+/-4,564)",107524,"(+/-5,657)",114632,"(+/-5,548)",97544,"(+/-4,719)",105887,"(+/-4,510)",105519,"(+/-5,729)",93524,"(+/-2,705)",119250,"(+/-7,206)",103542,"(+/-4,792)",113309,"(+/-6,476)",91241,"(+/-4,200)",101059,"(+/-4,447)",88483,"(+/-2,866)",86827,"(+/-2,556)",78336,"(+/-2,056)",87408,"(+/-2,001)",83381,"(+/-1,875)",75825,"(+/-1,448)",75595,"(+/-1,876)",79066,"(+/-1,256)",81973,(+/-757),75993,"(+/-2,613)",83880,"(+/-3,155)"
