Topic,Subject,Title,District 01 Value,District (At Large) MOE,,,,
People,Sex and Age,Total population,756928,(*****),,,,
People,Sex and Age,Male,388152,(+/-2,318),,,
People,Sex and Age,Female,368776,(+/-2,319),,,
People,Sex and Age,Under 5 years,52172,(+/-1,259),,,
People,Sex and Age,5 to 9 years,49861,(+/-2,351),,,
People,Sex and Age,10 to 14 years,43235,(+/-2,179),,,
People,Sex and Age,15 to 19 years,49673,(+/-1,932),,,
People,Sex and Age,20 to 24 years,69970,(+/-2,236),,,
People,Sex and Age,25 to 34 years,114100,(+/-2,629),,,
People,Sex and Age,35 to 44 years,86540,(+/-1,895),,,
People,Sex and Age,45 to 54 years,88569,(+/-1,419),,,
People,Sex and Age,55 to 59 years,49724,(+/-2,491),,,
People,Sex and Age,60 to 64 years,45727,(+/-2,375),,,
People,Sex and Age,65 to 74 years,56590,(+/-603),,,,
People,Sex and Age,75 to 84 years,32169,(+/-1,685),,,
People,Sex and Age,85 years and over,18598,(+/-1,695),,,
People,Sex and Age,Median age (years),34.9,(+/-0.3),,,,
People,Sex and Age,18 years and over,585614,(+/-1,321),,,
People,Sex and Age,65 years and over,107357,(+/-748),,,,
People,Race,Total population,756928,(*****),,,,
People,Race,One race,737994,(+/-2,509),,,
People,Race,White,667900,(+/-2,285),,,
People,Race,Black or African American,15681,(+/-1,519),,,
People,Race,American Indian and Alaska Native,37745,(+/-1,750),,,
People,Race,Asian,10104,(+/-829),,,,
People,Race,Native Hawaiian and Other Pacific Islander,445,(+/-409),,,,
People,Race,Some other race,6119,(+/-1,662),,,
People,Race,Two or more races,18934,(+/-2,508),,,
People,Hispanic or Latino and Race,Total population,756928,(*****),,,,
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),26059,(+/-927),,,,
People,Hispanic or Latino and Race,Mexican,19396,(+/-1,652),,,
People,Hispanic or Latino and Race,Puerto Rican,1417,(+/-795),,,,
People,Hispanic or Latino and Race,Cuban,544,(+/-610),,,,
People,Hispanic or Latino and Race,Other Hispanic or Latino,4702,(+/-1,429),,,
People,Hispanic or Latino and Race,Not Hispanic or Latino,730869,(+/-927),,,,
People,Place of Birth,Total population,756928,(*****),,,,
People,Place of Birth,Native,728279,(+/-2,606),,,
People,Place of Birth,Born in United States,721972,(+/-2,721),,,
People,Place of Birth,State of residence,482062,(+/-8,298),,,
People,Place of Birth,Different state,239910,(+/-8,520),,,
People,Place of Birth,Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s),6307,(+/-1,369),
People,Place of Birth,Foreign born,28649,(+/-2,606),,,
People,Ancestry,Total population,756928,(*****),,,,
People,Ancestry,American,23290,(+/-3,254),,,
People,Ancestry,Arab,1297,(+/-792),,,,
People,Ancestry,Czech,13724,(+/-2,275),,,
People,Ancestry,Danish,8778,(+/-2,002),,,
People,Ancestry,Dutch,10442,(+/-1,872),,,
People,Ancestry,English,33171,(+/-4,246),,,
People,Ancestry,French (except Basque),24958,(+/-2,558),,,
People,Ancestry,French Canadian,10011,(+/-1,807),,,
People,Ancestry,German,310789,(+/-8,071),,,
People,Ancestry,Greek,597,(+/-341),,,,
People,Ancestry,Hungarian,2458,(+/-891),,,,
People,Ancestry,Irish,60698,(+/-5,262),,,
People,Ancestry,Italian,8239,(+/-1,669),,,
People,Ancestry,Lithuanian,281,(+/-192),,,,
People,Ancestry,Norwegian,187242,(+/-7,069),,,
People,Ancestry,Polish,19526,(+/-3,392),,,
People,Ancestry,Portuguese,443,(+/-291),,,,
People,Ancestry,Russian,22804,(+/-3,075),,,
People,Ancestry,Scotch-Irish,4183,(+/-967),,,,
People,Ancestry,Scottish,9443,(+/-1,816),,,
People,Ancestry,Slovak,272,(+/-250),,,,
People,Ancestry,Subsaharan African,6068,(+/-1,634),,,
People,Ancestry,Swedish,29507,(+/-3,433),,,
People,Ancestry,Swiss,1253,(+/-448),,,,
People,Ancestry,Ukrainian,3887,(+/-1,083),,,
People,Ancestry,Welsh,1559,(+/-618),,,,
People,Ancestry,West Indian (excluding Hispanic origin groups),1479,(+/-907),,,,
People,Veteran Status,Civilian population 18 years and over,579034,(+/-1,641),,,
People,Veteran Status,Civilian veterans,46507,(+/-2,788),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,740547,(+/-930),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,79278,(+/-3,109),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,170994,(+/-1,319),,,
