Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE"
People,"Sex and Age","Total population",729977,"(+/-8,187)",730725,"(+/-9,575)",767295,"(+/-11,242)",713302,"(+/-5,605)",721478,"(+/-6,637)",699217,"(+/-6,344)",745591,"(+/-7,795)",727589,"(+/-1,815)",709752,"(+/-10,714)",720041,"(+/-1,510)",704489,"(+/-10,278)",765297,"(+/-9,582)",709977,"(+/-9,425)",716084,"(+/-8,479)",747491,"(+/-10,523)",705118,"(+/-9,195)"
People,"Sex and Age",Male,355448,"(+/-5,550)",356807,"(+/-6,101)",369592,"(+/-6,466)",354646,"(+/-3,776)",352113,"(+/-4,262)",346742,"(+/-3,698)",366276,"(+/-4,729)",355791,"(+/-1,697)",346023,"(+/-6,471)",349601,"(+/-1,325)",331047,"(+/-6,624)",381845,"(+/-6,430)",343475,"(+/-5,901)",350431,"(+/-5,115)",377279,"(+/-6,353)",346835,"(+/-5,608)"
People,"Sex and Age",Female,374529,"(+/-4,933)",373918,"(+/-5,910)",397703,"(+/-7,048)",358656,"(+/-3,475)",369365,"(+/-4,176)",352475,"(+/-3,710)",379315,"(+/-5,154)",371798,"(+/-1,351)",363729,"(+/-7,444)",370440,"(+/-1,243)",373442,"(+/-5,979)",383452,"(+/-5,689)",366502,"(+/-5,780)",365653,"(+/-5,202)",370212,"(+/-6,329)",358283,"(+/-5,763)"
People,"Sex and Age","Under 5 years",45255,"(+/-2,141)",45227,"(+/-2,236)",59410,"(+/-3,107)",43097,"(+/-1,916)",42105,"(+/-1,855)",36487,"(+/-1,515)",44544,"(+/-2,306)",42725,(+/-733),41311,"(+/-2,862)",43205,(+/-489),43538,"(+/-2,296)",45807,"(+/-2,448)",39310,"(+/-2,266)",36514,"(+/-2,046)",42962,"(+/-3,121)",37791,"(+/-2,612)"
People,"Sex and Age","5 to 9 years",48618,"(+/-2,901)",43535,"(+/-2,370)",52870,"(+/-3,100)",42590,"(+/-2,644)",45521,"(+/-2,567)",40112,"(+/-2,426)",47275,"(+/-3,071)",48143,"(+/-2,289)",46324,"(+/-3,092)",44039,"(+/-2,288)",45163,"(+/-2,991)",51017,"(+/-3,418)",36635,"(+/-3,020)",41636,"(+/-3,001)",48294,"(+/-2,899)",37090,"(+/-2,867)"
People,"Sex and Age","10 to 14 years",52669,"(+/-2,977)",50025,"(+/-3,569)",46112,"(+/-3,362)",47024,"(+/-2,590)",48900,"(+/-2,990)",41098,"(+/-2,146)",52556,"(+/-3,226)",50503,"(+/-2,396)",41600,"(+/-3,203)",44190,"(+/-2,441)",42192,"(+/-2,781)",54090,"(+/-3,398)",41712,"(+/-2,481)",46848,"(+/-2,776)",48130,"(+/-3,257)",46175,"(+/-3,485)"
People,"Sex and Age","15 to 19 years",53636,"(+/-2,311)",43563,"(+/-2,383)",55604,"(+/-2,377)",47490,"(+/-2,050)",48836,"(+/-1,825)",43184,"(+/-1,856)",51538,"(+/-2,177)",54002,"(+/-1,288)",48163,"(+/-2,953)",48064,(+/-817),45379,"(+/-2,476)",49693,"(+/-2,241)",47042,"(+/-2,587)",47373,"(+/-2,248)",51551,"(+/-2,095)",44602,"(+/-2,411)"
People,"Sex and Age","20 to 24 years",48488,"(+/-1,795)",43358,"(+/-2,248)",62713,"(+/-2,977)",46460,"(+/-2,029)",53282,"(+/-2,130)",41071,"(+/-2,055)",44865,"(+/-2,936)",51151,"(+/-1,204)",51341,"(+/-3,124)",51594,"(+/-1,195)",54047,"(+/-2,695)",48711,"(+/-2,805)",51845,"(+/-2,826)",39512,"(+/-2,213)",46649,"(+/-2,317)",40172,"(+/-2,778)"
People,"Sex and Age","25 to 34 years",95300,"(+/-3,515)",100128,"(+/-3,580)",138761,"(+/-4,973)",83593,"(+/-2,536)",86006,"(+/-2,915)",76046,"(+/-2,156)",83785,"(+/-2,965)",83515,"(+/-1,353)",97049,"(+/-4,405)",94601,"(+/-1,420)",94442,"(+/-3,630)",99858,"(+/-4,463)",94833,"(+/-3,724)",74615,"(+/-3,416)",105728,"(+/-4,980)",78103,"(+/-3,456)"
People,"Sex and Age","35 to 44 years",89441,"(+/-3,331)",89866,"(+/-3,286)",98923,"(+/-3,892)",85207,"(+/-2,487)",85187,"(+/-2,505)",84165,"(+/-2,303)",88988,"(+/-3,083)",88084,"(+/-1,710)",85740,"(+/-3,676)",80308,"(+/-1,257)",82410,"(+/-2,915)",107638,"(+/-4,281)",80694,"(+/-3,387)",77430,"(+/-3,163)",94080,"(+/-3,460)",82650,"(+/-3,671)"
