Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE"
People,"Sex and Age","Total population",820305,"(+/-4,123)",798161,"(+/-2,514)",815909,"(+/-7,173)",781166,"(+/-2,618)",813436,"(+/-5,507)"
People,"Sex and Age",Male,405624,"(+/-3,260)",398005,"(+/-2,468)",405000,"(+/-4,524)",384303,"(+/-2,533)",399230,"(+/-3,175)"
People,"Sex and Age",Female,414681,"(+/-2,909)",400156,"(+/-2,586)",410909,"(+/-3,897)",396863,"(+/-2,044)",414206,"(+/-3,975)"
People,"Sex and Age","Under 5 years",48120,(+/-761),46869,(+/-945),48260,"(+/-1,350)",38208,"(+/-1,121)",47682,"(+/-1,279)"
People,"Sex and Age","5 to 9 years",52619,"(+/-2,858)",47636,"(+/-3,157)",48892,"(+/-2,408)",41391,"(+/-2,351)",54112,"(+/-3,163)"
People,"Sex and Age","10 to 14 years",54273,"(+/-2,915)",51169,"(+/-2,785)",38894,"(+/-2,777)",41314,"(+/-2,213)",52549,"(+/-3,021)"
People,"Sex and Age","15 to 19 years",52543,"(+/-1,701)",46194,"(+/-2,164)",41970,"(+/-1,771)",51635,"(+/-1,997)",55487,"(+/-2,386)"
People,"Sex and Age","20 to 24 years",47353,"(+/-1,584)",47178,"(+/-2,203)",52225,"(+/-2,040)",65346,"(+/-1,974)",52597,"(+/-1,885)"
People,"Sex and Age","25 to 34 years",123006,"(+/-2,884)",93776,"(+/-2,647)",141213,"(+/-3,136)",93465,"(+/-1,873)",101850,"(+/-2,553)"
People,"Sex and Age","35 to 44 years",116784,"(+/-2,050)",92681,"(+/-2,396)",129721,"(+/-2,465)",88398,"(+/-2,334)",99791,"(+/-2,082)"
People,"Sex and Age","45 to 54 years",111214,"(+/-2,026)",99613,"(+/-2,327)",109171,"(+/-2,092)",93064,"(+/-1,835)",104767,"(+/-2,159)"
People,"Sex and Age","55 to 59 years",50848,"(+/-2,915)",54164,"(+/-2,988)",51237,"(+/-2,779)",55303,"(+/-2,840)",53414,"(+/-2,469)"
People,"Sex and Age","60 to 64 years",52804,"(+/-2,958)",62952,"(+/-3,007)",50549,"(+/-2,796)",58096,"(+/-2,708)",56802,"(+/-2,692)"
People,"Sex and Age","65 to 74 years",68765,"(+/-1,314)",92393,"(+/-1,794)",63860,"(+/-1,994)",91385,"(+/-2,139)",79743,"(+/-1,912)"
People,"Sex and Age","75 to 84 years",29415,"(+/-1,380)",44409,"(+/-1,941)",26776,"(+/-1,534)",44350,"(+/-1,630)",37483,"(+/-1,857)"
People,"Sex and Age","85 years and over",12561,"(+/-1,327)",19127,"(+/-1,855)",13141,"(+/-1,510)",19211,"(+/-1,745)",17159,"(+/-1,533)"
