Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE"
People,"Sex and Age","Total population",720611,"(+/-16,105)",725418,"(+/-15,604)",701892,"(+/-4,751)",724891,"(+/-4,502)",699108,"(+/-4,413)",720652,"(+/-10,911)",709623,"(+/-11,117)",707083,"(+/-5,374)",696545,"(+/-5,125)",705602,"(+/-8,095)",704916,"(+/-7,383)",700339,"(+/-7,926)",729101,"(+/-13,355)",699463,"(+/-7,573)",728044,"(+/-9,101)",732595,"(+/-8,758)",686892,"(+/-10,106)",709728,"(+/-8,861)"
People,"Sex and Age",Male,345129,"(+/-8,939)",334726,"(+/-7,915)",345717,"(+/-3,303)",357631,"(+/-3,397)",357097,"(+/-2,961)",353702,"(+/-6,246)",347000,"(+/-6,644)",347120,"(+/-3,187)",343790,"(+/-3,003)",354029,"(+/-4,561)",347774,"(+/-5,018)",342412,"(+/-4,755)",350710,"(+/-7,343)",338477,"(+/-5,502)",359105,"(+/-5,102)",358610,"(+/-4,743)",335314,"(+/-6,296)",343903,"(+/-5,962)"
People,"Sex and Age",Female,375482,"(+/-9,799)",390692,"(+/-10,417)",356175,"(+/-3,136)",367260,"(+/-2,455)",342011,"(+/-3,182)",366950,"(+/-5,984)",362623,"(+/-6,078)",359963,"(+/-2,671)",352755,"(+/-3,344)",351573,"(+/-4,971)",357142,"(+/-4,237)",357927,"(+/-4,480)",378391,"(+/-8,785)",360986,"(+/-4,267)",368939,"(+/-5,431)",373985,"(+/-5,356)",351578,"(+/-6,544)",365825,"(+/-4,861)"
People,"Sex and Age","Under 5 years",50838,"(+/-3,360)",43889,"(+/-3,488)",37880,"(+/-1,606)",38878,"(+/-1,368)",33869,"(+/-1,433)",38846,"(+/-2,577)",38348,"(+/-2,446)",35106,"(+/-1,127)",35510,"(+/-1,359)",36539,"(+/-1,350)",38513,"(+/-2,127)",36969,"(+/-2,102)",51995,"(+/-3,635)",37494,"(+/-2,482)",41066,"(+/-1,949)",50324,"(+/-1,929)",33922,"(+/-2,250)",34906,"(+/-2,395)"
People,"Sex and Age","5 to 9 years",49148,"(+/-3,686)",36888,"(+/-2,734)",39224,"(+/-2,165)",47082,"(+/-2,324)",35951,"(+/-2,164)",43096,"(+/-3,399)",43202,"(+/-2,736)",39729,"(+/-2,211)",40038,"(+/-2,373)",41139,"(+/-2,757)",38095,"(+/-2,263)",40114,"(+/-2,479)",45662,"(+/-3,765)",32594,"(+/-2,670)",44185,"(+/-2,921)",52496,"(+/-3,386)",39553,"(+/-3,069)",41935,"(+/-2,860)"
People,"Sex and Age","10 to 14 years",44330,"(+/-3,836)",36728,"(+/-3,373)",42682,"(+/-2,234)",43501,"(+/-2,582)",35395,"(+/-1,923)",44473,"(+/-3,144)",43122,"(+/-3,240)",46348,"(+/-2,485)",39655,"(+/-2,042)",39869,"(+/-2,313)",41248,"(+/-2,616)",38543,"(+/-2,712)",48128,"(+/-3,952)",29225,"(+/-2,244)",46676,"(+/-3,298)",50433,"(+/-3,443)",38330,"(+/-2,805)",39078,"(+/-3,038)"
People,"Sex and Age","15 to 19 years",43371,"(+/-2,935)",54559,"(+/-3,481)",48446,"(+/-2,067)",48042,"(+/-2,080)",51691,"(+/-1,539)",48629,"(+/-2,604)",47540,"(+/-2,452)",46367,"(+/-1,374)",46321,"(+/-1,771)",46033,"(+/-1,920)",44550,"(+/-2,352)",39936,"(+/-2,300)",40097,"(+/-3,049)",43170,"(+/-1,913)",52840,"(+/-2,588)",52643,"(+/-2,632)",45747,"(+/-2,770)",43880,"(+/-2,336)"
People,"Sex and Age","20 to 24 years",50685,"(+/-3,575)",66903,"(+/-3,842)",43504,"(+/-1,976)",46545,"(+/-1,610)",64967,"(+/-2,205)",45359,"(+/-3,004)",42343,"(+/-2,294)",39741,"(+/-1,391)",44817,"(+/-1,374)",44886,"(+/-2,482)",45887,"(+/-2,232)",34544,"(+/-1,984)",47366,"(+/-3,148)",57340,"(+/-2,549)",48090,"(+/-2,498)",49106,"(+/-2,248)",41655,"(+/-2,603)",36389,"(+/-2,622)"
People,"Sex and Age","25 to 34 years",135457,"(+/-5,947)",130841,"(+/-5,391)",79102,"(+/-2,359)",88419,"(+/-2,404)",84455,"(+/-2,217)",83044,"(+/-4,194)",78889,"(+/-3,371)",75455,"(+/-1,552)",77818,"(+/-1,936)",79369,"(+/-2,415)",82181,"(+/-3,222)",80278,"(+/-3,483)",107921,"(+/-4,903)",120933,"(+/-3,842)",87636,"(+/-3,542)",94147,"(+/-2,947)",81817,"(+/-3,411)",80879,"(+/-3,503)"
People,"Sex and Age","35 to 44 years",98212,"(+/-4,981)",78015,"(+/-4,218)",80326,"(+/-1,871)",86316,"(+/-2,021)",76295,"(+/-1,987)",89648,"(+/-3,589)",82108,"(+/-2,938)",84507,"(+/-1,945)",79013,"(+/-1,967)",76555,"(+/-2,889)",84783,"(+/-2,563)",78576,"(+/-3,243)",91850,"(+/-4,625)",73855,"(+/-2,977)",87062,"(+/-3,077)",86085,"(+/-2,625)",81559,"(+/-3,372)",87090,"(+/-3,003)"
