Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE"
People,"Sex and Age","Total population",532557,"(+/-6,027)",523741,"(+/-6,027)"
People,"Sex and Age",Male,258099,"(+/-4,831)",253674,"(+/-4,780)"
People,"Sex and Age",Female,274458,"(+/-3,627)",270067,"(+/-3,769)"
People,"Sex and Age","Under 5 years",29243,"(+/-1,782)",25150,"(+/-1,708)"
People,"Sex and Age","5 to 9 years",30860,"(+/-2,334)",30316,"(+/-2,425)"
People,"Sex and Age","10 to 14 years",28770,"(+/-2,186)",29288,"(+/-2,328)"
People,"Sex and Age","15 to 19 years",35688,"(+/-1,911)",37962,"(+/-1,969)"
People,"Sex and Age","20 to 24 years",41681,"(+/-2,682)",37257,"(+/-2,142)"
People,"Sex and Age","25 to 34 years",76572,"(+/-3,212)",66448,"(+/-3,414)"
People,"Sex and Age","35 to 44 years",62688,"(+/-2,479)",60994,"(+/-2,384)"
People,"Sex and Age","45 to 54 years",73426,"(+/-2,458)",75386,"(+/-2,533)"
People,"Sex and Age","55 to 59 years",37983,"(+/-2,656)",41275,"(+/-3,116)"
People,"Sex and Age","60 to 64 years",30119,"(+/-2,185)",34660,"(+/-2,713)"
People,"Sex and Age","65 to 74 years",46296,"(+/-1,870)",48356,"(+/-1,741)"
People,"Sex and Age","75 to 84 years",25277,"(+/-1,705)",22959,"(+/-1,578)"
People,"Sex and Age","85 years and over",13954,"(+/-1,344)",13690,"(+/-1,509)"
People,"Sex and Age","Median age (years)",38.8,(+/-0.6),40.8,(+/-0.5)
People,"Sex and Age","18 years and over",425085,"(+/-5,469)",419338,"(+/-5,521)"
People,"Sex and Age","65 years and over",85527,"(+/-2,344)",85005,"(+/-2,202)"
People,Race,"Total population",532557,"(+/-6,027)",523741,"(+/-6,027)"
People,Race,"One race",512550,"(+/-6,940)",507370,"(+/-6,575)"
People,Race,White,414179,"(+/-7,628)",434666,"(+/-6,710)"
People,Race,"Black or African American",45305,"(+/-4,588)",20199,"(+/-3,364)"
People,Race,"American Indian and Alaska Native",1944,(+/-869),2619,"(+/-1,129)"
