Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE"
People,"Sex and Age","Total population",751679,"(+/-7,990)",701799,"(+/-7,583)",680819,"(+/-7,325)",709631,"(+/-6,883)",693302,"(+/-4,618)",661521,"(+/-10,822)",697395,"(+/-3,616)"
People,"Sex and Age",Male,366920,"(+/-4,479)",344458,"(+/-5,158)",334645,"(+/-4,099)",345242,"(+/-3,885)",336343,"(+/-4,155)",319371,"(+/-6,992)",338117,"(+/-2,631)"
People,"Sex and Age",Female,384759,"(+/-5,759)",357341,"(+/-4,727)",346174,"(+/-4,837)",364389,"(+/-4,042)",356959,"(+/-3,924)",342150,"(+/-7,671)",359278,"(+/-2,308)"
People,"Sex and Age","Under 5 years",47302,"(+/-1,551)",40845,"(+/-1,795)",37843,"(+/-2,030)",45466,"(+/-1,345)",40381,"(+/-1,436)",37768,"(+/-2,689)",37883,"(+/-1,038)"
People,"Sex and Age","5 to 9 years",50000,"(+/-3,551)",43927,"(+/-3,058)",40647,"(+/-2,895)",48756,"(+/-2,825)",43529,"(+/-2,876)",41963,"(+/-3,536)",42055,"(+/-2,806)"
People,"Sex and Age","10 to 14 years",42526,"(+/-3,181)",48505,"(+/-2,785)",40210,"(+/-2,813)",46280,"(+/-2,723)",46897,"(+/-3,174)",38078,"(+/-3,129)",40460,"(+/-2,322)"
People,"Sex and Age","15 to 19 years",44526,"(+/-2,404)",50566,"(+/-2,543)",49767,"(+/-3,180)",45730,"(+/-2,198)",47664,"(+/-2,071)",50501,"(+/-3,551)",40899,"(+/-2,132)"
People,"Sex and Age","20 to 24 years",45795,"(+/-3,100)",50037,"(+/-4,124)",50089,"(+/-2,408)",49343,"(+/-1,645)",45783,"(+/-2,606)",62454,"(+/-4,593)",41839,"(+/-2,290)"
People,"Sex and Age","25 to 34 years",111478,"(+/-3,326)",88796,"(+/-2,762)",74525,"(+/-3,141)",94143,"(+/-2,128)",81921,"(+/-2,789)",96643,"(+/-4,805)",84073,"(+/-3,275)"
People,"Sex and Age","35 to 44 years",94526,"(+/-2,932)",90700,"(+/-2,449)",82039,"(+/-2,993)",88672,"(+/-2,315)",87341,"(+/-2,789)",72913,"(+/-3,912)",84258,"(+/-2,613)"
People,"Sex and Age","45 to 54 years",93257,"(+/-3,047)",95032,"(+/-2,364)",94424,"(+/-2,918)",97942,"(+/-2,542)",98347,"(+/-2,966)",82552,"(+/-3,454)",90384,"(+/-1,791)"
People,"Sex and Age","55 to 59 years",51282,"(+/-3,237)",45920,"(+/-3,213)",48474,"(+/-3,062)",45052,"(+/-2,880)",46180,"(+/-2,715)",41542,"(+/-3,247)",52202,"(+/-3,067)"
People,"Sex and Age","60 to 64 years",45053,"(+/-3,086)",44340,"(+/-2,849)",43991,"(+/-2,916)",41717,"(+/-2,073)",44859,"(+/-2,579)",42611,"(+/-2,630)",48689,"(+/-3,114)"
People,"Sex and Age","65 to 74 years",80727,"(+/-1,855)",64162,"(+/-1,749)",71633,"(+/-1,869)",63505,"(+/-1,710)",67901,"(+/-1,419)",56295,"(+/-2,391)",86615,"(+/-1,526)"
People,"Sex and Age","75 to 84 years",32239,"(+/-1,893)",26057,"(+/-1,631)",34117,"(+/-1,721)",31347,"(+/-1,544)",30324,"(+/-1,746)",27639,"(+/-1,781)",36323,"(+/-1,653)"
People,"Sex and Age","85 years and over",12968,"(+/-1,735)",12912,"(+/-1,582)",13060,"(+/-1,341)",11678,"(+/-1,359)",12175,"(+/-1,454)",10562,"(+/-1,401)",11715,"(+/-1,620)"
People,"Sex and Age","Median age (years)",38.3,(+/-0.5),38.4,(+/-0.7),41.1,(+/-0.5),37.7,(+/-0.4),39.8,(+/-0.6),35.4,(+/-0.6),42.3,(+/-0.5)
People,"Sex and Age","18 years and over",585489,"(+/-6,002)",541020,"(+/-6,162)",533930,"(+/-5,334)",542791,"(+/-4,887)",533121,"(+/-3,390)",518821,"(+/-8,534)",551666,"(+/-2,791)"
People,"Sex and Age","65 years and over",125934,"(+/-2,104)",103131,"(+/-2,119)",118810,"(+/-2,021)",106530,"(+/-1,841)",110400,"(+/-1,547)",94496,"(+/-3,197)",134653,"(+/-1,443)"
People,Race,"Total population",751679,"(+/-7,990)",701799,"(+/-7,583)",680819,"(+/-7,325)",709631,"(+/-6,883)",693302,"(+/-4,618)",661521,"(+/-10,822)",697395,"(+/-3,616)"
