Topic,Subject,Title,District 01 Value,District (At Large) MOE,,,,
People,Sex and Age,Total population,858469,(*****),,,,
People,Sex and Age,Male,431540,(+/-2,030),,,
People,Sex and Age,Female,426929,(+/-2,030),,,
People,Sex and Age,Under 5 years,59597,(+/-1,525),,,
People,Sex and Age,5 to 9 years,60136,(+/-2,605),,,
People,Sex and Age,10 to 14 years,55902,(+/-2,580),,,
People,Sex and Age,15 to 19 years,60121,(+/-2,373),,,
People,Sex and Age,20 to 24 years,59605,(+/-2,195),,,
People,Sex and Age,25 to 34 years,111923,(+/-2,034),,,
People,Sex and Age,35 to 44 years,98348,(+/-1,904),,,
People,Sex and Age,45 to 54 years,104609,(+/-1,596),,,
People,Sex and Age,55 to 59 years,60180,(+/-2,509),,,
People,Sex and Age,60 to 64 years,53535,(+/-2,519),,,
People,Sex and Age,65 to 74 years,72702,(+/-1,100),,,
People,Sex and Age,75 to 84 years,40855,(+/-1,815),,,
People,Sex and Age,85 years and over,20956,(+/-1,855),,,
People,Sex and Age,Median age (years),36.9,(+/-0.3),,,,
People,Sex and Age,18 years and over,648789,(+/-1,274),,,
People,Sex and Age,65 years and over,134513,(+/-1,471),,,
People,Race,Total population,858469,(*****),,,,
People,Race,One race,833072,(+/-2,727),,,
People,Race,White,725937,(+/-2,619),,,
People,Race,Black or African American,13172,(+/-1,389),,,
People,Race,American Indian and Alaska Native,71102,(+/-2,895),,,
People,Race,Asian,11911,(+/-1,378),,,
People,Race,Native Hawaiian and Other Pacific Islander,737,(+/-524),,,,
People,Race,Some other race,10213,(+/-2,321),,,
People,Race,Two or more races,25397,(+/-2,727),,,
People,Hispanic or Latino and Race,Total population,858469,(*****),,,,
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),30079,(+/-845),,,,
People,Hispanic or Latino and Race,Mexican,20608,(+/-1,924),,,
People,Hispanic or Latino and Race,Puerto Rican,2390,(+/-1,004),,,
People,Hispanic or Latino and Race,Cuban,308,(+/-424),,,,
People,Hispanic or Latino and Race,Other Hispanic or Latino,6773,(+/-1,724),,,
People,Hispanic or Latino and Race,Not Hispanic or Latino,828390,(+/-845),,,,
People,Place of Birth,Total population,858469,(*****),,,,
People,Place of Birth,Native,830624,(+/-2,921),,,
People,Place of Birth,Born in United States,825548,(+/-3,201),,,
People,Place of Birth,State of residence,557165,(+/-7,242),,,
People,Place of Birth,Different state,268383,(+/-6,249),,,
People,Place of Birth,Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s),5076,(+/-1,121),
People,Place of Birth,Foreign born,27845,(+/-2,921),,,
People,Ancestry,Total population,858469,(*****),,,,
People,Ancestry,American,30741,(+/-3,191),,,
People,Ancestry,Arab,1296,(+/-576),,,,
People,Ancestry,Czech,16353,(+/-2,074),,,
People,Ancestry,Danish,15029,(+/-2,043),,,
People,Ancestry,Dutch,34812,(+/-3,611),,,
People,Ancestry,English,47822,(+/-3,909),,,
People,Ancestry,French (except Basque),18926,(+/-2,441),,,
People,Ancestry,French Canadian,4547,(+/-1,287),,,
People,Ancestry,German,327969,(+/-9,271),,,
People,Ancestry,Greek,1053,(+/-536),,,,
People,Ancestry,Hungarian,2590,(+/-1,179),,,
People,Ancestry,Irish,89681,(+/-5,388),,,
People,Ancestry,Italian,10412,(+/-1,809),,,
People,Ancestry,Lithuanian,165,(+/-183),,,,
People,Ancestry,Norwegian,118941,(+/-5,186),,,
People,Ancestry,Polish,14560,(+/-2,369),,,
People,Ancestry,Portuguese,633,(+/-438),,,,
People,Ancestry,Russian,8623,(+/-1,486),,,
People,Ancestry,Scotch-Irish,3354,(+/-797),,,,
People,Ancestry,Scottish,10192,(+/-2,097),,,
People,Ancestry,Slovak,718,(+/-730),,,,
People,Ancestry,Subsaharan African,4522,(+/-1,849),,,
People,Ancestry,Swedish,27416,(+/-2,790),,,
People,Ancestry,Swiss,2951,(+/-1,026),,,
People,Ancestry,Ukrainian,2575,(+/-1,581),,,
People,Ancestry,Welsh,3124,(+/-880),,,,
People,Ancestry,West Indian (excluding Hispanic origin groups),622,(+/-446),,,,
People,Veteran Status,Civilian population 18 years and over,646426,(+/-1,431),,,
People,Veteran Status,Civilian veterans,57865,(+/-3,163),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,841363,(+/-603),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,100775,(+/-4,882),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,208580,(+/-1,270),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7947,(+/-1,352),,,
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,504714,(+/-1,931),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,51131,(+/-4,152),,,
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,128069,(+/-1,515),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,41697,(+/-1,912),,,
People,Residence 1 Year Ago,Population 1 year and over,848285,(+/-1,092),,,
People,Residence 1 Year Ago,Same house,702122,(+/-7,738),,,
People,Residence 1 Year Ago,Different house in the U.S.,143305,(+/-7,595),,,
People,Residence 1 Year Ago,Same county,73424,(+/-5,730),,,
People,Residence 1 Year Ago,Different county,69881,(+/-5,296),,,
People,Residence 1 Year Ago,Same state,42919,(+/-4,091),,,
People,Residence 1 Year Ago,Different state,26962,(+/-3,687),,,
People,Residence 1 Year Ago,Abroad,2858,(+/-1,416),,,
Workers,Employment Status,Population 16 years and over,671301,(+/-1,892),,,
Workers,Employment Status,In labor force,457359,(+/-5,855),,,
Workers,Employment Status,Civilian labor force,454996,(+/-6,037),,,
Workers,Employment Status,Employed,436852,(+/-6,056),,,
Workers,Employment Status,Unemployed,18144,(+/-2,100),,,
Workers,Employment Status,Armed Forces,2363,(+/-603),,,,
Workers,Employment Status,Not in labor force,213942,(+/-6,136),,,
Workers,Employment Status,Civilian labor force,454996,(+/-6,037),,,
Workers,Employment Status,Unemployment Rate,4,(+/-0.5),,,,
Workers,Commuting to Work,Workers 16 years and over,430868,(+/-5,925),,,
Workers,Commuting to Work,Car, truck, or van -- drove alone,347078,(+/-5,922),
Workers,Commuting to Work,Car, truck, or van -- carpooled,36117,(+/-2,624),
Workers,Commuting to Work,Public transportation (excluding taxicab),3455,(+/-1,138),,,
Workers,Commuting to Work,Walked,13448,(+/-1,525),,,
Workers,Commuting to Work,Other means,5800,(+/-1,177),,,
Workers,Commuting to Work,Worked at home,24970,(+/-2,293),,,
Workers,Commuting to Work,Mean travel time to work (minutes),16.9,(+/-0.4),,,,
Workers,Occupation,Civilian employed population 16 years and over,436852,(+/-6,056),,,
Workers,Occupation,Management, business, science, and arts occupations,147694,(+/-5,093)
Workers,Occupation,Service occupations,78185,(+/-4,208),,,
Workers,Occupation,Sales and office occupations,100603,(+/-3,939),,,
Workers,Occupation,Natural resources, construction, and maintenance occupations,48389,(+/-2,698),
Workers,Occupation,Production, transportation, and material moving occupations,61981,(+/-3,014),
Workers,Industry,Civilian employed population 16 years and over,436852,(+/-6,056),,,
Workers,Industry,Agriculture, forestry, fishing and hunting, and mining,29093,(+/-2,066)
Workers,Industry,Construction,32182,(+/-2,459),,,
Workers,Industry,Manufacturing,45422,(+/-2,733),,,
Workers,Industry,Wholesale trade,12632,(+/-1,297),,,
Workers,Industry,Retail trade,45981,(+/-2,981),,,
Workers,Industry,Transportation and warehousing, and utilities,19976,(+/-1,725),,
Workers,Industry,Information,6577,(+/-1,184),,,
Workers,Industry,Finance and insurance, and real estate and rental and leasing,30383,(+/-2,329),,
Workers,Industry,Professional, scientific, and management, and administrative and waste management services,28537,(+/-2,850)
Workers,Industry,Educational services, and health care and social assistance,106014,(+/-4,127),,
Workers,Industry,Arts, entertainment, and recreation, and accommodation and food services,41711,(+/-2,466)
Workers,Industry,Other services, except public administration,19241,(+/-1,742),,
Workers,Industry,Public administration,19103,(+/-1,871),,,
Workers,Class of Worker,Civilian employed population 16 years and over,436852,(+/-6,056),,,
Workers,Class of Worker,Private wage and salary workers,337457,(+/-6,106),,,
Workers,Class of Worker,Government workers,61802,(+/-3,075),,,
Workers,Class of Worker,Self-employed in own not incorporated business workers,36202,(+/-2,415),,,
Workers,Class of Worker,Unpaid family workers,1391,(+/-464),,,,
Housing,Housing Occupancy,Total housing units,380307,(+/-271),,,,
Housing,Housing Occupancy,Occupied housing units,339437,(+/-2,931),,,
Housing,Housing Occupancy,Vacant housing units,40870,(+/-2,999),,,
Housing,Housing Occupancy,Homeowner vacancy rate,1.1,(+/-0.3),,,,
Housing,Housing Occupancy,Rental vacancy rate,5.2,(+/-1.1),,,,
Housing,Housing Tenure,Occupied housing units,339437,(+/-2,931),,,
Housing,Housing Tenure,Owner-occupied,231452,(+/-4,098),,,
Housing,Housing Tenure,Renter-occupied,107985,(+/-3,840),,,
Housing,Housing Tenure,Average household size of owner-occupied unit,2.54,(+/-0.03),,,,
Housing,Housing Tenure,Average household size of renter-occupied unit,2.19,(+/-0.06),,,,
Housing,Year Householder Moved into Unit,Occupied housing units,339437,(+/-2,931),,,
Housing,Year Householder Moved into Unit,Moved in 2015 or later,28721,(+/-2,576),,,
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,119256,(+/-3,997),,,
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,95761,(+/-3,561),,,
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,45305,(+/-2,398),,,
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,21772,(+/-1,899),,,
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,28622,(+/-1,634),,,
Housing,Value,Owner-occupied units,231452,(+/-4,098),,,
Housing,Value,Less than $50,0,30921,(+/-2,297),,
Housing,Value,$50,000 to $99,999,36156,(+/-2,312),
Housing,Value,$100,000 to $149,999,45720,(+/-2,240),
Housing,Value,$150,000 to $199,999,43785,(+/-2,789),
Housing,Value,$200,000 to $299,999,41373,(+/-2,568),
Housing,Value,$300,000 to $499,999,24930,(+/-1,977),
Housing,Value,$500,000 to $999,999,6699,(+/-1,038),
Housing,Value,$1,0,000 or more,1868,(+/-522),,
Housing,Value,Median (dollars),152800,(+/-2,490),,,
Housing,Mortgage Status,Owner-occupied units,231452,(+/-4,098),,,
Housing,Mortgage Status,Housing units with a mortgage,127098,(+/-3,504),,,
Housing,Mortgage Status,Housing units without a mortgage,104354,(+/-3,141),,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,127098,(+/-3,504),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,2655,(+/-724),,,,
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,35469,(+/-2,656),,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 to $1,499,49559,(+/-2,580),
Housing,Selected Monthly Owner Costs(SMOC),$1,500 to $1,999,20869,(+/-1,765),
Housing,Selected Monthly Owner Costs(SMOC),$2,000 to $2,499,9914,(+/-1,357),
Housing,Selected Monthly Owner Costs(SMOC),$2,500 to $2,999,4566,(+/-918),,
Housing,Selected Monthly Owner Costs(SMOC),$3,000 or more,4066,(+/-749),,,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1225,(+/-21),,,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,104354,(+/-3,141),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,10903,(+/-1,140),,,
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,30187,(+/-2,259),,,
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,40047,(+/-2,407),,,
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,13228,(+/-1,316),,,
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,6743,(+/-879),,,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 or more,3246,(+/-686),,,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),449,(+/-8),,,,
Housing,Gross Rent,Occupied units paying rent,99981,(+/-3,699),,,
Housing,Gross Rent,Less than $500,25120,(+/-2,208),,,
Housing,Gross Rent,$500 to $999,58042,(+/-3,161),,,
Housing,Gross Rent,$1,000 to $1,499,13636,(+/-1,750),
Housing,Gross Rent,$1,500 to $1,999,1753,(+/-579),,
Housing,Gross Rent,$2,000 to $2,499,300,(+/-198),,
Housing,Gross Rent,$2,500 to $2,999,493,(+/-320),,
Housing,Gross Rent,$3,000 or more,637,(+/-329),,,
Housing,Gross Rent,Median (dollars),675,(+/-18),,,,
Housing,Gross Rent,No rent paid,8004,(+/-1,019),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Total households,339437,(+/-2,931),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Less than $10,0,20575,(+/-1,835),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$10,000 to $14,999,18765,(+/-2,224),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$15,000 to $24,999,34474,(+/-2,471),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$25,000 to $34,999,35906,(+/-2,525),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$35,000 to $49,999,50436,(+/-3,078),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$50,000 to $74,999,66893,(+/-3,365),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$75,000 to $99,999,48145,(+/-2,576),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$100,000 to $149,999,40593,(+/-2,538),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$150,000 to $199,0,11434,(+/-1,239),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$200,000 or more,12216,(+/-1,227),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Median household income (dollars),53017,(+/-1,096),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Mean household income (dollars),68723,(+/-1,445),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,841363,(+/-603),,,,
Socioeconomic,Health Insurance Coverage,With health insurance coverage,755448,(+/-5,324),,,
Socioeconomic,Health Insurance Coverage,With private health insurance,611393,(+/-8,235),,,
Socioeconomic,Health Insurance Coverage,With public coverage,254969,(+/-6,490),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,85915,(+/-5,350),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,208580,(+/-1,270),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,14036,(+/-2,361),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All families,8.3,(+/-0.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,14.1,(+/-1.5),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,19.1,(+/-4.4),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,3.8,(+/-0.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,6,(+/-1.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,4.5,(+/-3.3),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Families with female householder, no husband present,29.4,(+/-3.7),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,34.3,(+/-4.4),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,46.9,(+/-10.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All people,13.7,(+/-0.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,18.1,(+/-1.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,17.6,(+/-1.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,20.5,(+/-2.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,16.5,(+/-2.0),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,12.3,(+/-0.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8.3,(+/-1.3),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,People in families,10.5,(+/-0.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,25.8,(+/-1.8),,,,
Education,School Enrollment,Population 3 years and over enrolled in school,212152,(+/-3,310),,,
Education,School Enrollment,Nursery school, preschool,13937,(+/-1,549),,
Education,School Enrollment,Kindergarten,12342,(+/-1,529),,,
Education,School Enrollment,Elementary school (grades 1-8),89301,(+/-2,236),,,
Education,School Enrollment,High school (grades 9-12),43072,(+/-2,155),,,
Education,School Enrollment,College or graduate school,53500,(+/-2,312),,,
Education,Educational Attainment,Population 25 years and over,563108,(+/-2,209),,,
Education,Educational Attainment,Less than 9th grade,19422,(+/-2,101),,,
Education,Educational Attainment,9th to 12th grade, no diploma,30620,(+/-2,497),,
