Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE"
People,"Sex and Age","Total population",712033,"(+/-2,452)",732112,"(+/-2,841)",726420,"(+/-4,791)",755381,"(+/-5,137)",759800,"(+/-1,956)",745077,"(+/-3,679)",753850,"(+/-3,501)",709747,"(+/-6,581)",705879,"(+/-6,164)"
People,"Sex and Age",Male,349101,"(+/-2,627)",355366,"(+/-2,534)",351984,"(+/-3,587)",373439,"(+/-3,828)",366455,"(+/-1,394)",366345,"(+/-2,830)",373757,"(+/-2,379)",343379,"(+/-4,185)",334863,"(+/-3,830)"
People,"Sex and Age",Female,362932,"(+/-2,207)",376746,"(+/-2,252)",374436,"(+/-3,478)",381942,"(+/-3,592)",393345,"(+/-1,380)",378732,"(+/-3,072)",380093,"(+/-2,904)",366368,"(+/-4,653)",371016,"(+/-4,587)"
People,"Sex and Age","Under 5 years",35955,"(+/-1,062)",39443,"(+/-1,009)",40143,"(+/-1,444)",46222,"(+/-1,784)",51934,(+/-491),42796,"(+/-1,305)",47698,"(+/-1,232)",38578,"(+/-1,902)",56468,"(+/-1,668)"
People,"Sex and Age","5 to 9 years",37347,"(+/-2,365)",44648,"(+/-2,331)",40683,"(+/-2,963)",47418,"(+/-2,461)",47566,"(+/-2,666)",47253,"(+/-2,980)",55013,"(+/-3,293)",45246,"(+/-2,958)",49471,"(+/-2,891)"
People,"Sex and Age","10 to 14 years",42619,"(+/-2,338)",42559,"(+/-2,277)",45458,"(+/-2,694)",52106,"(+/-2,660)",40109,"(+/-2,727)",49272,"(+/-2,935)",53013,"(+/-3,199)",52394,"(+/-2,556)",45630,"(+/-2,927)"
People,"Sex and Age","15 to 19 years",43756,"(+/-1,660)",49305,"(+/-1,890)",45135,"(+/-2,183)",53399,"(+/-2,197)",44518,"(+/-1,187)",48215,"(+/-2,095)",51019,"(+/-1,974)",50234,"(+/-2,989)",46695,"(+/-2,011)"
People,"Sex and Age","20 to 24 years",45466,"(+/-1,904)",56666,"(+/-1,774)",44195,"(+/-2,297)",58168,"(+/-2,368)",56899,"(+/-1,143)",47146,"(+/-2,151)",48243,"(+/-2,026)",45036,"(+/-3,269)",55675,"(+/-2,666)"
People,"Sex and Age","25 to 34 years",79063,"(+/-1,824)",90058,"(+/-1,906)",90660,"(+/-2,054)",93400,"(+/-2,947)",139610,"(+/-1,169)",85356,"(+/-2,051)",97039,"(+/-2,127)",80229,"(+/-3,592)",110386,"(+/-2,889)"
People,"Sex and Age","35 to 44 years",89089,"(+/-1,734)",89254,"(+/-1,980)",89462,"(+/-2,244)",100178,"(+/-2,369)",104914,"(+/-1,018)",90468,"(+/-1,687)",100701,"(+/-2,157)",86368,"(+/-2,865)",90726,"(+/-2,326)"
People,"Sex and Age","45 to 54 years",100101,"(+/-1,253)",99004,"(+/-1,345)",100247,"(+/-1,981)",102607,"(+/-2,251)",97049,"(+/-1,022)",105220,"(+/-1,849)",103088,"(+/-1,854)",99906,"(+/-2,794)",86717,"(+/-2,390)"
People,"Sex and Age","55 to 59 years",50716,"(+/-2,698)",50953,"(+/-2,627)",53755,"(+/-3,215)",51748,"(+/-2,339)",49294,"(+/-2,604)",52625,"(+/-3,083)",52030,"(+/-2,587)",51049,"(+/-2,748)",47016,"(+/-2,843)"
People,"Sex and Age","60 to 64 years",50767,"(+/-2,586)",45398,"(+/-2,756)",46647,"(+/-2,834)",43055,"(+/-2,516)",40426,"(+/-2,693)",47895,"(+/-2,863)",40196,"(+/-2,764)",44659,"(+/-2,702)",38578,"(+/-2,736)"
People,"Sex and Age","65 to 74 years",81900,(+/-905),73267,"(+/-1,268)",77293,"(+/-1,538)",65282,"(+/-1,610)",51457,(+/-814),79282,"(+/-1,376)",63761,"(+/-1,460)",68824,"(+/-2,154)",46581,"(+/-1,913)"
People,"Sex and Age","75 to 84 years",41628,"(+/-1,524)",35425,"(+/-1,496)",37380,"(+/-2,007)",30413,"(+/-1,613)",25066,"(+/-1,486)",37250,"(+/-1,413)",30574,"(+/-1,322)",33697,"(+/-2,054)",22293,"(+/-1,675)"
People,"Sex and Age","85 years and over",13626,"(+/-1,787)",16132,"(+/-1,487)",15362,"(+/-1,810)",11385,"(+/-1,431)",10958,"(+/-1,345)",12299,"(+/-1,573)",11475,"(+/-1,469)",13527,"(+/-1,517)",9643,"(+/-1,246)"
People,"Sex and Age","Median age (years)",43.2,(+/-0.3),39.9,(+/-0.5),41.7,(+/-0.5),37.7,(+/-0.5),34.9,(+/-0.2),40.9,(+/-0.4),37.4,(+/-0.4),40.2,(+/-0.5),33.9,(+/-0.3)
People,"Sex and Age","18 years and over",569543,"(+/-2,360)",578176,"(+/-2,518)",574241,"(+/-3,867)",578367,"(+/-3,806)",596088,"(+/-1,393)",575280,"(+/-2,876)",565792,"(+/-2,569)",542678,"(+/-5,309)",526334,"(+/-4,868)"
People,"Sex and Age","65 years and over",137154,"(+/-1,178)",124824,"(+/-1,649)",130035,"(+/-1,636)",107080,"(+/-1,815)",87481,(+/-907),128831,"(+/-1,573)",105810,"(+/-1,572)",116048,"(+/-2,530)",78517,"(+/-2,294)"
People,Race,"Total population",712033,"(+/-2,452)",732112,"(+/-2,841)",726420,"(+/-4,791)",755381,"(+/-5,137)",759800,"(+/-1,956)",745077,"(+/-3,679)",753850,"(+/-3,501)",709747,"(+/-6,581)",705879,"(+/-6,164)"
People,Race,"One race",700089,"(+/-2,996)",715547,"(+/-3,812)",712362,"(+/-6,095)",733792,"(+/-5,960)",738866,"(+/-4,093)",730358,"(+/-3,918)",737887,"(+/-3,927)",697383,"(+/-6,789)",693035,"(+/-8,073)"
