Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE","District 28 Value","District 28 MOE","District 29 Value","District 29 MOE","District 30 Value","District 30 MOE","District 31 Value","District 31 MOE","District 32 Value","District 32 MOE","District 33 Value","District 33 MOE","District 34 Value","District 34 MOE","District 35 Value","District 35 MOE","District 36 Value","District 36 MOE"
People,"Sex and Age","Total population",715761,"(+/-4,166)",753863,"(+/-25,196)",819626,"(+/-5,738)",725212,"(+/-5,993)",743878,"(+/-13,569)",742999,"(+/-11,942)",777640,"(+/-24,967)",802187,"(+/-10,758)",782554,"(+/-25,127)",792770,"(+/-18,138)",761153,"(+/-5,768)",788381,"(+/-16,459)",707365,"(+/-5,476)",739877,"(+/-6,845)",766342,"(+/-14,486)",741162,"(+/-5,656)",750140,"(+/-9,191)",764622,"(+/-25,952)",725517,"(+/-5,860)",774521,"(+/-16,903)",771369,"(+/-16,628)",861570,"(+/-19,982)",747732,"(+/-18,394)",779968,"(+/-10,667)",762034,"(+/-12,944)",818125,"(+/-11,412)",734713,"(+/-6,236)",724967,"(+/-12,426)",758771,"(+/-27,053)",754382,"(+/-16,250)",804974,"(+/-5,880)",748526,"(+/-12,711)",740323,"(+/-19,055)",730907,"(+/-11,832)",823909,"(+/-19,935)",731274,"(+/-13,025)"
People,"Sex and Age",Male,350682,"(+/-3,362)",377289,"(+/-14,358)",402797,"(+/-2,920)",358181,"(+/-4,332)",377622,"(+/-7,866)",359182,"(+/-6,683)",388459,"(+/-14,502)",408184,"(+/-6,813)",381937,"(+/-14,126)",391020,"(+/-11,424)",384620,"(+/-3,861)",380909,"(+/-10,222)",360363,"(+/-3,931)",375676,"(+/-4,660)",379439,"(+/-8,334)",365833,"(+/-3,787)",371868,"(+/-5,664)",377475,"(+/-13,094)",367913,"(+/-4,188)",377211,"(+/-10,964)",383384,"(+/-10,514)",420152,"(+/-11,780)",375978,"(+/-10,634)",380646,"(+/-8,219)",372928,"(+/-8,215)",404599,"(+/-7,470)",361465,"(+/-4,156)",355013,"(+/-8,195)",383153,"(+/-14,846)",364242,"(+/-8,673)",398015,"(+/-3,050)",368008,"(+/-7,913)",377805,"(+/-11,613)",357146,"(+/-6,745)",417801,"(+/-12,517)",368418,"(+/-8,166)"
People,"Sex and Age",Female,365079,"(+/-3,553)",376574,"(+/-13,855)",416829,"(+/-3,910)",367031,"(+/-3,562)",366256,"(+/-8,421)",383817,"(+/-7,768)",389181,"(+/-13,161)",394003,"(+/-5,480)",400617,"(+/-14,114)",401750,"(+/-9,650)",376533,"(+/-4,103)",407472,"(+/-9,455)",347002,"(+/-3,843)",364201,"(+/-4,591)",386903,"(+/-8,529)",375329,"(+/-3,523)",378272,"(+/-5,423)",387147,"(+/-15,452)",357604,"(+/-4,171)",397310,"(+/-9,270)",387985,"(+/-10,122)",441418,"(+/-10,923)",371754,"(+/-9,778)",399322,"(+/-7,754)",389106,"(+/-7,485)",413526,"(+/-6,427)",373248,"(+/-4,431)",369954,"(+/-7,436)",375618,"(+/-14,863)",390140,"(+/-10,424)",406959,"(+/-3,801)",380518,"(+/-7,638)",362518,"(+/-10,094)",373761,"(+/-7,133)",406108,"(+/-10,891)",362856,"(+/-7,664)"
People,"Sex and Age","Under 5 years",48723,"(+/-1,798)",46553,"(+/-4,169)",50710,"(+/-1,910)",45589,"(+/-1,717)",52098,"(+/-3,059)",50737,"(+/-3,633)",62226,"(+/-5,627)",53076,"(+/-2,283)",61930,"(+/-6,282)",50585,"(+/-5,201)",54502,"(+/-1,644)",53850,"(+/-4,477)",47952,"(+/-1,295)",44024,"(+/-1,572)",67000,"(+/-3,947)",60260,"(+/-1,559)",50249,"(+/-2,952)",59855,"(+/-5,296)",51987,"(+/-1,816)",56493,"(+/-3,373)",40041,"(+/-3,858)",63406,"(+/-4,618)",54377,"(+/-4,178)",53917,"(+/-4,226)",45192,"(+/-2,713)",56622,"(+/-2,968)",49406,"(+/-1,644)",66185,"(+/-3,212)",65362,"(+/-5,567)",54529,"(+/-4,170)",58752,"(+/-1,632)",52633,"(+/-4,230)",65578,"(+/-4,958)",61574,"(+/-3,341)",63397,"(+/-4,761)",47338,"(+/-3,776)"
People,"Sex and Age","5 to 9 years",53532,"(+/-2,764)",50640,"(+/-4,872)",63606,"(+/-3,519)",49045,"(+/-3,212)",52446,"(+/-3,887)",50835,"(+/-4,158)",58287,"(+/-5,178)",56301,"(+/-4,785)",58824,"(+/-5,214)",59964,"(+/-4,906)",50887,"(+/-3,025)",57639,"(+/-4,243)",51635,"(+/-2,666)",53182,"(+/-3,661)",62792,"(+/-4,233)",55627,"(+/-3,292)",45574,"(+/-3,150)",57374,"(+/-5,886)",50357,"(+/-3,181)",58613,"(+/-4,399)",41022,"(+/-4,161)",69419,"(+/-4,699)",59006,"(+/-4,458)",51138,"(+/-3,809)",54415,"(+/-3,744)",67581,"(+/-3,710)",52828,"(+/-3,299)",58666,"(+/-4,434)",71751,"(+/-5,872)",67258,"(+/-5,225)",64002,"(+/-3,379)",50036,"(+/-3,834)",68200,"(+/-4,552)",63586,"(+/-3,344)",63117,"(+/-4,426)",52931,"(+/-3,853)"
People,"Sex and Age","10 to 14 years",45807,"(+/-2,816)",49304,"(+/-4,484)",65490,"(+/-3,466)",52915,"(+/-3,010)",52812,"(+/-3,585)",55884,"(+/-4,175)",53213,"(+/-4,618)",59282,"(+/-4,591)",51902,"(+/-4,554)",61902,"(+/-4,601)",53928,"(+/-2,701)",54786,"(+/-4,568)",48680,"(+/-2,790)",50437,"(+/-3,525)",68747,"(+/-4,346)",54560,"(+/-3,035)",46355,"(+/-3,176)",54870,"(+/-6,173)",51251,"(+/-2,858)",56680,"(+/-4,969)",43184,"(+/-4,145)",65438,"(+/-5,090)",61877,"(+/-4,674)",51963,"(+/-4,480)",52225,"(+/-3,631)",64212,"(+/-3,224)",51795,"(+/-3,497)",64674,"(+/-3,362)",66363,"(+/-5,283)",57697,"(+/-3,637)",58475,"(+/-3,626)",49107,"(+/-3,899)",64158,"(+/-4,212)",58421,"(+/-3,391)",55862,"(+/-5,008)",49469,"(+/-3,968)"
People,"Sex and Age","15 to 19 years",49955,"(+/-2,804)",49210,"(+/-4,956)",57644,"(+/-1,944)",50218,"(+/-2,100)",56228,"(+/-3,623)",58036,"(+/-3,638)",46644,"(+/-4,432)",53858,"(+/-3,403)",54329,"(+/-4,902)",52236,"(+/-3,720)",54253,"(+/-3,040)",50897,"(+/-3,526)",50639,"(+/-2,082)",51711,"(+/-2,160)",66902,"(+/-3,487)",54122,"(+/-1,821)",63610,"(+/-3,134)",50405,"(+/-4,265)",57205,"(+/-2,453)",60355,"(+/-4,110)",51487,"(+/-4,250)",64407,"(+/-3,808)",61250,"(+/-4,422)",46362,"(+/-3,447)",53219,"(+/-4,159)",57697,"(+/-2,489)",54688,"(+/-2,746)",58468,"(+/-3,558)",58576,"(+/-4,791)",50245,"(+/-2,960)",54671,"(+/-1,587)",45406,"(+/-3,229)",59037,"(+/-4,111)",59081,"(+/-2,849)",57058,"(+/-4,658)",48548,"(+/-3,979)"
People,"Sex and Age","20 to 24 years",52201,"(+/-2,736)",53540,"(+/-5,734)",48203,"(+/-1,826)",42936,"(+/-2,203)",47656,"(+/-3,489)",51620,"(+/-3,721)",42783,"(+/-4,517)",56257,"(+/-3,180)",64514,"(+/-6,385)",42730,"(+/-4,219)",57165,"(+/-3,252)",54946,"(+/-3,990)",50176,"(+/-2,442)",49344,"(+/-2,246)",56781,"(+/-3,358)",63377,"(+/-2,383)",84731,"(+/-2,395)",60924,"(+/-4,755)",73213,"(+/-1,868)",67699,"(+/-4,759)",57212,"(+/-4,091)",50292,"(+/-4,387)",53549,"(+/-4,542)",49881,"(+/-4,279)",54216,"(+/-4,648)",52848,"(+/-2,944)",52307,"(+/-2,558)",56521,"(+/-3,292)",60342,"(+/-4,952)",56362,"(+/-3,237)",56117,"(+/-1,695)",52241,"(+/-3,506)",54127,"(+/-3,626)",56649,"(+/-2,782)",68104,"(+/-4,872)",53483,"(+/-4,815)"
People,"Sex and Age","25 to 34 years",89667,"(+/-2,858)",120643,"(+/-5,952)",103366,"(+/-2,459)",85717,"(+/-3,438)",99677,"(+/-5,438)",105431,"(+/-5,183)",129923,"(+/-7,498)",102276,"(+/-3,910)",134782,"(+/-7,162)",119374,"(+/-6,748)",107545,"(+/-2,802)",113042,"(+/-6,052)",92946,"(+/-2,590)",97487,"(+/-2,856)",105733,"(+/-4,491)",109236,"(+/-2,297)",110233,"(+/-4,957)",129475,"(+/-7,375)",100754,"(+/-3,130)",124026,"(+/-6,003)",121489,"(+/-6,607)",113223,"(+/-5,977)",100907,"(+/-5,426)",129477,"(+/-6,363)",100986,"(+/-4,457)",116540,"(+/-4,547)",96190,"(+/-3,152)",88321,"(+/-4,104)",120666,"(+/-8,221)",115642,"(+/-6,487)",119532,"(+/-2,503)",121066,"(+/-6,146)",113352,"(+/-6,326)",91088,"(+/-3,488)",154512,"(+/-7,603)",93540,"(+/-4,329)"
People,"Sex and Age","35 to 44 years",85146,"(+/-2,984)",110100,"(+/-7,062)",133752,"(+/-2,278)",90757,"(+/-3,150)",99059,"(+/-4,549)",101541,"(+/-4,582)",119433,"(+/-7,363)",107770,"(+/-3,715)",112149,"(+/-6,338)",115666,"(+/-6,424)",83621,"(+/-2,641)",104476,"(+/-5,299)",87996,"(+/-2,522)",101154,"(+/-2,873)",100046,"(+/-4,253)",93508,"(+/-2,413)",91997,"(+/-3,385)",107751,"(+/-6,580)",83034,"(+/-2,590)",107003,"(+/-5,423)",97519,"(+/-5,346)",132673,"(+/-5,903)",95980,"(+/-5,065)",116679,"(+/-5,399)",108204,"(+/-4,906)",127837,"(+/-4,036)",90619,"(+/-2,712)",98572,"(+/-4,431)",101087,"(+/-7,089)",103278,"(+/-5,122)",120005,"(+/-1,964)",101329,"(+/-5,279)",102052,"(+/-5,618)",86841,"(+/-3,316)",112592,"(+/-6,452)",94209,"(+/-4,678)"
