Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,"Sex and Age","Total population",740397,"(+/-4,660)",750207,"(+/-8,508)",743301,"(+/-7,797)",762014,"(+/-10,213)"
People,"Sex and Age",Male,371546,"(+/-3,362)",378030,"(+/-5,854)",374233,"(+/-5,078)",382574,"(+/-6,831)"
People,"Sex and Age",Female,368851,"(+/-3,205)",372177,"(+/-6,124)",369068,"(+/-4,893)",379440,"(+/-6,436)"
People,"Sex and Age","Under 5 years",62145,"(+/-1,787)",54590,"(+/-3,694)",64058,"(+/-2,614)",69176,"(+/-3,495)"
People,"Sex and Age","5 to 9 years",67167,"(+/-2,906)",59978,"(+/-3,482)",64518,"(+/-3,250)",69679,"(+/-3,481)"
People,"Sex and Age","10 to 14 years",66204,"(+/-2,733)",58451,"(+/-3,244)",66158,"(+/-3,127)",65422,"(+/-4,018)"
People,"Sex and Age","15 to 19 years",57161,"(+/-2,033)",57426,"(+/-3,105)",67257,"(+/-2,522)",53358,"(+/-3,243)"
People,"Sex and Age","20 to 24 years",61290,"(+/-2,111)",56954,"(+/-3,405)",82571,"(+/-2,998)",50407,"(+/-3,525)"
People,"Sex and Age","25 to 34 years",107641,"(+/-2,585)",113266,"(+/-3,954)",98893,"(+/-2,849)",120706,"(+/-3,926)"
People,"Sex and Age","35 to 44 years",99257,"(+/-2,299)",96667,"(+/-3,058)",90946,"(+/-2,650)",115386,"(+/-3,401)"
People,"Sex and Age","45 to 54 years",76403,"(+/-2,067)",77082,"(+/-3,214)",74089,"(+/-2,539)",80165,"(+/-3,167)"
People,"Sex and Age","55 to 59 years",36213,"(+/-1,939)",38161,"(+/-2,426)",34376,"(+/-2,232)",35794,"(+/-2,615)"
People,"Sex and Age","60 to 64 years",35070,"(+/-2,050)",39721,"(+/-2,570)",30063,"(+/-2,301)",34208,"(+/-2,725)"
People,"Sex and Age","65 to 74 years",42104,"(+/-1,343)",57356,"(+/-2,452)",42349,"(+/-1,914)",38924,"(+/-2,342)"
People,"Sex and Age","75 to 84 years",21451,"(+/-1,546)",30479,"(+/-1,869)",20353,"(+/-1,458)",20389,"(+/-1,759)"
People,"Sex and Age","85 years and over",8291,"(+/-1,324)",10076,"(+/-1,276)",7670,(+/-862),8400,"(+/-1,329)"
People,"Sex and Age","Median age (years)",30.3,(+/-0.3),32.7,(+/-0.5),27.5,(+/-0.4),31.2,(+/-0.5)
People,"Sex and Age","18 years and over",509204,"(+/-3,516)",541771,"(+/-6,077)",508816,"(+/-5,883)",523795,"(+/-7,534)"
People,"Sex and Age","65 years and over",71846,"(+/-1,633)",97911,"(+/-3,248)",70372,"(+/-2,307)",67713,"(+/-2,931)"
People,Race,"Total population",740397,"(+/-4,660)",750207,"(+/-8,508)",743301,"(+/-7,797)",762014,"(+/-10,213)"
People,Race,"One race",718423,"(+/-5,775)",729413,"(+/-9,067)",721043,"(+/-8,200)",740803,"(+/-9,978)"
People,Race,White,663032,"(+/-7,239)",628272,"(+/-9,348)",672818,"(+/-8,885)",647218,"(+/-9,623)"
People,Race,"Black or African American",7703,"(+/-1,562)",9106,"(+/-2,374)",4282,"(+/-1,377)",13433,"(+/-2,784)"
People,Race,"American Indian and Alaska Native",7885,"(+/-1,053)",8903,"(+/-2,507)",12657,"(+/-1,383)",5962,"(+/-1,545)"
People,Race,Asian,10237,"(+/-1,598)",22020,"(+/-3,334)",15507,"(+/-2,339)",21181,"(+/-3,009)"
People,Race,"Native Hawaiian and Other Pacific Islander",1997,(+/-927),8333,"(+/-2,645)",4757,"(+/-1,994)",8799,"(+/-2,851)"
People,Race,"Some other race",27569,"(+/-5,087)",52779,"(+/-7,580)",11022,"(+/-3,618)",44210,"(+/-5,971)"
People,Race,"Two or more races",21974,"(+/-3,096)",20794,"(+/-3,577)",22258,"(+/-3,542)",21211,"(+/-3,828)"
People,"Hispanic or Latino and Race","Total population",740397,"(+/-4,660)",750207,"(+/-8,508)",743301,"(+/-7,797)",762014,"(+/-10,213)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",95596,"(+/-2,433)",114689,"(+/-6,873)",76186,"(+/-4,330)",122839,"(+/-7,888)"
