Topic,Subject,Title,District 01 Value,District (At Large) MOE,,,,
People,Sex and Age,Total population,626042,(*****),,,,
People,Sex and Age,Male,308552,(+/-1,074),,,
People,Sex and Age,Female,317490,(+/-1,074),,,
People,Sex and Age,Under 5 years,30172,(+/-631),,,,
People,Sex and Age,5 to 9 years,32235,(+/-1,714),,,
People,Sex and Age,10 to 14 years,34511,(+/-1,771),,,
People,Sex and Age,15 to 19 years,44439,(+/-1,265),,,
People,Sex and Age,20 to 24 years,46031,(+/-1,008),,,
People,Sex and Age,25 to 34 years,70733,(+/-1,099),,,
People,Sex and Age,35 to 44 years,69851,(+/-735),,,,
People,Sex and Age,45 to 54 years,90388,(+/-868),,,,
People,Sex and Age,55 to 59 years,49471,(+/-2,421),,,
People,Sex and Age,60 to 64 years,48127,(+/-2,358),,,
People,Sex and Age,65 to 74 years,64715,(+/-438),,,,
People,Sex and Age,75 to 84 years,30750,(+/-1,406),,,
People,Sex and Age,85 years and over,14619,(+/-1,306),,,
People,Sex and Age,Median age (years),43.1,(+/-0.3),,,,
People,Sex and Age,18 years and over,505882,(+/-793),,,,
People,Sex and Age,65 years and over,110084,(+/-647),,,,
People,Race,Total population,626042,(*****),,,,
People,Race,One race,614893,(+/-1,344),,,
People,Race,White,593056,(+/-1,306),,,
People,Race,Black or African American,7996,(+/-907),,,,
People,Race,American Indian and Alaska Native,2698,(+/-709),,,,
People,Race,Asian,8627,(+/-883),,,,
People,Race,Native Hawaiian and Other Pacific Islander,387,(+/-368),,,,
People,Race,Some other race,2129,(+/-1,066),,,
People,Race,Two or more races,11149,(+/-1,344),,,
People,Hispanic or Latino and Race,Total population,626042,(*****),,,,
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),10422,(+/-634),,,,
People,Hispanic or Latino and Race,Mexican,2783,(+/-692),,,,
People,Hispanic or Latino and Race,Puerto Rican,1956,(+/-864),,,,
People,Hispanic or Latino and Race,Cuban,738,(+/-527),,,,
People,Hispanic or Latino and Race,Other Hispanic or Latino,4945,(+/-974),,,,
People,Hispanic or Latino and Race,Not Hispanic or Latino,615620,(+/-634),,,,
People,Place of Birth,Total population,626042,(*****),,,,
People,Place of Birth,Native,597795,(+/-3,170),,,
People,Place of Birth,Born in United States,590845,(+/-3,063),,,
People,Place of Birth,State of residence,312337,(+/-6,121),,,
People,Place of Birth,Different state,278508,(+/-6,125),,,
People,Place of Birth,Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s),6950,(+/-1,177),
People,Place of Birth,Foreign born,28247,(+/-3,170),,,
People,Ancestry,Total population,626042,(*****),,,,
People,Ancestry,American,46686,(+/-3,932),,,
People,Ancestry,Arab,4658,(+/-2,139),,,
People,Ancestry,Czech,1430,(+/-478),,,,
People,Ancestry,Danish,2517,(+/-925),,,,
People,Ancestry,Dutch,8010,(+/-1,411),,,
People,Ancestry,English,102973,(+/-5,499),,,
People,Ancestry,French (except Basque),77817,(+/-5,311),,,
People,Ancestry,French Canadian,51399,(+/-3,730),,,
People,Ancestry,German,65863,(+/-4,667),,,
People,Ancestry,Greek,3883,(+/-1,081),,,
People,Ancestry,Hungarian,3069,(+/-927),,,,
People,Ancestry,Irish,112304,(+/-5,350),,,
People,Ancestry,Italian,49675,(+/-3,743),,,
People,Ancestry,Lithuanian,1735,(+/-430),,,,
People,Ancestry,Norwegian,4445,(+/-901),,,,
People,Ancestry,Polish,21666,(+/-2,348),,,
People,Ancestry,Portuguese,3013,(+/-965),,,,
People,Ancestry,Russian,6442,(+/-1,135),,,
People,Ancestry,Scotch-Irish,7378,(+/-1,370),,,
People,Ancestry,Scottish,29338,(+/-2,852),,,
People,Ancestry,Slovak,805,(+/-324),,,,
People,Ancestry,Subsaharan African,2898,(+/-863),,,,
People,Ancestry,Swedish,8595,(+/-1,496),,,
People,Ancestry,Swiss,1375,(+/-453),,,,
People,Ancestry,Ukrainian,2510,(+/-950),,,,
People,Ancestry,Welsh,7927,(+/-1,584),,,
People,Ancestry,West Indian (excluding Hispanic origin groups),1033,(+/-503),,,,
People,Veteran Status,Civilian population 18 years and over,505626,(+/-806),,,,
People,Veteran Status,Civilian veterans,40244,(+/-2,528),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,620107,(+/-172),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,91849,(+/-3,856),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,119828,(+/-794),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,8381,(+/-1,559),,,
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,393856,(+/-1,012),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,47744,(+/-2,708),,,
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,106423,(+/-653),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,35724,(+/-1,922),,,
People,Residence 1 Year Ago,Population 1 year and over,619952,(+/-781),,,,
People,Residence 1 Year Ago,Same house,532319,(+/-5,199),,,
People,Residence 1 Year Ago,Different house in the U.S.,83299,(+/-5,168),,,
People,Residence 1 Year Ago,Same county,47340,(+/-4,334),,,
People,Residence 1 Year Ago,Different county,35959,(+/-3,178),,,
People,Residence 1 Year Ago,Same state,14727,(+/-2,160),,,
People,Residence 1 Year Ago,Different state,21232,(+/-2,519),,,
People,Residence 1 Year Ago,Abroad,4334,(+/-1,885),,,
Workers,Employment Status,Population 16 years and over,521616,(+/-1,142),,,
Workers,Employment Status,In labor force,340945,(+/-3,400),,,
Workers,Employment Status,Civilian labor force,340689,(+/-3,379),,,
Workers,Employment Status,Employed,327841,(+/-3,836),,,
Workers,Employment Status,Unemployed,12848,(+/-1,899),,,
Workers,Employment Status,Armed Forces,256,(+/-172),,,,
Workers,Employment Status,Not in labor force,180671,(+/-3,432),,,
Workers,Employment Status,Civilian labor force,340689,(+/-3,379),,,
Workers,Employment Status,Unemployment Rate,3.8,(+/-0.6),,,,
Workers,Commuting to Work,Workers 16 years and over,320350,(+/-4,069),,,
Workers,Commuting to Work,Car, truck, or van -- drove alone,246467,(+/-4,219),
Workers,Commuting to Work,Car, truck, or van -- carpooled,26263,(+/-2,394),
Workers,Commuting to Work,Public transportation (excluding taxicab),4073,(+/-795),,,,
Workers,Commuting to Work,Walked,18611,(+/-1,945),,,
Workers,Commuting to Work,Other means,5368,(+/-981),,,,
Workers,Commuting to Work,Worked at home,19568,(+/-1,772),,,
Workers,Commuting to Work,Mean travel time to work (minutes),23,(+/-0.5),,,,
Workers,Occupation,Civilian employed population 16 years and over,327841,(+/-3,836),,,
Workers,Occupation,Management, business, science, and arts occupations,134584,(+/-4,179)
Workers,Occupation,Service occupations,56149,(+/-3,291),,,
Workers,Occupation,Sales and office occupations,69982,(+/-3,176),,,
Workers,Occupation,Natural resources, construction, and maintenance occupations,30920,(+/-2,106),
Workers,Occupation,Production, transportation, and material moving occupations,36206,(+/-2,347),
Workers,Industry,Civilian employed population 16 years and over,327841,(+/-3,836),,,
Workers,Industry,Agriculture, forestry, fishing and hunting, and mining,7978,(+/-1,153)
Workers,Industry,Construction,23105,(+/-1,825),,,
Workers,Industry,Manufacturing,35990,(+/-2,532),,,
Workers,Industry,Wholesale trade,7070,(+/-1,037),,,
Workers,Industry,Retail trade,37554,(+/-2,781),,,
Workers,Industry,Transportation and warehousing, and utilities,11140,(+/-1,589),,
Workers,Industry,Information,7587,(+/-1,103),,,
Workers,Industry,Finance and insurance, and real estate and rental and leasing,15579,(+/-1,571),,
Workers,Industry,Professional, scientific, and management, and administrative and waste management services,28190,(+/-2,267)
Workers,Industry,Educational services, and health care and social assistance,92695,(+/-3,573),,
Workers,Industry,Arts, entertainment, and recreation, and accommodation and food services,31142,(+/-2,254)
Workers,Industry,Other services, except public administration,14035,(+/-1,484),,
Workers,Industry,Public administration,15776,(+/-1,505),,,
Workers,Class of Worker,Civilian employed population 16 years and over,327841,(+/-3,836),,,
Workers,Class of Worker,Private wage and salary workers,254162,(+/-4,785),,,
Workers,Class of Worker,Government workers,44849,(+/-3,079),,,
Workers,Class of Worker,Self-employed in own not incorporated business workers,28277,(+/-2,142),,,
Workers,Class of Worker,Unpaid family workers,553,(+/-201),,,,
Housing,Housing Occupancy,Total housing units,326874,(+/-110),,,,
Housing,Housing Occupancy,Occupied housing units,254865,(+/-3,016),,,
Housing,Housing Occupancy,Vacant housing units,72009,(+/-3,008),,,
Housing,Housing Occupancy,Homeowner vacancy rate,2,(+/-0.5),,,,
Housing,Housing Occupancy,Rental vacancy rate,4.1,(+/-1.0),,,,
Housing,Housing Tenure,Occupied housing units,254865,(+/-3,016),,,
Housing,Housing Tenure,Owner-occupied,180212,(+/-3,547),,,
Housing,Housing Tenure,Renter-occupied,74653,(+/-3,011),,,
Housing,Housing Tenure,Average household size of owner-occupied unit,2.44,(+/-0.04),,,,
Housing,Housing Tenure,Average household size of renter-occupied unit,2.16,(+/-0.08),,,,
Housing,Year Householder Moved into Unit,Occupied housing units,254865,(+/-3,016),,,
Housing,Year Householder Moved into Unit,Moved in 2015 or later,15417,(+/-1,784),,,
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,72929,(+/-3,403),,,
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,73900,(+/-3,207),,,
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,41384,(+/-2,229),,,
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,27578,(+/-1,790),,,
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,23657,(+/-1,701),,,
Housing,Value,Owner-occupied units,180212,(+/-3,547),,,
Housing,Value,Less than $50,0,7411,(+/-1,188),,
Housing,Value,$50,000 to $99,999,13448,(+/-1,549),
Housing,Value,$100,000 to $149,999,22279,(+/-1,940),
Housing,Value,$150,000 to $199,999,33477,(+/-1,842),
Housing,Value,$200,000 to $299,999,52652,(+/-2,512),
Housing,Value,$300,000 to $499,999,36548,(+/-2,046),
Housing,Value,$500,000 to $999,999,11852,(+/-1,284),
Housing,Value,$1,0,000 or more,2545,(+/-568),,
Housing,Value,Median (dollars),223700,(+/-4,508),,,
Housing,Mortgage Status,Owner-occupied units,180212,(+/-3,547),,,
Housing,Mortgage Status,Housing units with a mortgage,113269,(+/-3,236),,,
Housing,Mortgage Status,Housing units without a mortgage,66943,(+/-2,541),,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,113269,(+/-3,236),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,775,(+/-281),,,,
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,16516,(+/-1,610),,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 to $1,499,37169,(+/-2,494),
Housing,Selected Monthly Owner Costs(SMOC),$1,500 to $1,999,30910,(+/-2,127),
Housing,Selected Monthly Owner Costs(SMOC),$2,000 to $2,499,14755,(+/-1,382),
Housing,Selected Monthly Owner Costs(SMOC),$2,500 to $2,999,7115,(+/-1,093),
Housing,Selected Monthly Owner Costs(SMOC),$3,000 or more,6029,(+/-827),,,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1530,(+/-30),,,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,66943,(+/-2,541),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,2893,(+/-680),,,,
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,6681,(+/-883),,,,
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,18496,(+/-1,430),,,
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,17803,(+/-1,397),,,
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,9437,(+/-1,187),,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 or more,11633,(+/-1,168),,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),653,(+/-14),,,,
Housing,Gross Rent,Occupied units paying rent,69352,(+/-3,084),,,
Housing,Gross Rent,Less than $500,9817,(+/-1,196),,,
Housing,Gross Rent,$500 to $999,30290,(+/-2,497),,,
Housing,Gross Rent,$1,000 to $1,499,20310,(+/-1,680),
Housing,Gross Rent,$1,500 to $1,999,7142,(+/-1,200),
Housing,Gross Rent,$2,000 to $2,499,1377,(+/-606),,
Housing,Gross Rent,$2,500 to $2,999,383,(+/-263),,
Housing,Gross Rent,$3,000 or more,33,(+/-56),,,
Housing,Gross Rent,Median (dollars),923,(+/-22),,,,
Housing,Gross Rent,No rent paid,5301,(+/-1,080),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Total households,254865,(+/-3,016),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Less than $10,0,12426,(+/-1,450),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$10,000 to $14,999,13462,(+/-1,651),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$15,000 to $24,999,28053,(+/-2,141),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$25,000 to $34,999,23358,(+/-2,210),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$35,000 to $49,999,33454,(+/-2,003),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$50,000 to $74,999,49222,(+/-2,584),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$75,000 to $99,999,36269,(+/-1,875),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$100,000 to $149,999,35844,(+/-1,647),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$150,000 to $199,0,11978,(+/-1,276),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$200,000 or more,10799,(+/-1,243),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Median household income (dollars),56990,(+/-1,325),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Mean household income (dollars),74502,(+/-1,869),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,620107,(+/-172),,,,
Socioeconomic,Health Insurance Coverage,With health insurance coverage,596431,(+/-2,309),,,
Socioeconomic,Health Insurance Coverage,With private health insurance,424380,(+/-6,896),,,
Socioeconomic,Health Insurance Coverage,With public coverage,261328,(+/-6,413),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,23676,(+/-2,318),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,119828,(+/-794),,,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,1251,(+/-504),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All families,5.8,(+/-0.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,11,(+/-1.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,9.6,(+/-4.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,2.8,(+/-0.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,3.9,(+/-1.5),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,1.9,(+/-1.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Families with female householder, no husband present,22.6,(+/-4.2),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,32.8,(+/-5.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,47.1,(+/-16.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All people,10.2,(+/-0.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,13.3,(+/-2.3),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,12.4,(+/-2.3),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,15.5,(+/-4.1),,,,
