Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE"
People,"Sex and Age","Total population",614959,"(+/-3,378)",628879,"(+/-3,227)",600290,"(+/-1,124)"
People,"Sex and Age",Male,305206,"(+/-2,731)",310050,"(+/-2,628)",293303,"(+/-1,653)"
People,"Sex and Age",Female,309753,"(+/-2,325)",318829,"(+/-2,471)",306987,"(+/-1,687)"
People,"Sex and Age","Under 5 years",31016,"(+/-1,129)",36858,"(+/-1,606)",34080,(+/-884)
People,"Sex and Age","5 to 9 years",32756,"(+/-1,958)",36736,"(+/-2,626)",33730,"(+/-2,617)"
People,"Sex and Age","10 to 14 years",33899,"(+/-2,149)",37546,"(+/-2,284)",35628,"(+/-2,510)"
People,"Sex and Age","15 to 19 years",39587,"(+/-1,512)",39839,"(+/-1,886)",35399,"(+/-1,647)"
People,"Sex and Age","20 to 24 years",47811,"(+/-2,056)",33334,"(+/-1,926)",35562,"(+/-1,514)"
People,"Sex and Age","25 to 34 years",75369,"(+/-1,851)",75581,"(+/-1,974)",66924,"(+/-1,585)"
People,"Sex and Age","35 to 44 years",75108,"(+/-1,663)",79146,"(+/-2,210)",76190,"(+/-1,544)"
People,"Sex and Age","45 to 54 years",81608,"(+/-1,434)",85956,"(+/-1,864)",79026,"(+/-1,397)"
People,"Sex and Age","55 to 59 years",41993,"(+/-2,790)",46431,"(+/-2,662)",43875,"(+/-2,598)"
People,"Sex and Age","60 to 64 years",45078,"(+/-2,493)",45857,"(+/-2,702)",45844,"(+/-2,399)"
People,"Sex and Age","65 to 74 years",64227,"(+/-1,177)",66317,"(+/-1,367)",67001,"(+/-1,267)"
People,"Sex and Age","75 to 84 years",31662,"(+/-1,738)",32716,"(+/-1,651)",33617,"(+/-1,800)"
People,"Sex and Age","85 years and over",14845,"(+/-1,441)",12562,"(+/-1,594)",13414,"(+/-1,737)"
People,"Sex and Age","Median age (years)",41.4,(+/-0.6),42.3,(+/-0.4),42.8,(+/-0.2)
People,"Sex and Age","18 years and over",496498,"(+/-3,000)",492664,"(+/-3,143)",475519,"(+/-1,283)"
People,"Sex and Age","65 years and over",110734,"(+/-1,398)",111595,"(+/-1,957)",114032,"(+/-1,611)"
People,Race,"Total population",614959,"(+/-3,378)",628879,"(+/-3,227)",600290,"(+/-1,124)"
People,Race,"One race",603741,"(+/-3,734)",616608,"(+/-3,993)",594318,"(+/-1,583)"
People,Race,White,581309,"(+/-3,833)",578129,"(+/-4,144)",563409,"(+/-1,700)"
People,Race,"Black or African American",14815,"(+/-1,895)",31010,"(+/-2,873)",25369,"(+/-1,634)"
People,Race,"American Indian and Alaska Native",416,(+/-359),485,(+/-304),1239,(+/-695)
People,Race,Asian,5892,"(+/-1,072)",5042,(+/-749),3203,(+/-408)
