Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE"
People,"Sex and Age","Total population",714073,"(+/-5,062)",750045,"(+/-1,637)",719264,"(+/-3,329)",716998,"(+/-2,790)",723853,"(+/-4,209)",710564,"(+/-2,340)",709049,"(+/-3,222)",727491,"(+/-1,496)"
People,"Sex and Age",Male,356076,"(+/-3,742)",371269,"(+/-1,650)",360738,"(+/-2,404)",342816,"(+/-2,776)",357190,"(+/-3,676)",355879,"(+/-2,408)",359556,"(+/-2,300)",364773,"(+/-1,427)"
People,"Sex and Age",Female,357997,"(+/-4,170)",378776,"(+/-1,632)",358526,"(+/-2,518)",374182,"(+/-3,235)",366663,"(+/-3,609)",354685,"(+/-2,375)",349493,"(+/-2,255)",362718,"(+/-1,471)"
People,"Sex and Age","Under 5 years",40992,"(+/-1,842)",44554,(+/-849),39799,"(+/-1,071)",52050,"(+/-1,815)",41159,"(+/-2,106)",36913,"(+/-1,152)",38256,"(+/-1,006)",43120,(+/-842)
People,"Sex and Age","5 to 9 years",43021,"(+/-2,715)",47789,"(+/-2,507)",43506,"(+/-1,981)",49841,"(+/-2,524)",45886,"(+/-2,720)",42180,"(+/-2,179)",45451,"(+/-1,803)",48627,"(+/-2,458)"
People,"Sex and Age","10 to 14 years",48624,"(+/-2,751)",44002,"(+/-2,535)",43231,"(+/-1,841)",49656,"(+/-2,513)",45683,"(+/-2,537)",43958,"(+/-2,097)",42850,"(+/-1,620)",46302,"(+/-2,191)"
People,"Sex and Age","15 to 19 years",44983,"(+/-1,941)",49919,"(+/-1,683)",51944,"(+/-1,219)",52874,"(+/-1,418)",44619,"(+/-1,990)",47532,"(+/-1,518)",40498,"(+/-1,121)",45821,"(+/-1,188)"
People,"Sex and Age","20 to 24 years",42661,"(+/-2,234)",69006,"(+/-1,579)",67070,"(+/-1,552)",57680,"(+/-1,512)",43908,"(+/-2,229)",46332,"(+/-1,220)",36229,"(+/-1,212)",43814,"(+/-1,438)"
People,"Sex and Age","25 to 34 years",83778,"(+/-2,773)",105730,"(+/-1,458)",84946,"(+/-1,696)",117750,"(+/-2,793)",87382,"(+/-2,797)",82794,"(+/-1,692)",74862,"(+/-1,583)",88214,"(+/-1,664)"
People,"Sex and Age","35 to 44 years",86929,"(+/-2,597)",95325,"(+/-1,358)",78400,"(+/-1,407)",90180,"(+/-2,408)",90158,"(+/-2,830)",84795,"(+/-2,058)",80985,"(+/-1,515)",89923,"(+/-1,405)"
