Topic,Subject,Title,District 01 Value,District (At Large) MOE,,,,
People,Sex and Age,Total population,586107,(*****),,,,
People,Sex and Age,Male,295102,(+/-2,375),,,
People,Sex and Age,Female,291005,(+/-2,375),,,
People,Sex and Age,Under 5 years,38150,(+/-1,505),,,
People,Sex and Age,5 to 9 years,39510,(+/-2,764),,,
People,Sex and Age,10 to 14 years,40390,(+/-2,516),,,
People,Sex and Age,15 to 19 years,39994,(+/-2,136),,,
People,Sex and Age,20 to 24 years,39316,(+/-1,809),,,
People,Sex and Age,25 to 34 years,82440,(+/-2,821),,,
People,Sex and Age,35 to 44 years,72140,(+/-2,541),,,
People,Sex and Age,45 to 54 years,69973,(+/-1,686),,,
People,Sex and Age,55 to 59 years,43484,(+/-2,378),,,
People,Sex and Age,60 to 64 years,38163,(+/-2,297),,,
People,Sex and Age,65 to 74 years,49573,(+/-900),,,,
People,Sex and Age,75 to 84 years,23295,(+/-1,249),,,
People,Sex and Age,85 years and over,9679,(+/-1,234),,,
People,Sex and Age,Median age (years),36.5,(+/-0.5),,,,
People,Sex and Age,18 years and over,446607,(+/-2,469),,,
People,Sex and Age,65 years and over,82547,(+/-915),,,,
People,Race,Total population,586107,(*****),,,,
People,Race,One race,569772,(+/-2,133),,,
People,Race,White,536320,(+/-3,624),,,
People,Race,Black or African American,4727,(+/-1,391),,,
People,Race,American Indian and Alaska Native,12968,(+/-1,357),,,
People,Race,Asian,4885,(+/-993),,,,
People,Race,Native Hawaiian and Other Pacific Islander,260,(+/-223),,,,
People,Race,Some other race,10612,(+/-3,081),,,
People,Race,Two or more races,16335,(+/-2,133),,,
People,Hispanic or Latino and Race,Total population,586107,(*****),,,,
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),57845,(+/-1,129),,,
People,Hispanic or Latino and Race,Mexican,44025,(+/-3,651),,,
People,Hispanic or Latino and Race,Puerto Rican,1045,(+/-789),,,,
People,Hispanic or Latino and Race,Cuban,78,(+/-96),,,,
People,Hispanic or Latino and Race,Other Hispanic or Latino,12697,(+/-3,478),,,
People,Hispanic or Latino and Race,Not Hispanic or Latino,528262,(+/-1,129),,,
People,Place of Birth,Total population,586107,(*****),,,,
People,Place of Birth,Native,564108,(+/-3,551),,,
People,Place of Birth,Born in United States,560039,(+/-3,736),,,
People,Place of Birth,State of residence,238260,(+/-7,979),,,
People,Place of Birth,Different state,321779,(+/-8,539),,,
People,Place of Birth,Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s),4069,(+/-1,019),
People,Place of Birth,Foreign born,21999,(+/-3,551),,,
People,Ancestry,Total population,586107,(*****),,,,
People,Ancestry,American,28960,(+/-4,117),,,
People,Ancestry,Arab,556,(+/-459),,,,
People,Ancestry,Czech,2975,(+/-955),,,,
People,Ancestry,Danish,7699,(+/-1,564),,,
People,Ancestry,Dutch,7753,(+/-1,631),,,
People,Ancestry,English,72595,(+/-5,792),,,
People,Ancestry,French (except Basque),14899,(+/-2,382),,,
People,Ancestry,French Canadian,4341,(+/-1,567),,,
People,Ancestry,German,134117,(+/-6,172),,,
People,Ancestry,Greek,1889,(+/-836),,,,
People,Ancestry,Hungarian,1151,(+/-541),,,,
People,Ancestry,Irish,63443,(+/-5,090),,,
People,Ancestry,Italian,16313,(+/-2,356),,,
People,Ancestry,Lithuanian,875,(+/-676),,,,
People,Ancestry,Norwegian,23926,(+/-2,878),,,
People,Ancestry,Polish,11576,(+/-2,141),,,
People,Ancestry,Portuguese,495,(+/-352),,,,
People,Ancestry,Russian,3851,(+/-969),,,,
People,Ancestry,Scotch-Irish,6373,(+/-1,355),,,
People,Ancestry,Scottish,16270,(+/-2,028),,,
People,Ancestry,Slovak,252,(+/-184),,,,
People,Ancestry,Subsaharan African,2571,(+/-1,268),,,
People,Ancestry,Swedish,16212,(+/-2,406),,,
People,Ancestry,Swiss,2810,(+/-937),,,,
People,Ancestry,Ukrainian,1235,(+/-711),,,,
People,Ancestry,Welsh,6459,(+/-1,392),,,
People,Ancestry,West Indian (excluding Hispanic origin groups),349,(+/-506),,,,
People,Veteran Status,Civilian population 18 years and over,444435,(+/-2,671),,,
People,Veteran Status,Civilian veterans,45534,(+/-3,001),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,576557,(+/-733),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,71386,(+/-4,546),,,
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,138953,(+/-2,462),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,4638,(+/-1,252),,,
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,357200,(+/-2,837),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,37643,(+/-3,817),,,
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,80404,(+/-927),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,29105,(+/-2,180),,,
People,Residence 1 Year Ago,Population 1 year and over,579102,(+/-1,256),,,
People,Residence 1 Year Ago,Same house,474927,(+/-7,256),,,
People,Residence 1 Year Ago,Different house in the U.S.,101331,(+/-7,263),,,
People,Residence 1 Year Ago,Same county,48368,(+/-5,834),,,
People,Residence 1 Year Ago,Different county,52963,(+/-5,368),,,
People,Residence 1 Year Ago,Same state,17016,(+/-2,927),,,
People,Residence 1 Year Ago,Different state,35947,(+/-4,840),,,
People,Residence 1 Year Ago,Abroad,2844,(+/-1,277),,,
Workers,Employment Status,Population 16 years and over,460730,(+/-2,967),,,
Workers,Employment Status,In labor force,312541,(+/-5,457),,,
Workers,Employment Status,Civilian labor force,310369,(+/-5,577),,,
Workers,Employment Status,Employed,295328,(+/-5,477),,,
Workers,Employment Status,Unemployed,15041,(+/-2,490),,,
Workers,Employment Status,Armed Forces,2172,(+/-744),,,,
Workers,Employment Status,Not in labor force,148189,(+/-5,084),,,
Workers,Employment Status,Civilian labor force,310369,(+/-5,577),,,
Workers,Employment Status,Unemployment Rate,4.8,(+/-0.8),,,,
Workers,Commuting to Work,Workers 16 years and over,289163,(+/-5,043),,,
Workers,Commuting to Work,Car, truck, or van -- drove alone,223552,(+/-5,346),
Workers,Commuting to Work,Car, truck, or van -- carpooled,28959,(+/-2,606),
Workers,Commuting to Work,Public transportation (excluding taxicab),6353,(+/-1,529),,,
Workers,Commuting to Work,Walked,13285,(+/-2,324),,,
Workers,Commuting to Work,Other means,4878,(+/-1,141),,,
Workers,Commuting to Work,Worked at home,12136,(+/-2,070),,,
Workers,Commuting to Work,Mean travel time to work (minutes),19,(+/-0.9),,,,
Workers,Occupation,Civilian employed population 16 years and over,295328,(+/-5,477),,,
Workers,Occupation,Management, business, science, and arts occupations,92923,(+/-4,102)
Workers,Occupation,Service occupations,51440,(+/-4,260),,,
Workers,Occupation,Sales and office occupations,65246,(+/-3,879),,,
Workers,Occupation,Natural resources, construction, and maintenance occupations,46782,(+/-3,391),
Workers,Occupation,Production, transportation, and material moving occupations,38937,(+/-3,441),
Workers,Industry,Civilian employed population 16 years and over,295328,(+/-5,477),,,
Workers,Industry,Agriculture, forestry, fishing and hunting, and mining,38111,(+/-3,784)
Workers,Industry,Construction,21473,(+/-2,281),,,
Workers,Industry,Manufacturing,12181,(+/-1,833),,,
Workers,Industry,Wholesale trade,5422,(+/-1,156),,,
Workers,Industry,Retail trade,35044,(+/-3,714),,,
Workers,Industry,Transportation and warehousing, and utilities,16963,(+/-2,372),,
