County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Autauga,Autauga,2,"5,936","18,172","24,759",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Baldwin,Baldwin,1,"18,458","72,883","94,261",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Barbour,Barbour,2,"4,871","5,454","10,436",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bibb,Bibb,6,"1,874","6,738","8,753",,,,,,,,,,,,,,,,,,,,,
Bullock,Bullock,2,"3,530","1,140","4,702",,,,,,,,,,,,,,,,,,,,,
Butler,Butler,2,"3,726","4,901","8,705",,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,3,"13,242","32,865","47,485",,,,,,,,,,,,,,,,,,,,,
Chambers,Chambers,3,"5,784","7,843","13,839",,,,,,,,,,,,,,,,,,,,,
Chilton,Chilton,6,"2,911","15,081","18,272",,,,,,,,,,,,,,,,,,,,,
Choctaw,Choctaw,7,"3,109","4,106","7,273",,,,,,,,,,,,,,,,,,,,,
Clay,Clay,3,"1,237","5,245","6,591",,,,,,,,,,,,,,,,,,,,,
Cleburne,Cleburne,3,684,"5,764",6558,,,,,,,,,,,,,,,,,,,,,
Coffee,Coffee,2,"4,221","15,875","20,596",,,,,,,,,,,,,,,,,,,,,
Colbert,Colbert,4,"7,312","16,746","24,676",,,,,,,,,,,,,,,,,,,,,
Conecuh,Conecuh,2,"3,080","3,420","6,561",,,,,,,,,,,,,,,,,,,,,
Coosa,Coosa,6,"1,782","3,381","5,230",,,,,,,,,,,,,,,,,,,,,
Covington,Covington,2,"2,387","13,267","15,873",,,,,,,,,,,,,,,,,,,,,
Crenshaw,Crenshaw,2,"1,664","4,513","6,256",,,,,,,,,,,,,,,,,,,,,
Cullman,Cullman,4,"3,798","32,989","37,608",,,,,,,,,,,,,,,,,,,,,
Dale,Dale,2,"4,413","13,808","18,633",,,,,,,,,,,,,,,,,,,,,
Dallas,Dallas,7,"12,836","5,789","18,745",,,,,,,,,,,,,,,,,,,,,
DeKalb,DeKalb,4,"3,622","21,405","25,637",,,,,,,,,,,,,,,,,,,,,
