County,ShortName,CD,Clinton,Trump,Total,
Apache,Apache,1,"17,083",8240,27013,
Cochise,Cochise,2,"17,450","28,092",48929,
Coconino,Coconino,1,"32,404","21,108","57,904",
Graham,Graham,1,"3,301","8,025",11939,
Greenlee,Greenlee,1,"1,092","1,892",3243,
La Paz,LaPaz,4,"1,575","4,003",5862,
Navajo,Navajo,1,"16,459","20,577",39149,
Santa Cruz,SantaCruz,3,"11,690","3,897",16240,
,,,,,,
,Split Counties,,,,,
Gila (pt.),Gila,1,"3,731","3,824","7,957",402
Gila (pt.),Gila,4,"3,272","10,358","14,243",613
Maricopa (pt.),Maricopa,1,416,47,490,27
Maricopa (pt.),Maricopa,3,"37,715","28,308","69,773","3,750"
Maricopa (pt.),Maricopa,4,"5,817","13,724","20,469",928
Maricopa (pt.),Maricopa,5,"121,280","191,432","332,093","19,381"
Maricopa (pt.),Maricopa,6,"143,571","177,332","338,331","17,428"
Maricopa (pt.),Maricopa,7,"117,958","37,232","164,399","9,209"
Maricopa (pt.),Maricopa,8,"120,992","190,163","327,325","16,170"
Maricopa (pt.),Maricopa,9,"155,158","109,123","283,863","19,582"
Mohave (pt.),Mohave,1,222,63,299,14
Mohave (pt.),Mohave,4,"17,233","58,219","78,817","3,365"
Pima (pt.),Pima,1,"22,781","29,041","54,424","2,602"
Pima (pt.),Pima,2,"139,226","113,104","266,910","14,580"
Pima (pt.),Pima,3,"62,654","25,283","92,575","4,638"
Pinal (pt.),Pinal,1,"28,454","35,075","66,820","3,291"
Pinal (pt.),Pinal,3,111,5,117,1
Pinal (pt.),Pinal,4,"19,327","37,739","60,260","3,194"
Yavapai (pt.),Yavapai,1,"6,931","8,036","15,735",768
Yavapai (pt.),Yavapai,4,"28,659","63,294","96,769","4,816"
Yuma (pt.),Yuma,3,"18,296","10,459","30,229","1,474"
Yuma (pt.),Yuma,4,"6,309","14,706","22,063","1,048"
