County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Arkansas,Arkansas,1,1939,3826,6212,,,,,,,,,,,,,,,,,,,0,0,#REF!
Ashley,Ashley,4,2408,5338,8083,,,,,,,,,,,,,,,,,,,,,
Baxter,Baxter,1,4169,14682,19766,,,,,,,,,,,,,,,,,,,,,
Benton,Benton,3,28005,60871,96824,,,,,,,,,,,,,,,,,,,,,
Boone,Boone,3,2926,12235,16111,,,,,,,,,,,,,,,,,,,,,
Bradley,Bradley,4,1317,2164,3653,,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,4,639,1556,2269,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,3,3342,6786,10758,,,,,,,,,,,,,,,,,,,,,
Chicot,Chicot,1,2350,1716,4176,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,4,3620,4404,8526,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,1,1199,3781,5200,,,,,,,,,,,,,,,,,,,,,
Cleburne,Cleburne,1,2101,9458,12085,,,,,,,,,,,,,,,,,,,,,
Cleveland,Cleveland,4,723,2462,3354,,,,,,,,,,,,,,,,,,,,,
Columbia,Columbia,4,3140,5456,8887,,,,,,,,,,,,,,,,,,,,,
Conway,Conway,2,2656,4849,7927,,,,,,,,,,,,,,,,,,,,,
Craighead,Craighead,1,10538,22892,35573,,,,,,,,,,,,,,,,,,,,,
Crittenden,Crittenden,1,8410,6964,15952,,,,,,,,,,,,,,,,,,,,,
Cross,Cross,1,1999,4584,6874,,,,,,,,,,,,,,,,,,,,,
Dallas,Dallas,4,1165,1509,2771,,,,,,,,,,,,,,,,,,,,,
Desha,Desha,1,2228,1919,4257,,,,,,,,,,,,,,,,,,,,,
Drew,Drew,4,2365,3968,6595,,,,,,,,,,,,,,,,,,,,,
Faulkner,Faulkner,2,14629,29346,47527,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,4,1376,5039,6770,,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,1,1067,3471,4772,,,,,,,,,,,,,,,,,,,,,
Garland,Garland,4,12311,26087,40805,,,,,,,,,,,,,,,,,,,,,
Grant,Grant,4,1373,5725,7445,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,1,3071,10720,14600,,,,,,,,,,,,,,,,,,,,,
Hempstead,Hempstead,4,2377,4401,7049,,,,,,,,,,,,,,,,,,,,,
Hot Spring,HotSpring,4,3149,8172,11944,,,,,,,,,,,,,,,,,,,,,
Howard,Howard,4,1351,3157,4674,,,,,,,,,,,,,,,,,,,,,
Independence,Independence,1,2881,9936,13614,,,,,,,,,,,,,,,,,,,,,
Izard,Izard,1,1113,4042,5448,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,1,1583,3267,5156,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,4,2427,6091,9112,,,,,,,,,,,,,,,,,,,,,
Lafayette,Lafayette,4,1032,1758,2860,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,1,1263,4064,5685,,,,,,,,,,,,,,,,,,,,,
Lee,Lee,1,1735,1229,3026,,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,1,1252,2455,3826,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Little River,LittleRiver,4,1397,3605,5227,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
