County,ShortName,CD,Clinton,Trump,Total,
Alpine,Alpine,4,334,217,600,
Amador,Amador,4,"6,004","10,485",17575,
Butte,Butte,1,"41,567","45,144",94431,
Calaveras,Calaveras,4,"7,944","13,511",23039,
Colusa,Colusa,3,"2,661","3,551",6596,
Del Norte,DelNorte,2,"3,485","5,134",9361,
El Dorado,ElDorado,4,"36,404","49,247",92293,
Humboldt,Humboldt,2,"33,200","18,373",57796,
Imperial,Imperial,51,"32,667","12,704",47676,
Inyo,Inyo,8,"3,155","4,248",7996,
Kings,Kings,21,"13,617","18,093",33710,
Lassen,Lassen,1,"2,224","7,574",10422,
Marin,Marin,2,"108,707","21,771",138118,
Mariposa,Mariposa,4,"3,122","5,185",8877,
Mendocino,Mendocino,2,"22,079","10,888",36557,
Merced,Merced,16,"37,317","28,725",70115,
Modoc,Modoc,1,877,"2,696",3758,
Mono,Mono,8,"2,773","2,111",5271,
Monterey,Monterey,20,"89,088","34,895",132014,
Napa,Napa,5,"39,199","17,411",60630,
Plumas,Plumas,1,"3,459","5,420",9505,
San Benito,SanBenito,20,"12,521","7,841",21679,
San Luis Obispo,SanLuisObispo,24,"67,107","56,164",133017,
Santa Barbara,SantaBarbara,24,"107,142","56,365",174667,
Shasta,Shasta,1,"22,301","51,778",79090,
Sierra,Sierra,1,601,"1,048",1804,
Siskiyou,Siskiyou,1,"7,234","11,341",20113,
Stanislaus,Stanislaus,10,"81,647","78,494",170351,
Sutter,Sutter,3,"13,076","18,176",33269,
Tehama,Tehama,1,"6,809","15,494",23684,
Trinity,Trinity,2,"2,214","2,812",5588,
Tuolumne,Tuolumne,4,"9,123","14,551",25222,
Yuba,Yuba,3,"7,910","13,170",22749,
,,,,,,
,Split Counties,,,,,
Alameda (pt.),Alameda,13,"291,926","22,743","334,194",Alameda SOV
Alameda (pt.),Alameda,15,"176,777","59,419","251,174",Alameda SOV
Alameda (pt.),Alameda,17,"46,139","13,760","63,294",Alameda SOV
Contra Costa (pt.),ContraCosta,5,"29,345","8,532","40,055",Alameda SOV
Contra Costa (pt.),ContraCosta,9,"44,196",27166,"75,584",Contra Costa SOV
Contra Costa (pt.),ContraCosta,11,"223,559","70,869","312,568",Contra Costa SOV
Contra Costa (pt.),ContraCosta,15,"22,187","9,389","33,362",Contra Costa SOV
