County,Precinct,CD,Clinton,Trump,Total
Andover,Andover Town Hall,2,896,891,1908
Ansonia,Ward 1 Ansonia Armory,3,581,423,1055
Ansonia,Ward 2 Ansonia Armory,3,499,452,999
Ansonia,Ward 3 Holy Rosary Church,3,508,440,994
Ansonia,Ward 4 Ansonia Middle School,3,342,233,601
Ansonia,Ward 5 Ansonia Middle School,3,516,477,1044
Ansonia,Ward 6 Prendergast School,3,536,764,1354
Ansonia,Ward 7 Mead School,3,550,832,1427
Ashford,Knowlton Memorial Hall,2,1112,1042,2325
Avon,Avon High School - Gymnasium,5,2242,1850,4307
Avon,Firehouse Company #1,5,1660,1127,2912
Avon,Roaring Brook School,5,1773,1413,3348
Barkhamsted,Barkhamsted Elementary School,1,905,1157,2193
Beacon Falls,Laurel Ledge School,3,1146,2002,3328
Berlin,American Legion,1,1278,1400,2791
Berlin,Griswold School,1,1314,1745,3213
Berlin,Hubbard School,1,969,1257,2304
Berlin,Senior Center,1,717,1106,1901
Berlin,Willard School,1,635,702,1382
Bethany,Town Hall,3,1580,1646,3377
Bethel,Bethel Municipal Center 1,5,734,502,1293
Bethel,Bethel Municipal Center 4,5,1304,1082,2510
Bethel,Frank A. Berry School - 3,5,1517,1687,3381
Bethel,Frank A. Berry School - 5,5,181,229,435
Bethel,Stony Hill Fire House -2,5,1041,1075,2203
Bethlehem,Bethlehem Town Office Building,5,801,1405,2312
Bloomfield,Bloomfield High School,1,2002,360,2440
Bloomfield,Carmen Arace Middle School,1,1984,106,2113
Bloomfield,Laurel Elementary School,1,2401,320,2784
Bloomfield,Leisure Services Gym,1,1439,583,2113
Bloomfield,Metacomet Elementary School,1,1811,314,2177
Bolton,Town Hall,2,1385,1436,2990
Bozrah,Fields Memorial School,2,536,764,1389
Branford,Branford Fire Headquarters,3,1667,1163,2948
Branford,Community House,3,1588,1352,3052
Branford,Indian Neck School,3,1431,1092,2600
Branford,Mary T. Murphy School,3,1073,1051,2201
Branford,Orchard House,3,973,558,1598
Branford,St. Therese Church Hall,3,890,601,1527
Branford,Walsh Intermediate School,3,831,768,1657
Bridgeport,Barnum School,4,958,75,1051
Bridgeport,Bassick High School 130-1,4,1066,104,1183
Bridgeport,Bassick High School 130-2,4,647,71,729
Bridgeport,Beardsley School 124-1,4,316,60,384
Bridgeport,Beardsley School 126-1,4,229,36,275
Bridgeport,Black Rock School,4,1665,798,2583
Bridgeport,Blackham School,4,2958,1020,4089
Bridgeport,Cesar Batalla School,4,1411,228,1692
Bridgeport,City Hall,4,568,84,667
Bridgeport,Dunbar School,4,1891,103,2020
Bridgeport,Geraldine Johnson School,4,2110,222,2363
Bridgeport,Hallen School,4,1448,221,1706
Bridgeport,Harding High School,4,1677,193,1908
Bridgeport,John F. Kennedy Campus,4,1991,315,2348
Bridgeport,John Winthrop School,4,2105,937,3119
Bridgeport,Luis Munoz Marin School,4,1860,205,2105
Bridgeport,Madison School 129-2,4,1779,537,2381
Bridgeport,Madison School 129-3,4,749,131,892
Bridgeport,Park City Magnet School,4,1323,342,1718
Bridgeport,Read Middle School 126-4,4,582,117,713
Bridgeport,Read Middle School 127-2,4,156,36,197
Bridgeport,The Aquaculture Center,4,1073,145,1240
Bridgeport,Thomas Hooker School,4,1597,462,2120
Bridgeport,Wilbur Cross School,4,1876,154,2066
Bridgewater,Bridgewater Senior Center,5,518,571,1139
Bristol,Bristol Eastern High School,1,806,817,1704
Bristol,Bristol Elks Club,1,1462,1052,2628
Bristol,Chippens Hill Middle School,1,1220,1580,2923
Bristol,Edgewood School,1,1512,1500,3148
Bristol,Greene-Hills School,1,1764,1705,3619
Bristol,Mountain View School,1,1492,1406,3036
Bristol,Northeast School,1,1531,1741,3409
Bristol,Southside School,1,1550,1463,3182
Bristol,West Bristol School,1,1162,1488,2772
Brookfield,Brookfield High School,5,2640,2988,5866
Brookfield,Huckleberry Hill School,5,1576,1985,3705
Brooklyn,Brooklyn Middle School,2,1462,2052,3715
Burlington,Town Hall,5,2352,2773,5382
Canaan,Canaan Town Hall,5,357,203,592
Canterbury,Canterbury Town Hall,2,932,1609,2702
Canton,Canton High School,5,3100,2601,5988
Chaplin,Chaplin Volunteer Fire Department,2,434,624,1147
Cheshire,Artsplace - District 3,5,1102,1186,2391
Cheshire,Chapman School - Dist. 2,5,842,797,1713
Cheshire,Cheshire High School - Dist. 1,5,1803,1689,3662
Cheshire,Dodd Middle School - Dist. 7,5,535,533,1126
