County,ShortName,CD,Clinton,Trump,Total,
Appling,Appling,12,1434,5494,7005,
Atkinson,Atkinson,8,697,1878,2610,
Bacon,Bacon,1,608,3364,4019,
Baker,Baker,2,650,775,1440,
Baldwin,Baldwin,10,7970,7697,16086,
Banks,Banks,9,684,6134,6950,
Barrow,Barrow,10,6580,21108,28831,
Bartow,Bartow,11,8212,29911,39306,
Ben Hill,BenHill,8,2101,3739,5931,
Berrien,Berrien,8,1047,5422,6584,
Bleckley,Bleckley,8,1101,3719,4943,
Brantley,Brantley,1,619,5567,6292,
Brooks,Brooks,8,2528,3701,6318,
Bryan,Bryan,1,4014,10529,15085,
Bulloch,Bulloch,12,9261,15097,25248,
Burke,Burke,12,4731,4491,9351,
Butts,Butts,10,2566,6717,9477,
Calhoun,Calhoun,2,1179,830,2025,
Camden,Camden,1,5930,12310,18869,
Candler,Candler,12,1026,2664,3763,
Carroll,Carroll,3,12464,30029,43839,
Catoosa,Catoosa,14,4771,20876,26528,
Charlton,Charlton,1,1004,2951,4009,
Chatham,Chatham,1,62290,45688,111481,
Chattahoochee,Chattahoochee,2,594,751,1390,
Chattooga,Chattooga,14,1613,6462,8252,
Cherokee,Cherokee,11,25231,80649,110895,
Clay,Clay,2,697,566,1271,
Clinch,Clinch,1,686,1727,2447,
Coffee,Coffee,12,4094,9588,13915,
Colquitt,Colquitt,8,3463,9898,13601,
Cook,Cook,8,1753,4176,6041,
Coweta,Coweta,3,16583,42533,61351,
Crawford,Crawford,2,1421,3635,5162,
Crisp,Crisp,2,2837,4549,7512,
Dade,Dade,14,965,5051,6242,
Dawson,Dawson,9,1448,9900,11704,
Decatur,Decatur,2,4124,6020,10270,
Dodge,Dodge,8,1839,5021,6998,
Dooly,Dooly,2,1872,1951,3859,
Dougherty,Dougherty,2,23311,10232,34018,
Douglas,Douglas,13,31005,24817,57416,
Early,Early,2,2168,2552,4785,
Echols,Echols,1,156,1007,1176,
Elbert,Elbert,9,2539,5292,7970,
Emanuel,Emanuel,12,2435,5335,7845,
Evans,Evans,12,1130,2404,3602,
Fannin,Fannin,9,1923,9632,11777,
Floyd,Floyd,14,9159,24114,34357,
Franklin,Franklin,9,1243,7054,8474,
Gilmer,Gilmer,9,1965,10477,12735,
Glascock,Glascock,10,138,1235,1390,
Glynn,Glynn,1,11775,21512,34112,
Gordon,Gordon,14,3181,15191,18879,
Grady,Grady,2,3013,6053,9201,
Greene,Greene,10,3199,5490,8840,
Habersham,Habersham,9,2483,13190,16134,
Hall,Hall,9,16180,51733,70220,
Hancock,Hancock,10,2701,843,3580,
Haralson,Haralson,14,1475,9585,11324,
Harris,Harris,3,4086,11936,16401,
Hart,Hart,9,2585,7286,10080,
Heard,Heard,3,743,3370,4206,
Houston,Houston,8,22553,35430,59744,
Irwin,Irwin,8,891,2716,3665,
Jackson,Jackson,9,4491,21784,27109,
Jasper,Jasper,10,1544,4360,6023,
Jeff Davis,JeffDavis,12,901,4104,5091,
Jefferson,Jefferson,10,3821,3063,6954,
Jenkins,Jenkins,12,1123,1895,3052,
Johnson,Johnson,10,1136,2519,3682,
Jones,Jones,8,3961,8305,12526,
Lamar,Lamar,3,2270,5190,7586,
Lanier,Lanier,8,806,1984,2863,
Laurens,Laurens,12,6752,12411,19476,
Lee,Lee,2,3170,10646,14115,
Liberty,Liberty,1,9556,6134,16117,
Lincoln,Lincoln,10,1273,2759,4102,
Long,Long,1,1360,2626,4117,
Lumpkin,Lumpkin,9,2220,9619,12334,
Macon,Macon,2,2705,1540,4287,
Madison,Madison,9,2425,9201,11954,
Marion,Marion,2,1213,1921,3183,
McDuffie,McDuffie,10,3699,5432,9268,
McIntosh,McIntosh,1,2303,3487,5903,
Meriwether,Meriwether,3,3804,5222,9191,
Miller,Miller,2,623,1891,2544,
Mitchell,Mitchell,2,3493,4279,7865,
Monroe,Monroe,8,3571,8832,12687,
Montgomery,Montgomery,12,847,2670,3562,
Morgan,Morgan,10,2663,6559,9440,
Murray,Murray,14,1800,10341,12424,
Oconee,Oconee,10,5581,13425,19931,
Oglethorpe,Oglethorpe,10,1831,4625,6655,
Paulding,Paulding,14,18025,44662,64641,
Peach,Peach,2,5100,5413,10724,
Pierce,Pierce,1,903,6302,7298,
Pike,Pike,3,1240,7278,8681,
Polk,Polk,14,2867,11014,14170,
Pulaski,Pulaski,8,1104,2437,3599,
Putnam,Putnam,10,2758,6544,9472,
Quitman,Quitman,2,461,575,1044,
Rabun,Rabun,9,1444,6287,7950,
Randolph,Randolph,2,1598,1271,2897,
Richmond,Richmond,12,48814,24461,75086,
Rockdale,Rockdale,4,23255,13478,37656,
Schley,Schley,2,401,1472,1909,
Screven,Screven,12,2300,3305,5699,
Seminole,Seminole,2,1189,2345,3582,
Spalding,Spalding,3,9357,15646,25600,
Stephens,Stephens,9,1837,7686,9766,
Stewart,Stewart,2,1222,805,2055,
Sumter,Sumter,2,5520,5276,10974,
Talbot,Talbot,2,2002,1196,3244,
Taliaferro,Taliaferro,10,545,349,897,
Tattnall,Tattnall,12,1681,5096,6886,
Taylor,Taylor,2,1296,2064,3405,
Telfair,Telfair,8,1313,2450,3795,
Terrell,Terrell,2,2267,1874,4181,
Thomas,Thomas,8,7142,11228,18738,
Tift,Tift,8,4347,9584,14175,
Toombs,Toombs,12,2338,6615,9111,
Towns,Towns,9,1210,5383,6739,
Treutlen,Treutlen,12,862,1809,2703,
Troup,Troup,3,9713,15750,26024,
Turner,Turner,8,1246,2095,3394,
Twiggs,Twiggs,8,1971,2035,4056,
Union,Union,9,1963,9852,12044,
Upson,Upson,3,3475,7292,10934,
Walker,Walker,14,4215,18950,23956,
Walton,Walton,10,8292,31125,40472,
Ware,Ware,1,3440,8513,12159,
Warren,Warren,10,1314,991,2333,
