Precinct,County,CD,Clinton,Trump,Total
01-01,Hawai'i,2,1063,347,1579
01-02,Hawai'i,2,356,137,552
01-03,Hawai'i,2,441,119,610
01-04,Hawai'i,2,144,48,212
01-05,Hawai'i,2,741,248,1081
01-06,Hawai'i,2,599,215,895
01-07,Hawai'i,2,640,204,928
01-08,Hawai'i,2,2018,668,2944
01-09,Hawai'i,2,769,303,1181
02-01,Hawai'i,2,1606,474,2287
02-02,Hawai'i,2,611,192,909
02-03,Hawai'i,2,602,163,838
02-04,Hawai'i,2,2272,744,3282
02-05,Hawai'i,2,1670,412,2230
03-01,Hawai'i,2,1685,597,2474
03-02,Hawai'i,2,202,62,290
03-03,Hawai'i,2,41,37,89
03-04,Hawai'i,2,1817,694,2826
03-05,Hawai'i,2,917,426,1519
03-06,Hawai'i,2,897,273,1303
03-07,Hawai'i,2,359,86,458
04-01,Hawai'i,2,2178,1130,3669
04-02,Hawai'i,2,798,352,1302
04-03,Hawai'i,2,1174,388,1843
04-04,Hawai'i,2,1098,379,1699
05-01,Hawai'i,2,501,200,790
05-02,Hawai'i,2,609,448,1178
05-03,Hawai'i,2,214,81,334
05-04,Hawai'i,2,317,82,440
05-05,Hawai'i,2,303,112,459
05-06,Hawai'i,2,1273,438,1873
05-07,Hawai'i,2,885,358,1347
05-08,Hawai'i,2,1348,1000,2520
06-01,Hawai'i,2,401,237,692
06-02,Hawai'i,2,1262,874,2361
06-03,Hawai'i,2,1019,705,1864
06-04,Hawai'i,2,1312,839,2364
06-05,Hawai'i,2,1048,642,1858
07-01,Hawai'i,2,523,355,963
07-02,Hawai'i,2,1548,994,2773
07-03,Hawai'i,2,1575,566,2384
07-04,Hawai'i,2,1767,624,2663
07-05,Hawai'i,2,656,248,1004
08-01,Maui,2,722,325,1187
08-02,Maui,2,1209,405,1796
08-03,Maui,2,577,203,852
08-04,Maui,2,669,233,1016
08-05,Maui,2,1944,757,2872
08-06,Maui,2,729,280,1125
08-07,Maui,2,454,171,697
09-01,Maui,2,1514,509,2163
09-02,Maui,2,1471,456,2077
09-03,Maui,2,956,245,1276
09-04,Maui,2,911,280,1298
10-01,Maui,2,470,264,809
10-02,Maui,2,695,395,1202
10-03,Maui,2,711,273,1070
10-04,Maui,2,582,214,867
10-05,Maui,2,1715,1088,3036
11-01,Maui,2,1092,426,1673
11-02,Maui,2,1530,847,2580
11-03,Maui,2,1255,687,2162
11-04,Maui,2,1312,767,2291
12-01,Maui,2,1272,520,2009
12-02,Maui,2,862,291,1314
12-03,Maui,2,1265,511,1990
12-04,Maui,2,1348,509,2033
12-05,Maui,2,2150,819,3319
12-06,Maui,2,120,40,187
13-01,Maui,2,680,197,1002
13-02,Maui,2,2637,763,3944
13-03,Maui,2,501,133,751
13-04,Maui,2,614,210,898
13-05,Maui,2,214,109,365
13-06,Maui,2,735,299,1172
13-07,Maui,2,100,64,185
13-08,Maui,2,450,155,707
13-09,Maui,2,14,1,20
14-01,Kauai,2,1054,514,1751
