County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,
Adams,Adams,1,415,"1,556",2183,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bannock,Bannock,2,"10,342","17,180",33405,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bear Lake,BearLake,2,255,"2,203",2928,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Benewah,Benewah,1,770,"3,103",4184,,,,,,,,,,,,,,,,
Bingham,Bingham,2,"2,924","10,907",16625,,,,,,,,,,,,,,,,
Blaine,Blaine,2,"6,416","3,340",10723,,,,,,,,,,,,,,,,
Boise,Boise,1,777,"2,673",3812,,,,,,,,,,,,,,,,
Bonner,Bonner,1,"5,819","13,343",20925,,,,,,,,,,,,,,,,
Bonneville,Bonneville,2,"8,930","26,699",44212,,,,,,,,,,,,,,,,
Boundary,Boundary,1,933,"3,789",5162,,,,,,,,,,,,,,,,
Butte,Butte,2,160,914,1230,,,,,,,,,,,,,,,,
Camas,Camas,2,110,410,590,,,,,,,,,,,,,,,,
Canyon,Canyon,1,"16,883","47,222",72765,,,,,,,,,,,,,,,,
Caribou,Caribou,2,271,"2,275",3035,,,,,,,,,,,,,,,,
Cassia,Cassia,2,"1,036","5,949",8178,,,,,,,,,,,,,,,,
Clark,Clark,2,44,203,283,,,,,,,,,,,,,,,,
Clearwater,Clearwater,1,704,"2,852",3801,,,,,,,,,,,,,,,,
Custer,Custer,2,427,"1,777",2413,,,,,,,,,,,,,,,,
Elmore,Elmore,2,"1,814","5,816",8519,,,,,,,,,,,,,,,,
Franklin,Franklin,2,385,"3,901",5499,,,,,,,,,,,,,,,,
Fremont,Fremont,2,651,"4,090",5713,,,,,,,,,,,,,,,,
Gem,Gem,1,"1,229","5,980",7952,,,,,,,,,,,,,,,,
Gooding,Gooding,2,930,"3,743",5191,,,,,,,,,,,,,,,,
Idaho,Idaho,1,"1,196","6,441",8226,,,,,,,,,,,,,,,,
Jefferson,Jefferson,2,976,"8,436",11471,,,,,,,,,,,,,,,,
Jerome,Jerome,2,"1,329","4,644",6751,,,,,,,,,,,,,,,,
Kootenai,Kootenai,1,"16,264","44,449",66286,,,,,,,,,,,,,,,,
Latah,Latah,1,"8,093","7,265",18156,,,,,,,,,,,,,,,,
Lemhi,Lemhi,2,733,"3,011",4096,,,,,,,,,,,,,,,,
Lewis,Lewis,1,270,"1,202",1590,,,,,,,,,,,,,,,,
Lincoln,Lincoln,2,360,"1,184",1748,,,,,,,,,,,,,,,,
Madison,Madison,2,"1,201","8,941",15687,,,,,,,,,,,,,,,,
Minidoka,Minidoka,2,"1,167","4,887",6870,,,,,,,,,,,,,,,,
Nez Perce,NezPerce,1,"4,828","10,699",17195,,,,,,,,,,,,,,,,
Oneida,Oneida,2,184,"1,531",2068,,,,,,,,,,,,,,,,
Owyhee,Owyhee,1,591,"3,052",3924,,,,,,,,,,,,,,,,
Payette,Payette,1,"1,507","6,489",8704,,,,,,,,,,,,,,,,
Power,Power,2,699,"1,666",2758,,,,,,,,,,,,,,,,
Shoshone,Shoshone,1,"1,384","3,297",5120,,,,,,,,,,,,,,,,
Teton,Teton,2,"2,159","2,167",4975,,,,,,,,,,,,,,,,
Twin Falls,TwinFalls,2,"6,233","19,828",29873,,,,,,,,,,,,,,,,
Valley,Valley,1,"1,913","2,906",5349,,,,,,,,,,,,,,,,
Washington,Washington,1,776,"3,283",4454,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,
Ada (pt.),Ada,1,"26,932","59,433","99,873","13,508",,,,,,,,,,,,,,,
Ada (pt.),Ada,2,"48,745","34,319","95,753","12,689",,,,,,,,,,,,,,,
