County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adams,Adams,18,"7,676","22,790",31883,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Alexander,Alexander,12,"1,262","1,496",2820,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Boone,Boone,16,"8,986","12,282",22666,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Brown,Brown,18,476,"1,796",2359,,,,,,,,,,,,,,,,,,,,,
Bureau,Bureau,16,"6,029","9,281",16349,,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,13,739,"1,721",2558,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,17,"2,447","4,434",7374,,,,,,,,,,,,,,,,,,,,,
Cass,Cass,18,"1,621","3,216",5060,,,,,,,,,,,,,,,,,,,,,
Christian,Christian,13,"3,992","10,543",15346,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,15,"1,877","5,622",7825,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,15,"1,020","5,021",6298,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,15,"3,945","12,412",17295,,,,,,,,,,,,,,,,,,,,,
Coles,Coles,15,"7,309","13,003",21624,,,,,,,,,,,,,,,,,,,,,
Crawford,Crawford,15,"1,992","6,277",8661,,,,,,,,,,,,,,,,,,,,,
Cumberland,Cumberland,15,"1,031","4,206",5522,,,,,,,,,,,,,,,,,,,,,
DeWitt,DeWitt,13,"1,910","5,077",7479,,,,,,,,,,,,,,,,,,,,,
Douglas,Douglas,15,"1,949","5,698",8099,,,,,,,,,,,,,,,,,,,,,
Edgar,Edgar,15,"1,793","5,645",7815,,,,,,,,,,,,,,,,,,,,,
Edwards,Edwards,15,434,"2,778",3315,,,,,,,,,,,,,,,,,,,,,
Effingham,Effingham,15,"3,083","13,635",17462,,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,15,"1,819","7,372",9531,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,12,"4,727","13,116",18567,,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,17,"6,133","8,492",15644,,,,,,,,,,,,,,,,,,,,,
Gallatin,Gallatin,15,657,"1,942",2692,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,13,"1,205","4,145",5553,,,,,,,,,,,,,,,,,,,,,
Grundy,Grundy,16,"8,065","13,454",22982,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,15,802,"3,206",4146,,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,18,"2,139","6,430",8981,,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,15,420,"1,653",2137,,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,17,"1,155","2,155",3487,,,,,,,,,,,,,,,,,,,,,
Henry,Henry,17,"8,871","13,985",24299,,,,,,,,,,,,,,,,,,,,,
Iroquois,Iroquois,16,"2,504","9,750",12958,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,12,"11,634","10,843",24207,,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,15,924,"3,975",5106,,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,12,"4,425","11,695",16851,,,,,,,,,,,,,,,,,,,,,
Jersey,Jersey,13,"2,679","7,748",10931,,,,,,,,,,,,,,,,,,,,,
Jo Daviess,JoDaviess,17,"4,462","6,121",11199,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,15,"1,142","4,649",6030,,,,,,,,,,,,,,,,,,,,,
Kankakee,Kankakee,2,"18,971","25,129",46679,,,,,,,,,,,,,,,,,,,,,
Knox,Knox,17,"10,083","10,737",22207,,,,,,,,,,,,,,,,,,,,,
LaSalle,LaSalle,16,"19,543","26,689",49179,,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,15,"1,290","4,521",6046,,,,,,,,,,,,,,,,,,,,,
Lee,Lee,16,"5,528","8,612",15262,,,,,,,,,,,,,,,,,,,,,
Livingston,Livingston,16,"4,023","10,208",15133,,,,,,,,,,,,,,,,,,,,,
Logan,Logan,18,"3,313","8,181",12161,,,,,,,,,,,,,,,,,,,,,
Macon,Macon,13,"18,343","26,866",47519,,,,,,,,,,,,,,,,,,,,,
Macoupin,Macoupin,13,"6,689","14,322",22192,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,15,"4,369","11,859",16940,,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,18,"1,789","3,785",5918,,,,,,,,,,,,,,,,,,,,,
Mason,Mason,18,"2,014","4,058",6447,,,,,,,,,,,,,,,,,,,,,
Massac,Massac,15,"1,558","4,846",6640,,,,,,,,,,,,,,,,,,,,,
McDonough,McDonough,18,"5,288","6,795",12928,,,,,,,,,,,,,,,,,,,,,
Menard,Menard,18,"1,817","4,231",6433,,,,,,,,,,,,,,,,,,,,,
Mercer,Mercer,17,"3,071","4,807",8435,,,,,,,,,,,,,,,,,,,,,
