County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adams,Adams,3,2805,9648,13048,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Allen,Allen,3,55382,83930,146114,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Bartholomew,Bartholomew,6,9841,20640,32392,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Benton,Benton,4,860,2579,3654,,,,,,,,,,,,,,,,,,,,,
Brown,Brown,9,2518,5016,7909,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,4,1892,6273,8610,,,,,,,,,,,,,,,,,,,,,
Cass,Cass,4,3759,9701,14140,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,9,18808,30035,51147,,,,,,,,,,,,,,,,,,,,,
Clay,Clay,8,2306,8531,11263,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,4,2819,8531,11897,,,,,,,,,,,,,,,,,,,,,
Daviess,Daviess,8,1800,8545,10736,,,,,,,,,,,,,,,,,,,,,
Dearborn,Dearborn,6,4883,18113,23913,,,,,,,,,,,,,,,,,,,,,
Decatur,Decatur,6,2121,8490,11098,,,,,,,,,,,,,,,,,,,,,
DeKalb,DeKalb,3,3942,12054,16817,,,,,,,,,,,,,,,,,,,,,
Delaware,Delaware,6,18153,24263,44804,,,,,,,,,,,,,,,,,,,,,
Dubois,Dubois,8,5389,13365,19917,,,,,,,,,,,,,,,,,,,,,
Elkhart,Elkhart,2,20740,41867,65323,,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,6,2252,6839,9530,,,,,,,,,,,,,,,,,,,,,
Floyd,Floyd,9,13945,21432,37238,,,,,,,,,,,,,,,,,,,,,
Fountain,Fountain,4,1476,5662,7475,,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,6,1969,8669,10996,,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,2,1960,6010,8374,,,,,,,,,,,,,,,,,,,,,
Gibson,Gibson,8,3721,11081,15475,,,,,,,,,,,,,,,,,,,,,
Grant,Grant,5,7010,17008,25216,,,,,,,,,,,,,,,,,,,,,
Greene,Greene,8,2929,10277,13765,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,5,57263,87404,153789,,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,6,8904,25074,36055,,,,,,,,,,,,,,,,,,,,,
Harrison,Harrison,9,4783,12943,18485,,,,,,,,,,,,,,,,,,,,,
Hendricks,Hendricks,4,22600,48337,75275,,,,,,,,,,,,,,,,,,,,,
Henry,Henry,6,5124,13895,20075,,,,,,,,,,,,,,,,,,,,,
Huntington,Huntington,3,3506,11649,15974,,,,,,,,,,,,,,,,,,,,,
