County,CD,Clinton,Trump,Total
Adair,3,"1,133","2,461","3,773"
Adams,3,565,"1,395",2084
Allamakee,1,"2,421","4,093","6,874"
Appanoose,2,"1,814","4,033","6,099"
Audubon,4,"1,080","2,136","3,382"
Benton,1,"4,678","8,232","13,705"
Black Hawk,1,"32,233","27,476","63,570"
Boone,4,"5,541","7,484","14,034"
Bremer,1,"5,356","7,208","13,367"
Buchanan,1,"3,970","5,510","10,147"
Buena Vista,4,"2,856","4,903","8,194"
Butler,4,"2,157","4,921","7,456"
Calhoun,4,"1,398","3,468","5,110"
Carroll,4,"3,309","6,638","10,454"
Cass,3,"1,951","4,761","7,068"
Cedar,2,"3,599","5,295","9,430"
Cerro Gordo,4,"9,862","11,621","22,709"
Cherokee,4,"1,679","4,192","6,193"
Chickasaw,4,"2,266","3,742","6,372"
Clarke,2,"1,465","2,713","4,415"
Clay,4,"2,249","5,877","8,554"
Clayton,1,"3,237","5,317","9,059"
Clinton,2,"10,095","11,276","22,800"
Crawford,4,"1,991","4,617","6,878"
Dallas,3,"18,288","22,119","43,416"
Davis,2,977,"2,723","3,862"
Decatur,2,"1,201","2,296","3,703"
Delaware,1,"2,957","5,694","9,172"
Des Moines,2,"8,212","9,529","18,803"
Dickinson,4,"3,056","6,753","10,265"
Dubuque,1,"22,850","23,460","49,217"
Emmet,4,"1,357","3,124","4,712"
Fayette,1,"3,689","5,620","9,871"
Floyd,4,"3,179","4,375","7,991"
Franklin,4,"1,493","3,163","4,930"
Fremont,3,963,"2,407","3,564"
Greene,4,"1,691","2,820","4,766"
Grundy,4,"1,856","4,527","6,776"
Guthrie,3,"1,732","3,628","5,697"
Hamilton,4,"2,726","4,463","7,614"
Hancock,4,"1,587","3,977","5,830"
Hardin,4,"2,787","5,254","8,464"
Harrison,4,"2,131","4,902","7,397"
Henry,2,"2,904","5,779","9,310"
Howard,1,"1,677","2,611","4,512"
Humboldt,4,"1,252","3,568","5,038"
Ida,4,792,"2,655","3,591"
Iowa,1,"3,084","5,205","8,819"
Jackson,1,"3,837","5,824","10,208"
Jasper,2,"7,109","10,560","18,781"
Jefferson,2,"3,710","3,748","8,020"
Johnson,2,"50,200","21,044","75,976"
Jones,1,"3,787","5,720","10,024"
Keokuk,2,"1,342","3,390","4,941"
Kossuth,4,"2,543","5,653","8,537"
Lee,2,"6,215","8,803","15,964"
Linn,1,"58,935","48,390","115,395"
Louisa,2,"1,648","3,069","4,960"
Lucas,2,"1,239","2,877","4,304"
Lyon,4,920,"5,192","6,345"
Madison,3,"2,678","5,360","8,565"
Mahaska,2,"2,619","7,432","10,537"
Marion,2,"5,482","10,962","17,593"
Marshall,1,"7,652","9,146","17,752"
Mills,3,"2,090","5,067","7,639"
Mitchell,1,"1,888","3,190","5,383"
Monona,4,"1,247","3,120","4,533"
Monroe,2,"1,056","2,638","3,851"
Montgomery,3,"1,314","3,436","5,005"
Muscatine,2,"8,368","9,584","19,221"
O'Brien,4,"1,315","5,752","7,370"
Osceola,4,552,"2,531","3,200"
Page,3,"1,807","4,893","6,995"
Palo Alto,4,"1,398","3,081","4,679"
Plymouth,4,"2,885","9,680","13,088"
Pocahontas,4,963,"2,702","3,842"
Polk,3,"119,804","93,492","228,659"
Pottawattamie,3,"15,355","24,447","42,249"
Poweshiek,1,"4,304","4,946","9,738"
Ringgold,3,753,"1,824","2,688"
Sac,4,"1,270","3,703","5,170"
Scott,2,"40,440","39,149","85,101"
Shelby,4,"1,662","4,362","6,307"
Sioux,4,"2,300","14,785","18,029"
Story,4,"25,709","19,458","49,976"
Tama,1,"3,196","4,971","8,642"
Taylor,3,758,"2,111","3,009"
Union,3,"1,922","3,525","5,775"
Van Buren,2,845,"2,527","3,529"
Wapello,2,"5,594","8,715","15,005"
Warren,3,"10,411","14,814","27,005"
Washington,2,"3,943","6,173","10,833"
Wayne,2,719,"2,069","2,921"
Webster,4,"6,305","10,056","17,260"
Winnebago,4,"1,931","3,447","5,739"
Winneshiek,1,"5,254","5,344","11,246"
Woodbury,4,"16,210","24,727","43,149"
Worth,1,"1,530","2,453","4,233"
Wright,4,"1,896","3,800","5,966"
