County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,
Allen,Allen,2,"1,433","3,651","5,434",,,,,,,,,,,,,,,,,,,0,#REF!
Anderson,Anderson,2,672,"2,435",3339,,,,,,,,,,,,,,,,,,,#REF!,#REF!
Atchison,Atchison,2,"1,989","4,049","6,517",,,,,,,,,,,,,,,,,,,#REF!,#REF!
Barber,Barber,4,286,"1,850",2242,,,,,,,,,,,,,,,,,,,,
Barton,Barton,1,"1,839","7,888","10,231",,,,,,,,,,,,,,,,,,,,
Bourbon,Bourbon,2,"1,336","4,424","6,073",,,,,,,,,,,,,,,,,,,,
Brown,Brown,2,863,"2,906",4024,,,,,,,,,,,,,,,,,,,,
Butler,Butler,4,"6,573","19,073","27,456",,,,,,,,,,,,,,,,,,,,
Chase,Chase,1,316,969,1361,,,,,,,,,,,,,,,,,,,,
Chautauqua,Chautauqua,4,197,"1,236",1481,,,,,,,,,,,,,,,,,,,,
Cherokee,Cherokee,2,"2,005","6,182","8,613",,,,,,,,,,,,,,,,,,,,
Cheyenne,Cheyenne,1,181,"1,173",1403,,,,,,,,,,,,,,,,,,,,
Clark,Clark,1,120,825,1001,,,,,,,,,,,,,,,,,,,,
Clay,Clay,1,677,"2,891",3803,,,,,,,,,,,,,,,,,,,,
Cloud,Cloud,1,761,"2,919",3915,,,,,,,,,,,,,,,,,,,,
Coffey,Coffey,2,727,"3,050",4036,,,,,,,,,,,,,,,,,,,,
Comanche,Comanche,4,102,715,867,,,,,,,,,,,,,,,,,,,,
Cowley,Cowley,4,"3,551","8,270","12,575",,,,,,,,,,,,,,,,,,,,
Crawford,Crawford,2,"5,199","8,624","14,809",,,,,,,,,,,,,,,,,,,,
Decatur,Decatur,1,178,"1,210",1450,,,,,,,,,,,,,,,,,,,,
Dickinson,Dickinson,1,"1,609","6,029",8176,,,,,,,,,,,,,,,,,,,,
Doniphan,Doniphan,2,587,"2,606",3374,,,,,,,,,,,,,,,,,,,,
Douglas,Douglas,2,"31,195","14,688","49,867",,,,,,,,,,,,,,,,,,,,
Edwards,Edwards,4,212,"1,037",1316,,,,,,,,,,,,,,,,,,,,
Elk,Elk,4,160,"1,048",1259,,,,,,,,,,,,,,,,,,,,
Ellis,Ellis,1,"2,742","8,466","11,909",,,,,,,,,,,,,,,,,,,,
Ellsworth,Ellsworth,1,521,"1,969",2671,,,,,,,,,,,,,,,,,,,,
Finney,Finney,1,"3,195","6,350","10,149",,,,,,,,,,,,,,,,,,,,
Ford,Ford,1,"2,149","5,114","7,680",,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,2,"2,892","7,185","10,910",,,,,,,,,,,,,,,,,,,,
Geary,Geary,1,"2,722","4,274","7,464",,,,,,,,,,,,,,,,,,,,
Gove,Gove,1,149,"1,140",1343,,,,,,,,,,,,,,,,,,,,
Graham,Graham,1,188,"1,025",1281,,,,,,,,,,,,,,,,,,,,
Grant,Grant,1,441,"1,804",2379,,,,,,,,,,,,,,,,,,,,
Gray,Gray,1,263,"1,698",2066,,,,,,,,,,,,,,,,,,,,
Greeley,Greeley,1,83,534,650,,,,,,,,,,,,,,,,,,,,
Greenwood,Greenwood,4,485,"2,160",2826,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,1,121,705,871,,,,,,,,,,,,,,,,,,,,
Harper,Harper,4,393,"1,996",2566,,,,,,,,,,,,,,,,,,,,
Harvey,Harvey,4,"5,068","8,668","14,790",,,,,,,,,,,,,,,,,,,,
