County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adair,Adair,1,"1,323","6,637","8,231",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Allen,Allen,1,"1,349","6,466","8,091",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Anderson,Anderson,6,"2,634","8,242","11,420",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Ballard,Ballard,1,816,"3,161",4101,,,,,,,,,,,,,,,,,,,,,
Barren,Barren,2,"4,275","13,483","18,483",,,,,,,,,,,,,,,,,,,,,
Bath,Bath,6,"1,361","3,082","4,583",,,,,,,,,,,,,,,,,,,,,
Bell,Bell,5,"1,720","7,764","9,718",,,,,,,,,,,,,,,,,,,,,
Boone,Boone,4,"15,026","39,082","57,570",,,,,,,,,,,,,,,,,,,,,
Bourbon,Bourbon,6,"2,791","5,569","8,795",,,,,,,,,,,,,,,,,,,,,
Boyle,Boyle,2,"4,281","8,040","12,938",,,,,,,,,,,,,,,,,,,,,
Bracken,Bracken,4,705,"2,711",3527,,,,,,,,,,,,,,,,,,,,,
Breathitt,Breathitt,5,"1,537","3,991","5,735",,,,,,,,,,,,,,,,,,,,,
Breckinridge,Breckinridge,2,"1,960","6,484","8,771",,,,,,,,,,,,,,,,,,,,,
Bullitt,Bullitt,2,"8,255","26,210","36,054",,,,,,,,,,,,,,,,,,,,,
Butler,Butler,2,947,"4,428",5576,,,,,,,,,,,,,,,,,,,,,
Caldwell,Caldwell,1,"1,260","4,507","5,975",,,,,,,,,,,,,,,,,,,,,
Calloway,Calloway,1,"4,749","10,367","16,045",,,,,,,,,,,,,,,,,,,,,
Campbell,Campbell,4,"14,658","25,050","42,489",,,,,,,,,,,,,,,,,,,,,
Carlisle,Carlisle,1,432,"2,094",2601,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,4,"1,106","2,588","3,855",,,,,,,,,,,,,,,,,,,,,
Carter,Carter,5,"2,276","7,587","10,274",,,,,,,,,,,,,,,,,,,,,
Casey,Casey,1,767,"5,482",6439,,,,,,,,,,,,,,,,,,,,,
Christian,Christian,1,"7,188","14,108","22,083",,,,,,,,,,,,,,,,,,,,,
Clark,Clark,6,"4,706","10,710","16,202",,,,,,,,,,,,,,,,,,,,,
Clay,Clay,5,752,"5,861",6765,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,1,547,"3,809",4458,,,,,,,,,,,,,,,,,,,,,
Crittenden,Crittenden,1,617,"3,290",4037,,,,,,,,,,,,,,,,,,,,,
Cumberland,Cumberland,1,459,"2,502",3066,,,,,,,,,,,,,,,,,,,,,
Daviess,Daviess,2,"14,163","28,907","45,781",,,,,,,,,,,,,,,,,,,,,
Edmonson,Edmonson,2,979,"4,135",5241,,,,,,,,,,,,,,,,,,,,,
Elliott,Elliott,5,740,"2,000",2855,,,,,,,,,,,,,,,,,,,,,
Estill,Estill,6,"1,108","4,236","5,545",,,,,,,,,,,,,,,,,,,,,
Fayette,Fayette,6,"69,778","56,894","136,245",,,,,,,,,,,,,,,,,,,,,
Fleming,Fleming,6,"1,348","4,722","6,257",,,,,,,,,,,,,,,,,,,,,
Floyd,Floyd,5,"4,015","11,993","16,540",,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,6,"10,717","11,819","23,860",,,,,,,,,,,,,,,,,,,,,
Fulton,Fulton,1,774,"1,549",2382,,,,,,,,,,,,,,,,,,,,,
Gallatin,Gallatin,4,749,"2,443",3337,,,,,,,,,,,,,,,,,,,,,
Garrard,Garrard,2,"1,453","5,904","7,619",,,,,,,,,,,,,,,,,,,,,
Grant,Grant,4,"1,910","7,268","9,556",,,,,,,,,,,,,,,,,,,,,
Graves,Graves,1,"3,308","12,671","16,592",,,,,,,,,,,,,,,,,,,,,
Grayson,Grayson,2,"1,959","8,219","10,572",,,,,,,,,,,,,,,,,,,,,
Green,Green,2,832,"4,372",5333,,,,,,,,,,,,,,,,,,,,,
Greenup,Greenup,4,"4,146","11,546","16,273",,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,2,"1,244","2,788","4,293",,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,2,"13,944","26,971","43,142",,,,,,,,,,,,,,,,,,,,,
Harlan,Harlan,5,"1,372","9,129","10,757",,,,,,,,,,,,,,,,,,,,,
Hart,Hart,2,"1,730","5,320","7,263",,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,1,"6,707","12,159","19,705",,,,,,,,,,,,,,,,,,,,,
Henry,Henry,4,"1,828","4,944","7,145",,,,,,,,,,,,,,,,,,,,,
Hickman,Hickman,1,449,"1,657",2157,,,,,,,,,,,,,,,,,,,,,
Hopkins,Hopkins,1,"4,310","15,277","20,341",,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,5,482,"4,889",5500,,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,5,"1,250","8,043","9,572",,,,,,,,,,,,,,,,,,,,,
Kenton,Kenton,4,"24,214","42,958","71,948",,,,,,,,,,,,,,,,,,,,,
Knott,Knott,5,"1,245","4,357","5,763",,,,,,,,,,,,,,,,,,,,,
Knox,Knox,5,"1,761","9,885","12,012",,,,,,,,,,,,,,,,,,,,,
Larue,Larue,2,"1,278","4,799","6,367",,,,,,,,,,,,,,,,,,,,,
Laurel,Laurel,5,"3,440","20,592","24,824",,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,5,"1,045","4,816","6,042",,,,,,,,,,,,,,,,,,,,,
Lee,Lee,5,444,"2,151",2667,,,,,,,,,,,,,,,,,,,,,
Leslie,Leslie,5,400,"4,015",4492,,,,,,,,,,,,,,,,,,,,,
Letcher,Letcher,5,"1,542","7,293","9,134",,,,,,,,,,,,,,,,,,,,,
Lewis,Lewis,4,785,"4,363",5298,,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,5,"1,865","7,338","9,561",,,,,,,,,,,,,,,,,,,,,
Livingston,Livingston,1,887,"3,570",4643,,,,,,,,,,,,,,,,,,,,,
Logan,Logan,1,"2,755","7,778","10,899",,,,,,,,,,,,,,,,,,,,,
Lyon,Lyon,1,"1,045","2,789","3,961",,,,,,,,,,,,,,,,,,,,,
Madison,Madison,6,"11,793","23,431","37,336",,,,,,,,,,,,,,,,,,,,,
Magoffin,Magoffin,5,"1,172","3,824","5,116",,,,,,,,,,,,,,,,,,,,,
Marion,Marion,1,"2,679","5,122","8,109",,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,1,"3,672","12,322","16,688",,,,,,,,,,,,,,,,,,,,,
Martin,Martin,5,363,"3,503",3953,,,,,,,,,,,,,,,,,,,,,
Mason,Mason,4,"1,970","4,944","7,216",,,,,,,,,,,,,,,,,,,,,
McCracken,McCracken,1,"9,134","20,774","31,294",,,,,,,,,,,,,,,,,,,,,
McCreary,McCreary,5,664,"5,012",5776,,,,,,,,,,,,,,,,,,,,,
McLean,McLean,1,988,"3,381",4566,,,,,,,,,,,,,,,,,,,,,
Meade,Meade,2,"3,026","8,660","12,229",,,,,,,,,,,,,,,,,,,,,
Menifee,Menifee,6,700,"2,010",2779,,,,,,,,,,,,,,,,,,,,,
Mercer,Mercer,2,"2,395","7,740","10,584",,,,,,,,,,,,,,,,,,,,,
Metcalfe,Metcalfe,1,976,"3,491",4619,,,,,,,,,,,,,,,,,,,,,
Monroe,Monroe,1,601,"4,278",4991,,,,,,,,,,,,,,,,,,,,,
