County,ShortName,CD,Clinton,Trump,Total,,,
Acadia,Acadia,3,5638,21162,27389,0,0,#REF!
Allen,Allen,4,2106,6867,9245,#REF!,#REF!,#REF!
Avoyelles,Avoyelles,5,5035,11165,16586,#REF!,#REF!,#REF!
Beauregard,Beauregard,4,2393,12238,15078,,,
Bienville,Bienville,4,3129,3756,7005,,,
Bossier,Bossier,4,12641,35474,49848,,,
Caddo,Caddo,4,53483,49006,105804,,,
Calcasieu,Calcasieu,3,26296,54191,83785,,,
Caldwell,Caldwell,5,788,3822,4692,,,
Cameron,Cameron,3,323,3256,3692,,,
Catahoula,Catahoula,5,1322,3479,4856,,,
Claiborne,Claiborne,4,2717,3585,6421,,,
Concordia,Concordia,5,3272,5477,8872,,,
De Soto,DeSoto,4,5165,8068,13500,,,
East Carroll,EastCarroll,5,1838,1059,2939,,,
Evangeline,Evangeline,4,4208,10360,14882,,,
Franklin,Franklin,5,2506,6514,9162,,,
Grant,Grant,5,1181,7408,8821,,,
Iberia,Iberia,3,10698,20903,32454,,,
Jackson,Jackson,5,2139,5169,7464,,,
Jefferson Davis,JeffersonDavis,3,3080,10775,14277,,,
Lafayette,Lafayette,3,32726,68195,105603,,,
La Salle,Lasalle,5,605,5836,6569,,,
Lincoln,Lincoln,5,7107,10761,18669,,,
Livingston,Livingston,6,6950,48824,57730,,,
Madison,Madison,5,2744,1927,4732,,,
Morehouse,Morehouse,5,5155,6502,11852,,,
Natchitoches,Natchitoches,4,7144,8968,16621,,,
Ouachita,Ouachita,5,24428,41734,68017,,,
Plaquemines,Plaquemines,1,3347,6900,10573,,,
Pointe Coupee,PointeCoupee,6,4764,6789,11761,,,
Rapides,Rapides,5,18322,36816,56844,,,
Red River,RedRiver,4,1938,2391,4422,,,
Richland,Richland,5,3157,6287,9597,,,
Sabine,Sabine,4,1703,7879,9787,,,
St. Bernard,StBernard,1,4960,10237,15815,,,
St. James,StJames,2,6418,5456,12085,,,
St. Martin,StMartin,3,8266,16873,25750,,,
St. Mary,StMary,3,8050,14359,22877,,,
