County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Allegany,Allegany,6,"7,875","21,270","30,368",,,,,,,,,,,,,,,,,,,0,0,#REF!
Calvert,Calvert,5,"18,225","26,176","46,714",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Caroline,Caroline,1,"4,009","9,368","13,951",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Cecil,Cecil,1,"13,650","28,868","44,751",,,,,,,,,,,,,,,,,,,,,
Charles,Charles,5,"49,341","25,614","77,420",,,,,,,,,,,,,,,,,,,,,
Dorchester,Dorchester,1,"6,245","8,413","15,104",,,,,,,,,,,,,,,,,,,,,
Garrett,Garrett,6,"2,567","10,776","13,850",,,,,,,,,,,,,,,,,,,,,
Kent,Kent,1,"4,575","4,876","9,879",,,,,,,,,,,,,,,,,,,,,
Queen Anne's,QueenAnnes,1,"7,973","16,993","26,178",,,,,,,,,,,,,,,,,,,,,
St. Mary's,StMarys,5,"17,534","28,663","48,974",,,,,,,,,,,,,,,,,,,,,
Somerset,Somerset,1,"4,196","5,341","9,791",,,,,,,,,,,,,,,,,,,,,
Talbot,Talbot,1,"8,653","10,724","20,212",,,,,,,,,,,,,,,,,,,,,
Washington,Washington,6,"21,129","40,998","65,069",,,,,,,,,,,,,,,,,,,,,
Wicomico,Wicomico,1,"18,050","22,198","41,977",,,,,,,,,,,,,,,,,,,,,
Worcester,Worcester,1,"9,753","17,210","27,947",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,2,"11,885","7,379","20,359","1,095",,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,3,"30,323","32,040","66,171","3,808",,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,4,"23,285","35,311","62,524","3,928",,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,5,"6,774","10,807","18,589","1,008",,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,1,"5,970","12,228","19,345","1,147",,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,2,"59,802","51,763","117,156","5,591",,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,3,"19,552","17,311","39,057","2,194",,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,7,"30,812","20,213","53,933","2,908",,,,,,,,,,,,,,,,,,,,
Baltimore city (pt.),BaltimoreCity,2,"13,908","2,478","16,915",529,,,,,,,,,,,,,,,,,,,,
Baltimore city (pt.),BaltimoreCity,3,"32,326","12,298","47,639","3,015",,,,,,,,,,,,,,,,,,,,
Baltimore city (pt.),BaltimoreCity,7,"74,813","3,838","81,350","2,699",,,,,,,,,,,,,,,,,,,,
Carroll (pt.),Carroll,1,"5,413","18,597","25,564","1,554",,,,,,,,,,,,,,,,,,,,
Carroll (pt.),Carroll,8,"11,792","25,568","40,018","2,658",,,,,,,,,,,,,,,,,,,,
Frederick (pt.),Frederick,6,"19,700","16,097","38,367","2,570",,,,,,,,,,,,,,,,,,,,
Frederick (pt.),Frederick,8,"14,770","29,241","46,777","2,766",,,,,,,,,,,,,,,,,,,,
Harford (pt.),Harford,1,"13,546","37,938","54,560","3,076",,,,,,,,,,,,,,,,,,,,
Harford (pt.),Harford,2,"11,809","12,349","25,628","1,470",,,,,,,,,,,,,,,,,,,,
Howard (pt.),Howard,2,"7,185","3,439","11,321",697,,,,,,,,,,,,,,,,,,,,
Howard (pt.),Howard,3,"18,699","9,109","29,692","1,884",,,,,,,,,,,,,,,,,,,,
Howard (pt.),Howard,7,"25,176","18,811","47,074","3,087",,,,,,,,,,,,,,,,,,,,
Montgomery (pt.),Montgomery,3,"19,608","7,478","28,346","1,260",,,,,,,,,,,,,,,,,,,,
Montgomery (pt.),Montgomery,6,"62,384","26,358","93,305","4,563",,,,,,,,,,,,,,,,,,,,
Montgomery (pt.),Montgomery,8,"95,687","26,275","127,797","5,835",,,,,,,,,,,,,,,,,,,,
Prince George's (pt.),PrinceGeorges,4,"105,526","7,803","116,262","2,933",,,,,,,,,,,,,,,,,,,,
Prince George's (pt.),PrinceGeorges,5,"63,185","12,105","78,184","2,894",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,2,"9,235","3,180","12,847",432,,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,3,"23,561","13,809","38,874","1,504",,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,4,"18,093","15,219","34,862","1,551",,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,5,"5,263","4,658","10,319",398,,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,1,"5,258","5,777","11,543",508,,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,2,"52,665","24,456","79,598","2,477",,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,3,"17,219","8,179","26,370",972,,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,7,"27,135","9,550","37,973","1,288",,,,,,,,,,,,,,,,,,,,
Baltimore city (pt.),BaltimoreCity,2,"9,379",877,"10,460",204,,,,,,,,,,,,,,,,,,,,
Baltimore city (pt.),BaltimoreCity,3,"21,798","4,355","27,318","1,165",,,,,,,,,,,,,,,,,,,,
Baltimore city (pt.),BaltimoreCity,7,"50,449","1,359","52,851","1,043",,,,,,,,,,,,,,,,,,,,
Carroll (pt.),Carroll,1,"2,945","5,916","9,280",418,,,,,,,,,,,,,,,,,,,,
Carroll (pt.),Carroll,8,"6,417","8,134","15,266",716,,,,,,,,,,,,,,,,,,,,
Frederick (pt.),Frederick,6,"12,603","5,036","18,523",884,,,,,,,,,,,,,,,,,,,,
Frederick (pt.),Frederick,8,"9,449","9,148","19,549",952,,,,,,,,,,,,,,,,,,,,
Harford (pt.),Harford,1,"11,605","20,802","33,835","1,428",,,,,,,,,,,,,,,,,,,,
Harford (pt.),Harford,2,"10,117","6,771","17,570",682,,,,,,,,,,,,,,,,,,,,
Howard (pt.),Howard,2,"7,252","1,768","9,378",358,,,,,,,,,,,,,,,,,,,,
Howard (pt.),Howard,3,"18,874","4,684","24,524",967,,,,,,,,,,,,,,,,,,,,
Howard (pt.),Howard,7,"25,411","9,673","36,668","1,584",,,,,,,,,,,,,,,,,,,,
Montgomery (pt.),Montgomery,3,"19,882","4,055","24,636",700,,,,,,,,,,,,,,,,,,,,
Montgomery (pt.),Montgomery,6,"63,254","14,292","80,080","2,534",,,,,,,,,,,,,,,,,,,,
Montgomery (pt.),Montgomery,8,"97,022","14,247","114,510","3,241",,,,,,,,,,,,,,,,,,,,
Prince George's (pt.),PrinceGeorges,4,"109,671","5,057","116,467","1,738",,,,,,,,,,,,,,,,,,,,
Prince George's (pt.),PrinceGeorges,5,"65,667","7,846","75,227","1,715",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Arundel (pt.),AnneArundel,EV,"56,152","36,866","96,903","3,885",,,,,,,,,,,,,,,,,,,,
Baltimore (pt.),Baltimore,EV,"102,276","47,962","155,484","5,246",,,,,,,,,,,,,,,,,,,,
Baltimore city (pt.),BaltimoreCity,EV,"81,626","6,591","90,629","2,412",,,,,,,,,,,,,,,,,,,,
Carroll (pt.),Carroll,EV,"9,362","14,050","24,546","1,134",,,,,,,,,,,,,,,,,,,,
Frederick (pt.),Frederick,EV,"22,052","14,184","38,072","1,836",,,,,,,,,,,,,,,,,,,,
Harford (pt.),Harford,EV,"21,722","27,573","51,405","2,110",,,,,,,,,,,,,,,,,,,,
Howard (pt.),Howard,EV,"51,537","16,125","70,570","2,908",,,,,,,,,,,,,,,,,,,,
Montgomery (pt.),Montgomery,EV,"180,158","32,593","219,226","6,475",,,,,,,,,,,,,,,,,,,,
Prince George's (pt.),PrinceGeorges,EV,"175,338","12,903","191,694","3,453",,,,,,,,,,,,,,,,,,,,
