County,Town (Standard Name),Town (Results Name),Ward,Precinct,CD,Clinton,Trump,Total
Plymouth (pt.),Abington,Abington,-,1,8,818,717,1657
Plymouth (pt.),Abington,Abington,-,2,8,739,785,1618
Plymouth (pt.),Abington,Abington,-,3,8,773,808,1679
Plymouth (pt.),Abington,Abington,-,4,8,877,878,1858
Plymouth (pt.),Abington,Abington,-,5,8,908,829,1839
Middlesex (pt.),Acton,Acton,-,1,3,"1,459",438,"2,016"
Middlesex (pt.),Acton,Acton,-,2,3,"1,550",480,"2,152"
Middlesex (pt.),Acton,Acton,-,3,3,"1,580",435,"2,149"
Middlesex (pt.),Acton,Acton,-,4,3,"1,675",414,"2,238"
Middlesex (pt.),Acton,Acton,-,5,3,"1,580",387,"2,095"
Middlesex (pt.),Acton,Acton,-,6,3,"1,354",401,"1,863"
Bristol (pt.),Acushnet,Acushnet,-,1,9,783,786,"1,653"
Bristol (pt.),Acushnet,Acushnet,-,2,9,756,"1,043","1,885"
Bristol (pt.),Acushnet,Acushnet,-,3,9,862,"1,005","1,958"
Berkshire,Adams,Adams,-,1,1,439,255,747
Berkshire,Adams,Adams,-,2,1,476,270,807
Berkshire,Adams,Adams,-,3,1,475,268,796
Berkshire,Adams,Adams,-,4,1,446,233,725
Berkshire,Adams,Adams,-,5,1,577,259,892
Hampden (pt.),Agawam,Agawam,-,1,1,631,827,"1,573"
Hampden (pt.),Agawam,Agawam,-,2,1,850,"1,069","2,049"
Hampden (pt.),Agawam,Agawam,-,3,1,770,921,"1,777"
Hampden (pt.),Agawam,Agawam,-,4,1,700,724,"1,521"
Hampden (pt.),Agawam,Agawam,-,5,1,861,998,"1,999"
Hampden (pt.),Agawam,Agawam,-,6,1,783,882,"1,762"
Hampden (pt.),Agawam,Agawam,-,7,1,750,991,"1,848"
Hampden (pt.),Agawam,Agawam,-,8,1,863,"1,009","1,959"
Berkshire,Alford,Alford,-,1,1,226,52,294
Essex (pt.),Amesbury,Amesbury,-,1,6,930,623,"1,669"
Essex (pt.),Amesbury,Amesbury,-,2,6,901,503,"1,525"
Essex (pt.),Amesbury,Amesbury,-,3,6,960,498,"1,565"
Essex (pt.),Amesbury,Amesbury,-,4,6,805,502,"1,421"
Essex (pt.),Amesbury,Amesbury,-,5,6,745,675,"1,532"
Essex (pt.),Amesbury,Amesbury,-,6,6,833,430,"1,371"
Hampshire (pt.),Amherst,Amherst,-,1,2,955,101,"1,172"
Hampshire (pt.),Amherst,Amherst,-,2,2,"1,409",143,"1,686"
Hampshire (pt.),Amherst,Amherst,-,3,2,908,125,"1,126"
Hampshire (pt.),Amherst,Amherst,-,4,2,910,162,"1,139"
Hampshire (pt.),Amherst,Amherst,-,5,2,"1,023",95,"1,177"
Hampshire (pt.),Amherst,Amherst,-,6,2,"1,464",134,"1,702"
Hampshire (pt.),Amherst,Amherst,-,7,2,"1,440",131,"1,672"
Hampshire (pt.),Amherst,Amherst,-,8,2,"1,644",124,"1,890"
Hampshire (pt.),Amherst,Amherst,-,9,2,"1,382",79,"1,600"
Hampshire (pt.),Amherst,Amherst,-,10,2,"1,222",154,"1,499"
Essex (pt.),Andover (pt.),Andover,-,1,6,"1,101",433,"1,646"
Essex (pt.),Andover (pt.),Andover,-,2,3,"1,312",865,"2,289"
Essex (pt.),Andover (pt.),Andover,-,3,3,"1,431",651,"2,231"
Essex (pt.),Andover (pt.),Andover,-,4,3,"1,162",818,"2,108"
Essex (pt.),Andover (pt.),Andover,-,5,3,"1,257",758,"2,138"
Essex (pt.),Andover (pt.),Andover,-,6,3,"1,207",842,"2,174"
Essex (pt.),Andover (pt.),Andover,-,7,3,980,548,"1,617"
Essex (pt.),Andover (pt.),Andover,-,7A,6,256,163,444
Essex (pt.),Andover (pt.),Andover,-,8,6,"1,278",685,"2,078"
Essex (pt.),Andover (pt.),Andover,-,9,3,"1,232",752,"2,101"
Essex (pt.),Andover (pt.),Andover,-,9A,6,6,7,15
Dukes,Aquinnah,Aquinnah,-,1,9,232,34,279
Middlesex (pt.),Arlington,Arlington,-,1,5,802,173,"1,014"
Middlesex (pt.),Arlington,Arlington,-,2,5,"1,028",232,"1,324"
Middlesex (pt.),Arlington,Arlington,-,3,5,"1,049",169,"1,286"
Middlesex (pt.),Arlington,Arlington,-,4,5,"1,022",195,"1,288"
Middlesex (pt.),Arlington,Arlington,-,5,5,932,233,"1,229"
Middlesex (pt.),Arlington,Arlington,-,6,5,946,178,"1,169"
Middlesex (pt.),Arlington,Arlington,-,7,5,938,173,"1,174"
Middlesex (pt.),Arlington,Arlington,-,8,5,"1,169",153,"1,381"
Middlesex (pt.),Arlington,Arlington,-,9,5,813,205,"1,074"
Middlesex (pt.),Arlington,Arlington,-,10,5,"1,129",192,"1,374"
Middlesex (pt.),Arlington,Arlington,-,11,5,"1,007",306,"1,361"
Middlesex (pt.),Arlington,Arlington,-,12,5,"1,122",229,"1,409"
Middlesex (pt.),Arlington,Arlington,-,13,5,846,375,"1,278"
Middlesex (pt.),Arlington,Arlington,-,14,5,930,201,"1,175"
Middlesex (pt.),Arlington,Arlington,-,15,5,"1,000",271,"1,336"
Middlesex (pt.),Arlington,Arlington,-,16,5,924,199,"1,182"
Middlesex (pt.),Arlington,Arlington,-,17,5,908,193,"1,154"
Middlesex (pt.),Arlington,Arlington,-,18,5,958,323,"1,346"
Middlesex (pt.),Arlington,Arlington,-,19,5,"1,003",268,"1,321"
Middlesex (pt.),Arlington,Arlington,-,20,5,"1,014",225,"1,277"
Middlesex (pt.),Arlington,Arlington,-,21,5,999,159,"1,228"
