County,Precinct,CD,Clinton,Trump,Total
Aitkin,Aitkin,8,358,552,980
Aitkin,Aitkin Twp,8,154,356,543
Aitkin,Ball Bluff Twp,8,57,96,163
Aitkin,Balsam Twp,8,8,9,17
Aitkin,Beaver Twp,8,19,16,37
Aitkin,Clark Twp,8,30,47,79
Aitkin,Cornish Twp,8,9,11,22
Aitkin,Unorg 47-24 (Davidson Unorg),8,9,15,24
Aitkin,Farm Island Twp,8,267,432,731
Aitkin,Fleming Twp,8,78,144,238
Aitkin,Glen Twp,8,105,174,301
Aitkin,Haugen Twp,8,38,61,107
Aitkin,Hazelton Twp,8,189,329,540
Aitkin,Hill City,8,97,204,313
Aitkin,Hill Lake Twp,8,78,126,214
Aitkin,Idun Twp,8,27,79,111
Aitkin,Jevne Twp,8,43,121,173
Aitkin,Unorg 45-24 (Jewett Unorg),8,4,18,23
Aitkin,Kimberly Twp,8,44,71,123
Aitkin,Lakeside Twp,8,87,175,274
Aitkin,Lee Twp,8,7,22,30
Aitkin,Libby Twp E,8,5,15,20
Aitkin,Libby Twp W,8,8,6,17
Aitkin,Logan Twp,8,36,72,116
Aitkin,McGrath,8,4,16,26
Aitkin,McGregor,8,62,74,145
Aitkin,McGregor Twp,8,10,36,47
Aitkin,Macville Twp,8,37,57,98
Aitkin,Millward Twp,8,13,12,27
Aitkin,Malmo Twp,8,77,127,217
Aitkin,Morrison Twp,8,25,62,96
Aitkin,Nordland Twp,8,230,406,680
Aitkin,Palisade,8,31,40,78
Aitkin,Pliny Twp,8,9,37,49
Aitkin,Rice River Twp,8,20,52,80
Aitkin,Salo Twp,8,24,27,55
Aitkin,Seavey Twp,8,4,31,38
Aitkin,Shamrock Twp,8,291,402,731
Aitkin,Spalding Twp,8,43,52,105
Aitkin,Spencer Twp,8,107,203,336
Aitkin,Tamarack,8,16,13,30
Aitkin,Turner Twp,8,39,60,108
Aitkin,Verdon Twp,8,9,18,29
Aitkin,Wagner Twp,8,55,120,182
Aitkin,Waukenabo Twp,8,65,126,197
Aitkin,Wealthwood Twp,8,82,121,211
Aitkin,White Pine Twp,8,5,11,20
Aitkin,Williams Twp,8,19,44,68
Aitkin,Workman Twp,8,37,76,119
Aitkin,Ne Aitkin Unorg,8,5,21,28
Aitkin,Unorg 48-27 (Blind Lake Unorg),8,8,9,17
Aitkin,Nw Aitkin Unorg P-2,8,30,53,89
Aitkin,Unorg 51-27 (Lemay Unorg),8,12,21,34
Aitkin,Nw Aitkin Unorg P-1,8,8,38,49
Anoka (pt.),Andover P-1,6,565,1288,1977
Anoka (pt.),Andover P-2,6,623,1069,1845
Anoka (pt.),Andover P-3,6,732,1148,2072
Anoka (pt.),Andover P-4,6,623,858,1631
Anoka (pt.),Andover P-5,6,757,1246,2156
Anoka (pt.),Andover P-6,6,441,1015,1560
Anoka (pt.),Andover P-7,6,495,859,1486
Anoka (pt.),Andover P-8,6,592,997,1707
Anoka (pt.),Andover P-9,6,623,964,1731
Anoka (pt.),Andover P-10,6,744,1143,2048
Anoka (pt.),Anoka P-1,6,402,348,830
Anoka (pt.),Anoka P-2,6,516,506,1113
Anoka (pt.),Anoka P-3,6,470,666,1237
Anoka (pt.),Anoka P-4,6,482,491,1086
Anoka (pt.),Anoka P-5,6,417,482,1010
Anoka (pt.),Anoka P-6,6,535,475,1133
Anoka (pt.),Anoka P-7,6,433,558,1091
Anoka (pt.),Anoka P-8,6,422,549,1068
Anoka (pt.),Bethel P-1,6,50,182,259
Anoka (pt.),Blaine W-1 P-1,6,652,520,1267
Anoka (pt.),Blaine W-1 P-2,6,696,619,1425
Anoka (pt.),Blaine W-1 P-3,6,511,532,1147
Anoka (pt.),Blaine W-1 P-4,6,339,427,842
Anoka (pt.),Blaine W-1 P-5,6,770,870,1788
Anoka (pt.),Blaine W-1 P-6,6,439,541,1077
Anoka (pt.),Blaine W-1 P-7,6,462,485,1033
Anoka (pt.),Blaine W-1 P-8,6,447,594,1166
Anoka (pt.),Blaine W-2 P-1,6,523,527,1160
Anoka (pt.),Blaine W-2 P-2A,6,527,495,1105
Anoka (pt.),Blaine W-2 P-2B,6,650,597,1364
Anoka (pt.),Blaine W-2 P-3,6,598,513,1208
Anoka (pt.),Blaine W-2 P-4A,6,700,672,1488
Anoka (pt.),Blaine W-2 P-4B,6,574,617,1272
Anoka (pt.),Blaine W-2 P-5,6,447,556,1092
Anoka (pt.),Blaine W-2 P-6,6,917,1196,2281
Anoka (pt.),Blaine W-3 P-1,6,612,605,1370
Anoka (pt.),Blaine W-3 P-2,6,577,704,1406
Anoka (pt.),Blaine W-3 P-3,6,636,632,1381
Anoka (pt.),Blaine W-3 P-4,6,661,846,1634
Anoka (pt.),Blaine W-3 P-5,6,593,686,1411
Anoka (pt.),Blaine W-3 P-6,6,1105,1234,2546
Anoka (pt.),Blaine W-3 P-7,6,1090,1120,2389
Anoka (pt.),Blaine W-3 P-8,6,323,407,793
Anoka (pt.),Centerville P-1,6,829,1241,2260
Anoka (pt.),Circle Pines P-1,6,444,565,1125
Anoka (pt.),Circle Pines P-2,6,984,709,1855
Anoka (pt.),Columbia Heights P-1,5,1028,354,1495
Anoka (pt.),Columbia Heights P-2,5,835,312,1259
Anoka (pt.),Columbia Heights P-3,5,801,309,1214
Anoka (pt.),Columbia Heights P-4,5,798,322,1207
Anoka (pt.),Columbia Heights P-5,5,757,346,1223
Anoka (pt.),Columbia Heights P-6,5,613,337,1071
Anoka (pt.),Columbia Heights P-7,5,720,350,1159
Anoka (pt.),Columbia Heights P-8,5,675,353,1141
Anoka (pt.),Columbus P-1,6,805,1537,2510
Anoka (pt.),Coon Rapids W-1 P-1,3,950,1119,2244
Anoka (pt.),Coon Rapids W-1 P-2,3,818,1002,1991
Anoka (pt.),Coon Rapids W-1 P-3,3,620,851,1627
Anoka (pt.),Coon Rapids W-1 P-4,3,473,500,1089
Anoka (pt.),Coon Rapids W-2 P-1,3,759,801,1670
Anoka (pt.),Coon Rapids W-2 P-2,3,465,566,1120
Anoka (pt.),Coon Rapids W-2 P-3,3,746,826,1697
Anoka (pt.),Coon Rapids W-2 P-4,3,446,553,1111
Anoka (pt.),Coon Rapids W-2 P-5,3,650,572,1339
Anoka (pt.),Coon Rapids W-3 P-1,3,621,712,1455
Anoka (pt.),Coon Rapids W-3 P-2,3,620,681,1447
Anoka (pt.),Coon Rapids W-3 P-3,3,675,620,1412
Anoka (pt.),Coon Rapids W-3 P-4,3,660,617,1415
Anoka (pt.),Coon Rapids W-4 P-1,3,706,765,1607
Anoka (pt.),Coon Rapids W-4 P-2,3,667,730,1539
Anoka (pt.),Coon Rapids W-4 P-3,3,668,599,1377
Anoka (pt.),Coon Rapids W-4 P-4,3,857,981,2029
Anoka (pt.),Coon Rapids W-5 P-1,3,635,735,1522
Anoka (pt.),Coon Rapids W-5 P-2,3,733,856,1732
Anoka (pt.),Coon Rapids W-5 P-3,3,459,453,1001
Anoka (pt.),Coon Rapids W-5 P-4,3,347,310,733
Anoka (pt.),Coon Rapids W-5 P-5,3,662,578,1339
Anoka (pt.),East Bethel P-1,6,555,1469,2181
Anoka (pt.),East Bethel P-2,6,600,1394,2153
Anoka (pt.),East Bethel P-3,6,568,1258,1963
Anoka (pt.),Fridley W-1 P-1,5,637,427,1173
Anoka (pt.),Fridley W-1 P-2,5,596,440,1131
Anoka (pt.),Fridley W-1 P-3,5,741,388,1253
Anoka (pt.),Fridley W-1 P-4,5,567,319,966
Anoka (pt.),Fridley W-2 P-1,5,517,340,935
Anoka (pt.),Fridley W-2 P-2,5,534,287,908
Anoka (pt.),Fridley W-2 P-3,5,753,499,1382
Anoka (pt.),Fridley W-2 P-4,5,752,477,1312
Anoka (pt.),Fridley W-3 P-1,5,620,438,1154
Anoka (pt.),Fridley W-3 P-2,5,784,562,1489
Anoka (pt.),Fridley W-3 P-3,5,487,240,796
Anoka (pt.),Fridley W-3 P-4,5,505,311,905
Anoka (pt.),Ham Lake P-1,6,391,767,1281
Anoka (pt.),Ham Lake P-2,6,554,1144,1811
Anoka (pt.),Ham Lake P-3A,6,485,1121,1726
Anoka (pt.),Ham Lake P-4A,6,477,1056,1644
Anoka (pt.),Ham Lake P-5,6,384,849,1340
Anoka (pt.),Ham Lake P-6A,6,442,929,1489
Anoka (pt.),Hilltop P-1,5,162,54,235
Anoka (pt.),Lexington P-1,6,359,498,943
Anoka (pt.),Lino Lakes P-1,6,429,650,1171
Anoka (pt.),Lino Lakes P-2,6,720,952,1817
Anoka (pt.),Lino Lakes P-3,6,568,692,1379
Anoka (pt.),Lino Lakes P-4,6,867,1031,2056
Anoka (pt.),Lino Lakes P-5,6,492,558,1135
Anoka (pt.),Lino Lakes P-6,6,674,1020,1867
Anoka (pt.),Lino Lakes P-7,6,800,972,1943
Anoka (pt.),Linwood P-1,6,545,1257,1952
Anoka (pt.),Linwood P-2,6,372,677,1131
Anoka (pt.),Nowthen P-1A,6,418,1187,1728
Anoka (pt.),Nowthen P-2A,6,213,687,953
Anoka (pt.),Oak Grove P-1,6,463,945,1499
Anoka (pt.),Oak Grove P-2,6,334,933,1354
Anoka (pt.),Oak Grove P-3,6,318,930,1342
Anoka (pt.),Oak Grove P-4,6,214,545,819
Anoka (pt.),Ramsey W-1 P-1,6,932,1443,2633
Anoka (pt.),Ramsey W-1 P-2,6,231,490,775
Anoka (pt.),Ramsey W-2 P-1,6,378,875,1349
Anoka (pt.),Ramsey W-2 P-2,6,731,1487,2419
Anoka (pt.),Ramsey W-3 P-1,6,861,1262,2296
Anoka (pt.),Ramsey W-3 P-2,6,352,571,1006
Anoka (pt.),Ramsey W-4 P-1,6,667,938,1743
Anoka (pt.),Ramsey W-4 P-2,6,609,965,1716
Anoka (pt.),Saint Francis P-1,6,492,1396,2067
Anoka (pt.),Saint Francis P-2,6,423,1119,1643
Anoka (pt.),Spring Lake Park P-1A,5,409,393,867
Anoka (pt.),Spring Lake Park P-2,5,494,425,1019
Anoka (pt.),Spring Lake Park P-3,5,727,671,1534
Becker,Atlanta Twp,7,12,46,61
Becker,Audubon,7,43,183,237
Becker,Audubon Twp,7,100,229,359
Becker,Burlington Twp,7,199,602,853
Becker,Callaway,7,45,44,97
Becker,Callaway Twp,7,39,70,120
Becker,Carsonville Twp,7,39,70,122
Becker,Cormorant Twp,7,232,425,688
Becker,Cuba Twp,7,37,101,146
Becker,Detroit Twp P-1,7,212,427,665
Becker,Detroit Twp P-2,7,100,310,455
Becker,Detroit Twp P-3,7,0,0,0
Becker,Detroit Lakes W1 P1,7,412,796,1302
Becker,Detroit Lakes W2 P1,7,595,785,1486
Becker,Detroit Lakes W3 P1,7,574,1086,1763
Becker,Eagle View Twp,7,40,34,80
Becker,Erie Twp,7,264,708,1016
Becker,Evergreen Twp,7,29,97,139
Becker,Forest Twp,7,29,39,74
Becker,Frazee,7,129,364,532
Becker,Green Valley Twp,7,43,126,179
Becker,Hamden Twp,7,30,81,115
Becker,Height Of Land Twp,7,96,257,367
Becker,Holmesville Twp,7,82,212,312
Becker,Lake Eunice Twp,7,312,591,953
Becker,Lake Park,7,131,190,343
Becker,Lake Park Twp,7,91,167,277
Becker,Lake View Twp,7,318,644,1010
Becker,Maple Grove Twp,7,100,91,196
Becker,Ogema,7,20,24,49
Becker,Osage Twp,7,91,333,448
Becker,Pine Point Twp,7,41,30,73
Becker,Riceville Twp,7,13,32,52
Becker,Richwood Twp,7,106,222,341
Becker,Round Lake Twp,7,42,38,85
Becker,Runeberg Twp,7,44,194,249
Becker,Savannah Twp,7,36,62,104
Becker,Shell Lake Twp,7,52,117,182
Becker,Silver Leaf Twp,7,50,178,237
Becker,Spring Creek Twp,7,9,29,39
Becker,Spruce Grove Twp,7,36,135,179
Becker,Sugar Bush Twp,7,115,167,292
Becker,Toad Lake Twp,7,64,195,270
Becker,Two Inlets Twp,7,38,115,169
Becker,Walworth Twp,7,24,21,46
Becker,White Earth Twp,7,70,71,155
Becker,Wolf Lake,7,7,29,37
Becker,Wolf Lake Twp,7,17,113,137
Beltrami (pt.),Alaska Twp,7,57,50,115
Beltrami (pt.),Battle Twp,7,3,9,13
Beltrami (pt.),Bemidji Twp,7,520,834,1498
Beltrami (pt.),Bemidji W-1,7,523,502,1213
Beltrami (pt.),Bemidji W-2,7,493,466,1047
Beltrami (pt.),Bemidji W-3 P-1,7,489,633,1262
Beltrami (pt.),Bemidji W-3 P-2,8,77,111,203
Beltrami (pt.),Bemidji W-4,7,553,524,1219
Beltrami (pt.),Bemidji W-5,7,658,676,1478
Beltrami (pt.),Benville Twp,7,9,33,47
Beltrami (pt.),Birch Twp,8,23,34,61
Beltrami (pt.),Blackduck,8,69,194,284
Beltrami (pt.),Buzzle Twp,7,50,120,176
Beltrami (pt.),Cormant Twp,8,15,61,77
Beltrami (pt.),Durand Twp,8,27,71,105
Beltrami (pt.),Eckles Twp,7,213,469,739
Beltrami (pt.),Frohn Twp,8,328,466,859
Beltrami (pt.),Funkley,8,3,4,7
Beltrami (pt.),Grant Valley Twp,7,366,628,1092
