County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adams,Adams,3,"7,757","5,874","13,836",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Alcorn,Alcorn,1,"2,684","11,819","14,783",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Amite,Amite,3,"2,697","4,289","7,050",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Attala,Attala,2,"3,242","4,897","8,256",,,,,,,,,,,,,,,,,,,,,
Benton,Benton,1,"1,719","2,251","4,013",,,,,,,,,,,,,,,,,,,,,
Bolivar,Bolivar,2,"9,046","4,590","13,824",,,,,,,,,,,,,,,,,,,,,
Calhoun,Calhoun,1,"1,910","4,390","6,396",,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,2,"1,680","3,799","5,528",,,,,,,,,,,,,,,,,,,,,
Chickasaw,Chickasaw,1,"3,649","4,127","7,890",,,,,,,,,,,,,,,,,,,,,
Choctaw,Choctaw,1,"1,218","2,788","4,065",,,,,,,,,,,,,,,,,,,,,
Claiborne,Claiborne,2,"3,708",540,"4,272",,,,,,,,,,,,,,,,,,,,,
Clay,Clay,1,"5,722","4,150","10,003",,,,,,,,,,,,,,,,,,,,,
Coahoma,Coahoma,2,"6,378","2,426","8,912",,,,,,,,,,,,,,,,,,,,,
Copiah,Copiah,2,"6,741","6,103","12,982",,,,,,,,,,,,,,,,,,,,,
Covington,Covington,3,"3,276","5,435","8,811",,,,,,,,,,,,,,,,,,,,,
DeSoto,DeSoto,1,"20,591","43,089","65,695",,,,,,,,,,,,,,,,,,,,,
Forrest,Forrest,4,"11,716","15,461","28,064",,,,,,,,,,,,,,,,,,,,,
Franklin,Franklin,3,"1,502","2,721","4,290",,,,,,,,,,,,,,,,,,,,,
George,George,4,"1,027","8,696","9,891",,,,,,,,,,,,,,,,,,,,,
Greene,Greene,4,974,"4,335","5,369",,,,,,,,,,,,,,,,,,,,,
Grenada,Grenada,2,"4,424","5,970","10,513",,,,,,,,,,,,,,,,,,,,,
Hancock,Hancock,4,"3,344","13,811","17,637",,,,,,,,,,,,,,,,,,,,,
Harrison,Harrison,4,"21,169","40,354","63,313",,,,,,,,,,,,,,,,,,,,,
Holmes,Holmes,2,"6,689","1,309","8,076",,,,,,,,,,,,,,,,,,,,,
Humphreys,Humphreys,2,"3,071","1,151","4,253",,,,,,,,,,,,,,,,,,,,,
Issaquena,Issaquena,2,395,298,699,,,,,,,,,,,,,,,,,,,,,
Itawamba,Itawamba,1,"1,117","8,470","9,737",,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,4,"14,657","33,629","49,567",,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,3,"4,368","4,038","8,475",,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,2,3337,490,"3,860",,,,,,,,,,,,,,,,,,,,,
Jefferson Davis,JeffersonDavis,3,"3,720","2,466","6,237",,,,,,,,,,,,,,,,,,,,,
Jones,Jones,4,"7,791","20,133","28,352",,,,,,,,,,,,,,,,,,,,,
Kemper,Kemper,3,"2,827","1,778","4,639",,,,,,,,,,,,,,,,,,,,,
Lafayette,Lafayette,1,"7,969","10,872","19,643",,,,,,,,,,,,,,,,,,,,,
Lamar,Lamar,4,"5,190","18,751","24,592",,,,,,,,,,,,,,,,,,,,,
Lauderdale,Lauderdale,3,"11,269","17,741","29,506",,,,,,,,,,,,,,,,,,,,,
Lawrence,Lawrence,3,"2,195","4,091","6,364",,,,,,,,,,,,,,,,,,,,,
Leake,Leake,2,"3,584","4,782","8,449",,,,,,,,,,,,,,,,,,,,,
Lee,Lee,1,"10,029","22,220","32,913",,,,,,,,,,,,,,,,,,,,,
Leflore,Leflore,2,"7,787","3,212","11,140",,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,3,"4,458","10,550","15,193",,,,,,,,,,,,,,,,,,,,,
Lowndes,Lowndes,1,"11,819","13,271","25,575",,,,,,,,,,,,,,,,,,,,,
Marion,Marion,4,"3,677","7,836","11,693",,,,,,,,,,,,,,,,,,,,,
Marshall,Marshall,1,"8,023","6,587","14,839",,,,,,,,,,,,,,,,,,,,,
Monroe,Monroe,1,"5,524","10,167","15,884",,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,2,"2,115","2,818","4,996",,,,,,,,,,,,,,,,,,,,,
Neshoba,Neshoba,3,"2,715","7,679","10,553",,,,,,,,,,,,,,,,,,,,,
