County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Adair,Adair,6,3500,6030,10153,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Andrew,Andrew,6,2045,6665,9140,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Atchison,Atchison,6,541,2060,2724,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Barry,Barry,7,2710,11428,14605,,,,,,,,,,,,,,,,,,,,,
Barton,Barton,4,795,4959,5933,,,,,,,,,,,,,,,,,,,,,
Bates,Bates,4,1618,6001,8023,,,,,,,,,,,,,,,,,,,,,
Benton,Benton,4,2025,7213,9589,,,,,,,,,,,,,,,,,,,,,
Bollinger,Bollinger,8,705,4827,5669,,,,,,,,,,,,,,,,,,,,,
Boone,Boone,4,41125,36200,83426,,,,,,,,,,,,,,,,,,,,,
Buchanan,Buchanan,6,12013,21320,35571,,,,,,,,,,,,,,,,,,,,,
Butler,Butler,8,3036,13650,17235,,,,,,,,,,,,,,,,,,,,,
Caldwell,Caldwell,6,838,3232,4311,,,,,,,,,,,,,,,,,,,,,
Callaway,Callaway,3,4989,13057,19138,,,,,,,,,,,,,,,,,,,,,
Cape Girardeau,CapeGirardeau,8,8492,27017,36982,,,,,,,,,,,,,,,,,,,,,
Carroll,Carroll,6,745,3480,4361,,,,,,,,,,,,,,,,,,,,,
Carter,Carter,8,436,2324,2844,,,,,,,,,,,,,,,,,,,,,
Cass,Cass,4,14846,33098,50846,,,,,,,,,,,,,,,,,,,,,
Cedar,Cedar,4,1011,5021,6281,,,,,,,,,,,,,,,,,,,,,
Chariton,Chariton,6,888,2950,3965,,,,,,,,,,,,,,,,,,,,,
Christian,Christian,7,8508,30946,41403,,,,,,,,,,,,,,,,,,,,,
Clark,Clark,6,724,2458,3316,,,,,,,,,,,,,,,,,,,,,
Clinton,Clinton,6,2572,7067,10208,,,,,,,,,,,,,,,,,,,,,
Cole,Cole,3,10913,24616,37275,,,,,,,,,,,,,,,,,,,,,
Cooper,Cooper,4,1932,5624,7977,,,,,,,,,,,,,,,,,,,,,
Crawford,Crawford,8,1824,7724,9920,,,,,,,,,,,,,,,,,,,,,
Dade,Dade,4,637,3184,3951,,,,,,,,,,,,,,,,,,,,,
Dallas,Dallas,4,1272,5895,7443,,,,,,,,,,,,,,,,,,,,,
Daviess,Daviess,6,730,2767,3696,,,,,,,,,,,,,,,,,,,,,
De Kalb,DeKalb,6,824,3540,4590,,,,,,,,,,,,,,,,,,,,,
