County,ShortName,CD,Clinton,Trump,Total
Beaverhead,Beaverhead,1,1143,3353,4849
Big Horn,BigHorn,1,2094,1853,4224
Blaine,Blaine,1,1202,1268,2671
Broadwater,Broadwater,1,573,2348,3132
Carbon,Carbon,1,1828,3748,5967
Carter,Carter,1,70,678,779
Cascade,Cascade,1,12175,19632,34384
Chouteau,Chouteau,1,732,1679,2589
Custer,Custer,1,1176,3657,5185
Daniels,Daniels,1,168,730,955
Dawson,Dawson,1,787,3320,4331
Deer Lodge,DeerLodge,1,2058,1763,4194
Fallon,Fallon,1,154,1279,1484
Fergus,Fergus,1,1202,4269,5840
Flathead,Flathead,1,13293,30240,46494
Gallatin,Gallatin,1,24246,23802,53292
Garfield,Garfield,1,34,653,716
Glacier,Glacier,1,3121,1620,5061
Golden Valley,GoldenValley,1,71,365,471
Granite,Granite,1,472,1192,1775
Hill,Hill,1,2371,3478,6426
Jefferson,Jefferson,1,1998,4177,6668
Judith Basin,JudithBasin,1,235,872,1201
Lake,Lake,1,4776,7530,13110
Lewis & Clark,Lewis&Clark,1,14478,16895,34245
Liberty,Liberty,1,206,698,956
Lincoln,Lincoln,1,2041,6729,9284
Madison,Madison,1,1180,3297,4743
McCone,McCone,1,154,862,1060
Meagher,Meagher,1,193,729,975
Mineral,Mineral,1,519,1330,2003
Missoula,Missoula,1,31543,22250,59026
Musselshell,Musselshell,1,332,1967,2416
Park,Park,1,3595,4980,9306
Petroleum,Petroleum,1,30,278,322
Phillips,Phillips,1,318,1723,2161
Pondera,Pondera,1,738,1799,2716
Powder River,PowderRiver,1,127,884,1051
Powell,Powell,1,551,2029,2794
Prairie,Prairie,1,100,556,689
Ravalli,Ravalli,1,6223,14810,22346
Richland,Richland,1,671,3908,4847
Roosevelt,Roosevelt,1,1560,1797,3648
Rosebud,Rosebud,1,987,2253,3440
Sanders,Sanders,1,1218,4286,5910
Sheridan,Sheridan,1,477,1241,1832
Silver Bow,SilverBow,1,8619,6376,16439
Stillwater,Stillwater,1,908,3661,4866
Sweet Grass,SweetGrass,1,402,1595,2100
Teton,Teton,1,808,2170,3179
Toole,Toole,1,402,1497,2030
Treasure,Treasure,1,59,351,443
Valley,Valley,1,886,2698,3876
Wheatland,Wheatland,1,179,702,944
Wibaux,Wibaux,1,55,463,537
Yellowstone,Yellowstone,1,22171,40920,68544
