County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Carson City,CarsonCity,2,"9,610","13,125","25,016",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Churchill,Churchill,2,"2,210","7,830","10,938",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Douglas,Douglas,2,"8,454","17,415","27,885",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Elko,Elko,2,"3,401","13,551","18,559",,,,,,,,,,,,,,,,,,,,,
Esmeralda,Esmeralda,4,65,329,423,,,,,,,,,,,,,,,,,,,,,
Eureka,Eureka,2,74,723,854,,,,,,,,,,,,,,,,,,,,,
Humboldt,Humboldt,2,"1,386","4,521","6,433",,,,,,,,,,,,,,,,,,,,,
Lander,Lander,2,403,"1,828","2,413",,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,4,285,"1,671","2,132",,,,,,,,,,,,,,,,,,,,,
Mineral,Mineral,4,637,"1,179","1,997",,,,,,,,,,,,,,,,,,,,,
Nye,Nye,4,"5,094","13,324","19,595",,,,,,,,,,,,,,,,,,,,,
Pershing,Pershing,2,430,"1,403","1,982",,,,,,,,,,,,,,,,,,,,,
Storey,Storey,2,752,"1,616","2,558",,,,,,,,,,,,,,,,,,,,,
Washoe,Washoe,2,"97,379","94,758","209,909",,,,,,,,,,,,,,,,,,,,,
White Pine,WhitePine,4,707,"2,723","3,773",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Clark (pt.),Clark,1,"121,318","64,227","196,831","11,286",,,,,,,,,,,,,,,,,,,,
Clark (pt.),Clark,3,"151,548","154,801","325,585","19,236",,,,,,,,,,,,,,,,,,,,
Clark (pt.),Clark,4,"129,351","101,001","244,702","14,350",,,,,,,,,,,,,,,,,,,,
Lyon (pt.),Lyon,2,"5,217","12,860","19,460","1,383",,,,,,,,,,,,,,,,,,,,
Lyon (pt.),Lyon,4,927,"3,144","4,297",226,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,
Clark (pt.),Clark,1,3,6,9,0,,,,,,,,,,,,,,,,,,,,
Clark (pt.),Clark,3,4,14,17,0,,,,,,,,,,,,,,,,,,,,
Clark (pt.),Clark,4,3,9,12,0,,,,,,,,,,,,,,,,,,,,
Lyon (pt.),Lyon,2,2,1,4,2,,,,,,,,,,,,,,,,,,,,
Lyon (pt.),Lyon,4,0,0,1,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark (pt.),Clark,EV,10,28,38,0,,,,,,,,,,,,,,,,,,,,
Lyon (pt.),Lyon,EV,2,1,5,2,,,,,,,,,,,,,,,,,,,,
