County,ShortName,CD,Clinton,Trump,Johnson,Total,Other,,,,,,,,,,,,,,,,,,,,
Catron,Catron,2,427,1464,111,2049,47,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Chaves,Chaves,2,5534,12872,1609,20271,256,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Cibola,Cibola,2,3741,3195,970,8063,157,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Colfax,Colfax,3,2129,2585,527,5332,91,,,,,,,,,,,,,,,,,,,,
Curry,Curry,3,3121,9035,973,13370,241,,,,,,,,,,,,,,,,,,,,
De Baca,DeBaca,2,193,620,89,910,8,,,,,,,,,,,,,,,,,,,,
Dona Ana,DonaAna,2,37947,25374,5471,70648,1856,,,,,,,,,,,,,,,,,,,,
Eddy,Eddy,2,5033,13147,1275,19667,212,,,,,,,,,,,,,,,,,,,,
Grant,Grant,2,6276,5288,899,12811,348,,,,,,,,,,,,,,,,,,,,
Guadalupe,Guadalupe,2,970,595,238,1827,24,,,,,,,,,,,,,,,,,,,,
Harding,Harding,3,156,311,55,527,5,,,,,,,,,,,,,,,,,,,,
Hidalgo,Hidalgo,2,784,910,137,1872,41,,,,,,,,,,,,,,,,,,,,
Lea,Lea,2,3930,12495,1098,17712,189,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,2,2331,5896,560,8902,115,,,,,,,,,,,,,,,,,,,,
Los Alamos,LosAlamos,3,5562,3359,1512,10885,452,,,,,,,,,,,,,,,,,,,,
Luna,Luna,2,3195,3478,481,7295,141,,,,,,,,,,,,,,,,,,,,
Mora,Mora,3,1536,665,194,2441,46,,,,,,,,,,,,,,,,,,,,
Otero,Otero,2,6124,11887,1613,20060,436,,,,,,,,,,,,,,,,,,,,
Quay,Quay,3,1017,2212,299,3572,44,,,,,,,,,,,,,,,,,,,,
Rio Arriba,RioArriba,3,9592,3599,1425,14878,262,,,,,,,,,,,,,,,,,,,,
San Juan,SanJuan,3,12865,27946,4200,46110,1099,,,,,,,,,,,,,,,,,,,,
San Miguel,SanMiguel,3,7285,2313,915,10751,238,,,,,,,,,,,,,,,,,,,,
Sierra,Sierra,2,1612,3010,442,5181,117,,,,,,,,,,,,,,,,,,,,
Socorro,Socorro,2,3313,2616,802,6868,137,,,,,,,,,,,,,,,,,,,,
Taos,Taos,3,10668,2727,1179,15260,686,,,,,,,,,,,,,,,,,,,,
Torrance,Torrance,1,1785,3714,692,6324,133,,,,,,,,,,,,,,,,,,,,
Union,Union,3,320,1216,134,1702,32,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernalillo (pt.),Bernalillo,1,"137,785","89,207","156,441","117,202","-266,231",,,,,,,,,,,,,,,,,,,,
Bernalillo (pt.),Bernalillo,2,464,180,106,762,12,,,,,,,,,,,,,,,,,,,,
Bernalillo (pt.),Bernalillo,3,"5,168","5,311","1,262","12,106",365,,,,,,,,,,,,,,,,,,,,
McKinley (pt.),McKinley,2,"1,443",249,116,"1,852",44,,,,,,,,,,,,,,,,,,,,
McKinley (pt.),McKinley,3,"12,133","4,855","2,296","19,851",567,,,,,,,,,,,,,,,,,,,,
Roosevelt (pt.),Roosevelt,2,497,"1,918",167,"2,624",42,,,,,,,,,,,,,,,,,,,,
Roosevelt (pt.),Roosevelt,3,957,"1,966",315,"3,326",88,,,,,,,,,,,,,,,,,,,,
Sandoval (pt.),Sandoval,1,"5,578","4,379","1,130","11,351",264,,,,,,,,,,,,,,,,,,,,
Sandoval (pt.),Sandoval,3,"22,129","21,526","5,527","50,339","1,157",,,,,,,,,,,,,,,,,,,,
Santa Fe (pt.),SantaFe,1,810,"1,635",304,"2,831",82,,,,,,,,,,,,,,,,,,,,
Santa Fe (pt.),SantaFe,3,"49,983","12,697","4,058","68,603","1,865",,,,,,,,,,,,,,,,,,,,
Valencia (pt.),Valencia,1,"1,292","1,197",327,"2,870",54,,,,,,,,,,,,,,,,,,,,
Valencia (pt.),Valencia,2,"9,549","12,018","2,719","24,722",436,,,,,,,,,,,,,,,,,,,,
