County,ShortName,CD,Clinton,Trump,Total,
Albany,Albany,20,"83,071","47,808","138,146",
Allegany,Allegany,23,4882,"12,525",18417,
Cattaraugus,Cattaraugus,23,9497,"19,692",30875,
Cayuga,Cayuga,24,13522,"17,384",32765,
Chautauqua,Chautauqua,23,19091,"31,594",53645,
Chemung,Chemung,23,13757,"20,097",35764,
Chenango,Chenango,22,6775,"11,921",19970,
Clinton,Clinton,21,15059,"14,449",31433,
Columbia,Columbia,19,15284,"13,756",30582,
Cortland,Cortland,22,8771,9900,20002,
Delaware,Delaware,19,6627,"11,942",19596,
Essex,Essex,21,7762,7958,16868,
Franklin,Franklin,21,7297,8221,16594,
Fulton,Fulton,21,6496,"13,462",21048,
Genesee,Genesee,27,7650,"16,915",26208,
Greene,Greene,19,7405,"13,073",21567,
Hamilton,Hamilton,21,949,2064,3176,
Jefferson,Jefferson,21,13809,"21,763",37859,
Lewis,Lewis,21,3146,7400,11174,
Livingston,Livingston,27,10697,"17,290",29712,
Madison,Madison,22,11667,"15,936",29701,
Oneida,Oneida,22,33743,"51,437",90169,
Onondaga,Onondaga,24,"112,337","83,649","207,695",
Orange,Orange,18,68278,"76,645",150944,
Orleans,Orleans,27,4470,"10,936",16270,
Otsego,Otsego,19,10451,"13,308",25345,
Putnam,Putnam,18,19366,"27,024",48151,
Rockland,Rockland,17,69342,"60,911",133885,
Schenectady,Schenectady,20,33747,"28,953",66451,
Schoharie,Schoharie,19,4240,"8,831",13876,
Schuyler,Schuyler,23,3091,5050,8666,
Seneca,Seneca,23,5697,7236,13830,
St. Lawrence,St. Lawrence,21,16488,"19,942",38682,
Steuben,Steuben,23,12526,"26,831",41608,
Sullivan,Sullivan,19,12568,"15,931",29737,
Tompkins,Tompkins,23,28890,"10,371",42034,
Ulster,Ulster,19,44597,"35,239",84375,
Warren,Warren,21,13091,"15,751",30960,
Washington,Washington,21,9098,"13,610",24212,
Wayne,Wayne,24,13473,"23,380",39331,
Wyoming,Wyoming,27,3904,"12,442",17199,
Yates,Yates,23,3659,5660,9959,
NYC - Staten Island,NYC_SI,11,74143,"101,437",179898,
,,,,,,
,Split Counties,,,,,
Broome (pt.),Broome,19,265,657,968,46
Broome (pt.),Broome,22,"38,947","40,286","83,979","4,746"
Dutchess (pt.),Dutchess,18,"37,498","34,075","74,646","3,073"
