County,ShortName,CD,Clinton,Trump,Total
Adams,Adams,1,216,909,1211
Barnes,Barnes,1,1597,3160,5258
Benson,Benson,1,842,929,1942
Billings,Billings,1,59,495,598
Bottineau,Bottineau,1,736,2494,3451
Bowman,Bowman,1,227,1446,1771
Burke,Burke,1,119,895,1048
Burleigh,Burleigh,1,10881,32532,46927
Cass,Cass,1,31361,39816,78969
Cavalier,Cavalier,1,476,1357,1971
Dickey,Dickey,1,554,1667,2388
Divide,Divide,1,245,867,1197
Dunn,Dunn,1,358,1771,2219
Eddy,Eddy,1,355,791,1221
Emmons,Emmons,1,215,1677,1964
Foster,Foster,1,347,1241,1704
Golden Valley,GoldenValley,1,99,796,946
Grand Forks,GrandForks,1,10851,16340,29753
Grant,Grant,1,185,1108,1371
Griggs,Griggs,1,298,847,1247
Hettinger,Hettinger,1,168,1050,1279
Kidder,Kidder,1,179,1111,1364
LaMoure,LaMoure,1,502,1481,2125
Logan,Logan,1,114,888,1053
McHenry,McHenry,1,490,2050,2772
McIntosh,McIntosh,1,235,1100,1430
McKenzie,McKenzie,1,698,3670,4606
McLean,McLean,1,1081,3860,5258
Mercer,Mercer,1,621,3759,4616
Morton,Morton,1,3080,11336,15569
Mountrail,Mountrail,1,1220,2582,4052
Nelson,Nelson,1,536,1025,1695
Oliver,Oliver,1,119,830,1006
Pembina,Pembina,1,681,2208,3098
Pierce,Pierce,1,431,1437,2024
Ramsey,Ramsey,1,1505,3217,5219
Ransom,Ransom,1,838,1210,2322
Renville,Renville,1,201,993,1274
Richland,Richland,1,2064,4767,7469
Rolette,Rolette,1,2099,1217,3672
Sargent,Sargent,1,694,1088,1980
Sheridan,Sheridan,1,95,650,781
Sioux,Sioux,1,758,260,1180
Slope,Slope,1,43,362,429
Stark,Stark,1,1753,9755,12164
Steele,Steele,1,361,538,987
Stutsman,Stutsman,1,2498,6718,9967
Towner,Towner,1,305,733,1138
Traill,Traill,1,1241,2265,3871
Walsh,Walsh,1,1167,2995,4548
Ward,Ward,1,5806,18636,26916
Wells,Wells,1,419,1796,2355
Williams,Williams,1,1735,10069,12588
