County,ShortName,CD,Clinton,Trump,Total
Adams,Adams,2,"2,326","8,659","11,320"
Allen,Allen,4,"13,294","30,487","45,815"
Ashland,Ashland,7,"5,740","17,493","24,507"
Ashtabula,Ashtabula,14,"15,577","23,318","40,806"
Auglaize,Auglaize,4,"3,980","18,658","23,583"
Belmont,Belmont,6,"8,785","21,108","31,079"
Brown,Brown,2,"4,353","14,573","19,555"
Butler,Butler,8,"58,642","106,976","173,147"
Carroll,Carroll,6,"3,154","9,254","13,035"
Champaign,Champaign,4,"4,594","12,631","18,058"
Clark,Clark,8,"23,328","35,205","61,265"
Clermont,Clermont,2,"26,715","67,518","98,786"
Clinton,Clinton,15,"4,066","13,838","18,625"
Columbiana,Columbiana,6,"12,432","31,676","46,057"
Coshocton,Coshocton,7,"4,013","10,785","15,499"
Crawford,Crawford,4,"4,625","13,611","19,190"
Darke,Darke,8,"4,470","20,012","25,403"
Defiance,Defiance,5,"5,368","11,688","18,119"
Delaware,Delaware,12,"40,872","57,568","103,557"
Fairfield,Fairfield,15,"24,881","44,314","72,565"
Fulton,Fulton,5,"6,069","13,709","21,108"
Gallia,Gallia,6,"2,628","9,822","12,916"
Geauga,Geauga,14,"17,569","30,227","49,859"
Greene,Greene,10,"28,943","48,540","81,742"
Guernsey,Guernsey,6,"4,359","11,445","16,536"
Hancock,Hancock,5,"9,609","24,183","35,863"
Hardin,Hardin,5,"2,920","8,717","12,261"
Harrison,Harrison,6,"1,688","5,098","7,067"
Henry,Henry,5,"3,756","9,301","13,926"
Highland,Highland,2,"3,773","14,020","18,461"
Hocking,Hocking,15,"3,775","8,497","12,811"
Holmes,Holmes,7,"1,788","8,720","10,997"
Jackson,Jackson,6,"3,226","9,949","13,687"
Jefferson,Jefferson,6,"9,675","21,117","32,023"
Knox,Knox,7,"8,171","19,131","28,610"
Lake,Lake,14,"46,397","64,255","115,953"
Lawrence,Lawrence,6,"6,974","18,689","26,554"
Licking,Licking,12,"27,376","51,241","82,512"
Logan,Logan,4,"4,647","15,957","21,517"
Madison,Madison,15,"4,779","11,631","17,205"
Meigs,Meigs,6,"2,260","7,309","9,978"
Miami,Miami,8,"13,120","37,079","52,580"
Monroe,Monroe,6,"1,662","4,868","6,792"
Montgomery,Montgomery,10,"122,016","123,909","257,499"
Morgan,Morgan,15,"1,736","4,431","6,441"
Morrow,Morrow,12,"3,761","11,948","16,481"
Noble,Noble,6,"1,221","4,549","6,009"
Paulding,Paulding,5,"2,093","6,500","9,028"
Perry,Perry,15,"4,138","10,228","14,979"
Pickaway,Pickaway,15,"6,529","17,076","24,655"
Pike,Pike,2,"3,539","7,902","11,865"
Preble,Preble,8,"4,325","15,446","20,552"
Putnam,Putnam,5,"2,922","14,961","18,712"
Sandusky,Sandusky,4,"9,929","16,316","28,009"
Seneca,Seneca,4,"7,404","14,825","23,960"
Shelby,Shelby,4,"4,243","18,590","23,684"
