County,ShortName,CD,Clinton,Trump,Total
Adair,Adair,2,1382,4787,"6,513"
Alfalfa,Alfalfa,3,216,1933,"2,258"
Atoka,Atoka,2,795,4084,"5,018"
Beaver,Beaver,3,176,1993,"2,243"
Beckham,Beckham,3,960,6308,"7,552"
Blaine,Blaine,3,711,2884,"3,793"
Bryan,Bryan,2,2804,10478,"13,818"
Caddo,Caddo,3,2420,6482,"9,348"
Carter,Carter,4,4002,13752,"18,534"
Cherokee,Cherokee,2,5456,9994,"16,490"
Choctaw,Choctaw,2,1067,4206,"5,426"
Cimarron,Cimarron,3,71,963,"1,079"
Cleveland,Cleveland,4,38829,62538,"109,450"
Coal,Coal,2,411,1898,"2,399"
Comanche,Comanche,4,11463,19183,"32,564"
Cotton,Cotton,4,424,2054,"2,602"
Craig,Craig,2,1252,4283,"5,785"
Custer,Custer,3,2104,7826,"10,541"
Delaware,Delaware,2,3311,11826,"15,716"
Dewey,Dewey,3,222,1965,"2,248"
Ellis,Ellis,3,155,1611,"1,827"
Garfield,Garfield,3,4397,16009,"21,710"
Garvin,Garvin,4,1855,8253,"10,546"
Grady,Grady,4,3882,17316,"22,286"
Grant,Grant,3,288,1827,"2,201"
Greer,Greer,3,323,1482,"1,896"
Harmon,Harmon,3,225,715,977
Harper,Harper,3,134,1318,"1,499"
Haskell,Haskell,2,882,3701,"4,738"
Hughes,Hughes,2,961,3388,"4,526"
Jackson,Jackson,3,1473,5969,"7,806"
Jefferson,Jefferson,4,365,1910,"2,350"
Johnston,Johnston,2,786,3093,"4,018"
Kay,Kay,3,3738,12172,"16,803"
Kingfisher,Kingfisher,3,786,5156,"6,131"
Kiowa,Kiowa,3,767,2596,"3,493"
Latimer,Latimer,2,797,3100,"4,056"
Leflore,Leflore,2,3250,13362,"17,221"
Lincoln,Lincoln,3,2430,10854,"14,025"
Logan,Logan,3,4248,13633,"18,979"
Love,Love,4,735,2922,"3,789"
Major,Major,3,310,2948,"3,407"
Marshall,Marshall,2,1096,4206,"5,492"
Mayes,Mayes,2,3423,11555,"15,717"
Mcclain,Mcclain,4,2894,13169,"16,858"
Mccurtain,Mccurtain,2,1802,8656,"10,726"
Mcintosh,Mcintosh,2,2123,5505,"7,963"
Murray,Murray,4,1087,4175,"5,528"
Muskogee,Muskogee,2,7977,15043,"24,216"
Noble,Noble,3,901,3715,"4,878"
Nowata,Nowata,2,742,3321,"4,237"
Okfuskee,Okfuskee,2,943,2800,"3,943"
Okmulgee,Okmulgee,2,4385,8944,"13,949"
Osage,Osage,3,5597,12577,"18,966"
Ottawa,Ottawa,2,2584,7631,"10,690"
Pawnee,Pawnee,3,1344,4729,"6,364"
Payne,Payne,3,8788,16651,"27,760"
Pittsburg,Pittsburg,2,3711,12753,"17,271"
Pontotoc,Pontotoc,4,3637,10431,"14,831"
Pottawatomie,Pottawatomie,5,6015,17848,"25,452"
Pushmataha,Pushmataha,2,748,3581,"4,483"
Roger Mills,RogerMills,3,151,1547,"1,759"
Seminole,Seminole,5,2071,5613,"8,037"
Sequoyah,Sequoyah,2,3061,10888,"14,437"
Stephens,Stephens,4,3086,14182,"17,904"
Texas,Texas,3,858,4621,"5,780"
Tillman,Tillman,4,657,1944,"2,706"
Tulsa,Tulsa,1,87847,144258,"247,054"
Wagoner,Wagoner,1,6723,23005,"31,300"
Washington,Washington,1,5048,15825,"22,224"
Washita,Washita,3,588,3854,"4,631"
Woods,Woods,3,522,2947,"3,668"
Woodward,Woodward,3,873,6347,"7,595"
,,,,,
Canadian (pt.),Canadian,3,"10,072","33,285","46,432"
Canadian (pt.),Canadian,4,"1,602","6,701","8,846"
Creek (pt.),Creek,1,510,"2,414","3,062"
Creek (pt.),Creek,3,"5,331","19,161","25,768"
Oklahoma (pt.),Oklahoma,4,"7,284","12,744","21,623"
Oklahoma (pt.),Oklahoma,5,"82,717","102,682","200,479"
Rogers (pt.),Rogers,1,"1,629","5,841","7,866"
Rogers (pt.),Rogers,2,"6,273","25,072","32,996"
,,,,,
Canadian (pt.),Canadian,3,0,0,0
Canadian (pt.),Canadian,4,0,0,0
Creek (pt.),Creek,1,0,0,0
Creek (pt.),Creek,3,0,0,0
Oklahoma (pt.),Oklahoma,4,"1,846","2,886","5,047"
Oklahoma (pt.),Oklahoma,5,"20,966","23,257","46,793"
Rogers (pt.),Rogers,1,0,0,0
Rogers (pt.),Rogers,2,0,0,0
,,,,,
Canadian (pt.),Canadian,EV,0,0,0
Creek (pt.),Creek,EV,0,0,0
Oklahoma (pt.),Oklahoma,EV,"22,812","26,143","51,840"
Rogers (pt.),Rogers,EV,0,0,0
