County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Baker,Baker,2,"1,797","6,218",8562,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Clatsop,Clatsop,1,"9,252","8,138",18932,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Columbia,Columbia,1,"10,167","13,217","25,602",,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Coos,Coos,4,"10,448","17,865",30479,,,,,,,,,,,,,,,,,,,,,
Crook,Crook,2,"2,637","8,511",11823,,,,,,,,,,,,,,,,,,,,,
Curry,Curry,4,"4,300","7,212",12283,,,,,,,,,,,,,,,,,,,,,
Deschutes,Deschutes,2,"42,444","45,692","95,292",,,,,,,,,,,,,,,,,,,,,
Douglas,Douglas,4,"14,096","34,582","52,112",,,,,,,,,,,,,,,,,,,,,
Gilliam,Gilliam,2,239,671,996,,,,,,,,,,,,,,,,,,,,,
Grant,Grant,2,739,"3,210",4206,,,,,,,,,,,,,,,,,,,,,
Harney,Harney,2,683,"2,912",3859,,,,,,,,,,,,,,,,,,,,,
Hood River,HoodRiver,2,"6,510","3,272",10593,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,2,"44,447","53,870","105,686",,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,2,"2,980","5,483",9138,,,,,,,,,,,,,,,,,,,,,
Klamath,Klamath,2,"7,210","20,435",29678,,,,,,,,,,,,,,,,,,,,,
Lake,Lake,2,639,"3,022",3854,,,,,,,,,,,,,,,,,,,,,
Lane,Lane,4,"102,753","67,141","184,672",,,,,,,,,,,,,,,,,,,,,
Lincoln,Lincoln,5,"12,501","10,039",24418,,,,,,,,,,,,,,,,,,,,,
Linn,Linn,4,"17,995","33,488","56,253",,,,,,,,,,,,,,,,,,,,,
Malheur,Malheur,2,"2,246","7,194",10044,,,,,,,,,,,,,,,,,,,,,
Marion,Marion,5,"57,788","63,377","131,091",,,,,,,,,,,,,,,,,,,,,
Morrow,Morrow,2,"1,017","2,721",4028,,,,,,,,,,,,,,,,,,,,,
Polk,Polk,5,"16,420","18,940","38,521",,,,,,,,,,,,,,,,,,,,,
Sherman,Sherman,2,202,732,989,,,,,,,,,,,,,,,,,,,,,
Tillamook,Tillamook,5,"5,768","6,538",13399,,,,,,,,,,,,,,,,,,,,,
Umatilla,Umatilla,2,"7,673","17,059",26678,,,,,,,,,,,,,,,,,,,,,
Union,Union,2,"3,249","8,431",12551,,,,,,,,,,,,,,,,,,,,,
Wallowa,Wallowa,2,"1,116","2,848",4225,,,,,,,,,,,,,,,,,,,,,
Wasco,Wasco,2,"4,781","5,833",11542,,,,,,,,,,,,,,,,,,,,,
Washington,Washington,1,"153,251","83,197","257,719",,,,,,,,,,,,,,,,,,,,,
Wheeler,Wheeler,2,155,591,802,,,,,,,,,,,,,,,,,,,,,
Yamhill,Yamhill,1,"19,301","23,250","46,641",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Benton (pt.),Benton,4,"26,122","10,113","39,960","3,725",,,,,,,,,,,,,,,,,,,,
Benton (pt.),Benton,5,"3,071","3,332","6,965",562,,,,,,,,,,,,,,,,,,,,
Clackamas (pt.),Clackamas,3,"20,181","27,158","50,931","3,592",,,,,,,,,,,,,,,,,,,,
Clackamas (pt.),Clackamas,5,"81,914","61,234","154,610","11,462",,,,,,,,,,,,,,,,,,,,
Josephine (pt.),Josephine,2,"8,295","17,006","27,015","1,714",,,,,,,,,,,,,,,,,,,,
Josephine (pt.),Josephine,4,"5,158","9,917","16,247","1,172",,,,,,,,,,,,,,,,,,,,
Multnomah (pt.),Multnomah,1,"27,441","4,358","33,779","1,980",,,,,,,,,,,,,,,,,,,,
Multnomah (pt.),Multnomah,3,"262,165","62,520","348,273","23,587",,,,,,,,,,,,,,,,,,,,
Multnomah (pt.),Multnomah,5,"2,955","1,076","4,294",264,,,,,,,,,,,,,,,,,,,,
