County,Precinct,CD,Clinton,Trump,Total,Other
Barrington,Barrington 0101,1,1027,522,1634,85
Barrington,Barrington 0102,1,1331,683,2106,92
Barrington,Barrington 0103,1,1136,469,1681,76
Barrington,Barrington 0104,1,1328,611,2044,105
Barrington,Barrington 0105,1,1290,590,1977,97
Barrington,Barrington Limited,1,1,0,1,0
Barrington,Barrington Presidential,1,40,23,69,6
Bristol,Bristol 0201,1,496,472,1024,56
Bristol,Bristol 0202,1,371,185,605,49
Bristol,Bristol 0203,1,1152,806,2062,104
Bristol,Bristol 0204,1,767,498,1322,57
Bristol,Bristol 0205,1,800,727,1626,99
Bristol,Bristol 0206,1,695,478,1229,56
Bristol,Bristol 0207,1,534,290,875,51
Bristol,Bristol 0208,1,618,398,1080,64
Bristol,Bristol 0209,1,129,100,248,19
Bristol,Bristol Limited,1,1,0,1,0
Bristol,Bristol Presidential,1,208,126,354,20
Burrillville,Burrillville 0301,2,443,661,1184,80
Burrillville,Burrillville 0302,2,421,715,1209,73
Burrillville,Burrillville 0303,2,564,880,1527,83
Burrillville,Burrillville 0304,2,349,516,929,64
Burrillville,Burrillville 0305,2,348,579,986,59
Burrillville,Burrillville 0306,2,392,703,1152,57
Burrillville,Burrillville Limited,2,0,0,1,1
Burrillville,Burrillville Presidential,2,41,85,127,1
Central Falls,Central Falls 0401,1,649,103,778,26
Central Falls,Central Falls 0402,1,272,63,343,8
Central Falls,Central Falls 0403,1,655,92,776,29
Central Falls,Central Falls 0404,1,542,80,638,16
Central Falls,Central Falls 0405,1,238,40,289,11
Central Falls,Central Falls 0406,1,295,137,446,14
Central Falls,Central Falls 0407,1,149,31,184,4
Central Falls,Central Falls 0408,1,471,98,588,19
Central Falls,Central Falls Limited,1,0,0,0,0
Central Falls,Central Falls Presidential,1,123,13,138,2
Charlestown,Charlestown 0501,2,581,521,1184,82
Charlestown,Charlestown 0502,2,622,531,1221,68
Charlestown,Charlestown 0503,2,550,453,1059,56
Charlestown,Charlestown 0504,2,425,362,821,34
Charlestown,Charlestown Limited,2,0,0,0,0
Charlestown,Charlestown Presidential,2,29,39,72,4
Coventry,Coventry 0601,2,375,541,973,57
Coventry,Coventry 0602,2,118,130,275,27
Coventry,Coventry 0603,2,649,820,1554,85
Coventry,Coventry 0604,2,395,527,977,55
Coventry,Coventry 0605,2,398,598,1058,62
Coventry,Coventry 0606,2,220,339,585,26
Coventry,Coventry 0607,2,628,706,1410,76
